Cluster,Score,Type,Gene,Symbol,Network
1,10.0,Clustered,66414,Ndufa12,hits_SUB1
1,10.0,Clustered,66046,Ndufb5,hits_SUB1
1,10.0,Clustered,68197,Ndufc2,hits_SUB1
1,10.0,Clustered,66142,Cox7b,hits_SUB1
1,10.0,Clustered,12857,Cox4i1,hits_SUB1
1,10.0,Clustered,66152,Uqcr10,hits_SUB1
1,10.0,Clustered,12859,Cox5b,hits_SUB1
1,10.0,Clustered,66377,Ndufc1,hits_SUB1
1,10.0,Seed,54405,Ndufa1,hits_SUB1
1,10.0,Clustered,12867,Cox7c,hits_SUB1
1,10.0,Clustered,68375,Ndufa8,hits_SUB1
1,10.0,Clustered,68194,Ndufb4,hits_SUB1
1,10.0,Clustered,66594,Uqcr11,hits_SUB1
1,10.0,Clustered,22272,Uqcrq,hits_SUB1
1,10.0,Clustered,110323,Cox6b1,hits_SUB1
1,10.0,Clustered,12861,Cox6a1,hits_SUB1
1,10.0,Clustered,78330,Ndufv3,hits_SUB1
1,10.0,Clustered,66445,Cyc1,hits_SUB1
1,10.0,Clustered,407785,Ndufs6,hits_SUB1
1,10.0,Clustered,12864,Cox6c,hits_SUB1
1,10.0,Clustered,67184,Ndufa13,hits_SUB1
5,3.125,Clustered,56334,Tmed2,hits_SUB1
5,3.125,Clustered,66111,Tmed3,hits_SUB1
5,3.125,Clustered,20742,Sptbn1,hits_SUB1
5,3.125,Clustered,11842,Arf3,hits_SUB1
5,3.125,Seed,67511,Tmed9,hits_SUB1
5,3.125,Clustered,96979,Ptges2,hits_SUB1
5,3.125,Clustered,56041,Uso1,hits_SUB1
5,3.125,Clustered,20333,Sec22b,hits_SUB1
6,2.5,Seed,13167,Dbi,hits_SUB1
6,2.5,Clustered,18830,Pltp,hits_SUB1
6,2.5,Clustered,11816,Apoe,hits_SUB1
6,2.5,Clustered,12759,Clu,hits_SUB1
6,2.5,Clustered,11820,App,hits_SUB1
6,2.5,Clustered,30948,Bin1,hits_SUB1
3,1.9230769230769231,Clustered,110379,Sec13,hits_SUB1
3,1.9230769230769231,Clustered,12317,Calr,hits_SUB1
3,1.9230769230769231,Clustered,56455,Dynll1,hits_SUB1
3,1.9230769230769231,Clustered,67160,Eef1g,hits_SUB1
3,1.9230769230769231,Clustered,14828,Hspa5,hits_SUB1
3,1.9230769230769231,Clustered,26894,Cops7a,hits_SUB1
3,1.9230769230769231,Seed,27984,Efhd2,hits_SUB1
3,1.9230769230769231,Clustered,235611,Plxnb1,hits_SUB1
3,1.9230769230769231,Clustered,14827,Pdia3,hits_SUB1
3,1.9230769230769231,Clustered,27360,Add3,hits_SUB1
3,1.9230769230769231,Clustered,208263,Tor1aip1,hits_SUB1
3,1.9230769230769231,Clustered,70350,Basp1,hits_SUB1
3,1.9230769230769231,Clustered,18844,Plxna1,hits_SUB1
2,1.7058823529411764,Clustered,14775,Gpx1,hits_SUB1
2,1.7058823529411764,Clustered,14598,Ggt1,hits_SUB1
2,1.7058823529411764,Clustered,18263,Odc1,hits_SUB1
2,1.7058823529411764,Clustered,19211,Pten,hits_SUB1
2,1.7058823529411764,Clustered,53761,Prrc2a,hits_SUB1
2,1.7058823529411764,Clustered,21881,Tkt,hits_SUB1
2,1.7058823529411764,Clustered,11674,Aldoa,hits_SUB1
2,1.7058823529411764,Clustered,26442,Psma5,hits_SUB1
2,1.7058823529411764,Clustered,14870,Gstp1,hits_SUB1
2,1.7058823529411764,Clustered,19186,Psme1,hits_SUB1
2,1.7058823529411764,Clustered,386649,Nsfl1c,hits_SUB1
2,1.7058823529411764,Clustered,15275,Hk1,hits_SUB1
2,1.7058823529411764,Clustered,21351,Taldo1,hits_SUB1
2,1.7058823529411764,Clustered,23996,Psmc4,hits_SUB1
2,1.7058823529411764,Seed,14859,Gsta3,hits_SUB1
2,1.7058823529411764,Clustered,28018,Ubfd1,hits_SUB1
2,1.7058823529411764,Clustered,13681,Eif4a1,hits_SUB1
8,1.5,Seed,20467,Sin3b,hits_SUB1
8,1.5,Clustered,226757,Wdr26,hits_SUB1
8,1.5,Clustered,28019,Ing4,hits_SUB1
8,1.5,Clustered,15183,Hdac3,hits_SUB1
4,1.4000000000000001,Clustered,15312,Hmgn1,hits_SUB1
4,1.4000000000000001,Clustered,66492,Zmat2,hits_SUB1
4,1.4000000000000001,Clustered,20638,Snrpb,hits_SUB1
4,1.4000000000000001,Clustered,15481,Hspa8,hits_SUB1
4,1.4000000000000001,Clustered,15516,Hsp90ab1,hits_SUB1
4,1.4000000000000001,Clustered,54208,Arl6ip1,hits_SUB1
4,1.4000000000000001,Clustered,23980,Pebp1,hits_SUB1
4,1.4000000000000001,Clustered,15519,Hsp90aa1,hits_SUB1
4,1.4000000000000001,Clustered,67465,Sf3a1,hits_SUB1
4,1.4000000000000001,Seed,16691,Krt8,hits_SUB1
7,1.4000000000000001,Clustered,18542,Pcolce,hits_SUB1
7,1.4000000000000001,Clustered,329941,Col8a2,hits_SUB1
7,1.4000000000000001,Clustered,19035,Ppib,hits_SUB1
7,1.4000000000000001,Clustered,58243,Nap1l5,hits_SUB1
7,1.4000000000000001,Clustered,12829,Col4a4,hits_SUB1
9,1.0,Clustered,13033,Ctsd,hits_SUB1
9,1.0,Seed,13039,Ctsl,hits_SUB1
9,1.0,Clustered,13030,Ctsb,hits_SUB1
10,1.0,Clustered,20014,Rpn2,hits_SUB1
10,1.0,Clustered,13200,Ddost,hits_SUB1
10,1.0,Seed,66286,Sec11c,hits_SUB1
11,1.0,Clustered,19682,Rdh5,hits_SUB1
11,1.0,Clustered,98711,Rdh10,hits_SUB1
11,1.0,Seed,19771,Rlbp1,hits_SUB1
12,1.0,Clustered,21859,Timp3,hits_SUB3
12,1.0,Clustered,27999,Fam3c,hits_SUB3
12,1.0,Seed,19039,Lgals3bp,hits_SUB3
13,1.0,Clustered,54612,Sfrp5,hits_SUB4
13,1.0,Clustered,20377,Sfrp1,hits_SUB4
13,1.0,Seed,14368,Fzd6,hits_SUB4
