_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,CHILD_GO_hits
1,-5.6665996211246314,GO:0048518,positive regulation of biological process,M1,1,GO:0010661 positive regulation of muscle cell apoptotic process
1,-5.324459628648824,GO:0050896,response to stimulus,M1,1,GO:0009416 response to light stimulus
1,-4.87421137807029,GO:0050789,regulation of biological process,M1,1,GO:2000058 regulation of ubiquitin-dependent protein catabolic process
1,-4.535947755679213,GO:0009987,cellular process,M1,1,GO:0016071 mRNA metabolic process
1,-4.300354379903744,GO:0048519,negative regulation of biological process,M1,1,"GO:0043518 negative regulation of DNA damage response, signal transduction by p53 class mediator"
1,-3.9198892562479735,GO:0048511,rhythmic process,M1,1,GO:0048511 rhythmic process
1,-3.918576565801798,GO:0032502,developmental process,M1,1,GO:0051147 regulation of muscle cell differentiation
1,-3.8104405876690937,GO:0051179,localization,M1,1,GO:0150105 protein localization to cell-cell junction
1,-3.7081948107745006,GO:0032501,multicellular organismal process,M1,1,GO:0043502 regulation of muscle adaptation
1,-3.179873611086673,GO:0040007,growth,M1,1,GO:0055021 regulation of cardiac muscle tissue growth
1,-2.9693714729106353,GO:0065007,biological regulation,M1,1,GO:0051098 regulation of binding
1,-2.4600199350640715,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0039532 negative regulation of cytoplasmic pattern recognition receptor signaling pathway
