_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,CHILD_GO_hits
1,-6.446109363080791,GO:0050789,regulation of biological process,M1,1,GO:0051493 regulation of cytoskeleton organization
1,-5.807924996465188,GO:0032502,developmental process,M1,1,GO:0035239 tube morphogenesis
1,-5.157247100468887,GO:0048518,positive regulation of biological process,M1,1,GO:0010638 positive regulation of organelle organization
1,-4.62193863540185,GO:0065007,biological regulation,M1,1,GO:0090066 regulation of anatomical structure size
1,-4.521111811430934,GO:0050896,response to stimulus,M1,1,GO:0007264 small GTPase-mediated signal transduction
1,-4.425931343555869,GO:0009987,cellular process,M1,1,GO:0061024 membrane organization
1,-4.376368617938318,GO:0048519,negative regulation of biological process,M1,1,GO:0050771 negative regulation of axonogenesis
1,-4.234114423829317,GO:0051179,localization,M1,1,GO:0034504 protein localization to nucleus
1,-4.039728244171077,GO:0042592,homeostatic process,M1,1,GO:0061484 hematopoietic stem cell homeostasis
1,-3.991766950771715,GO:0032501,multicellular organismal process,M1,1,GO:0044557 relaxation of smooth muscle
1,-3.603652115121575,GO:0040007,growth,M1,1,GO:0001558 regulation of cell growth
1,-2.572236423029905,GO:0040011,locomotion,M1,1,GO:0090051 negative regulation of cell migration involved in sprouting angiogenesis
1,-2.1020296896821433,GO:0043473,pigmentation,M1,1,GO:0043482 cellular pigment accumulation
