p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,pct.1_pct.2,pct_method_1
3.01969579099399e-36,4.34320061239872,0.987,0.312,9.05908737298196e-33,1,Col6a3,0.675,0.666225
1.83511002549596e-35,11.1884471412739,0.947,0.209,5.50533007648789e-32,1,Steap3,0.738,0.698886
2.67451373247996e-33,6.6311313473335,0.961,0.299,8.02354119743988e-30,1,Col1a1,0.662,0.636182
2.10123149524226e-32,4.78980671428727,0.908,0.261,6.30369448572677e-29,1,Fn1,0.647,0.587476
1.78376848686841e-31,4.59411982948102,0.947,0.328,5.35130546060524e-28,1,Mmp2,0.619,0.586193
2.18609468874075e-31,3.17242229920169,0.974,0.335,6.55828406622225e-28,1,Igfbp6,0.639,0.622386
2.12556435635216e-29,7.42795767623166,0.895,0.193,6.37669306905648e-26,1,Angptl1,0.702,0.62829
3.65247987272667e-29,4.45938195329684,0.882,0.321,1.095743961818e-25,1,Fbln2,0.561,0.494802
1.41274191805972e-28,7.26910668689782,0.895,0.335,4.23822575417916e-25,1,Col5a2,0.56,0.5012
3.57119087560679e-28,4.6013461584204,0.921,0.272,1.07135726268204e-24,1,Ecm2,0.649,0.597729
7.49945366148957e-27,4.41120220753253,0.908,0.339,2.24983609844687e-23,1,Serpinf1,0.569,0.516652
7.70283811300518e-27,3.45602248664185,0.908,0.346,2.31085143390155e-23,1,Ogn,0.562,0.510296
2.66710715788876e-26,3.99107820134163,0.882,0.366,8.00132147366627e-23,1,Rnase4,0.516,0.455112
1.36076756712216e-25,4.83775727374872,0.855,0.283,4.08230270136648e-22,1,C1qtnf2,0.572,0.48906
9.07466771950032e-25,5.13232558618063,0.776,0.164,2.7224003158501e-21,1,Sfrp2,0.612,0.474912
2.43571541671868e-24,2.93835854896225,0.934,0.342,7.30714625015603e-21,1,Col6a2,0.592,0.552928
2.7191675486303e-24,4.20748333072535,0.855,0.234,8.1575026458909e-21,1,Igfbp3,0.621,0.530955
6.10885563388612e-24,3.8001067189063,0.868,0.369,1.83265669016584e-20,1,Igf2,0.499,0.433132
6.64388218839807e-24,5.39605264780183,0.789,0.317,1.99316465651942e-20,1,Dnm1,0.472,0.372408
5.75667216253376e-23,4.78090134204823,0.829,0.315,1.72700164876013e-19,1,C1qtnf1,0.514,0.426106
7.92737186905969e-23,3.27729063908133,0.816,0.375,2.37821156071791e-19,1,S100a10,0.441,0.359856
1.21259164128016e-22,3.13106681861,0.868,0.362,3.63777492384049e-19,1,Col14a1,0.506,0.439208
2.16007199499408e-22,6.03430892264382,0.803,0.222,6.48021598498223e-19,1,Zim1,0.581,0.466543
2.68805759007748e-22,3.16302052651428,0.855,0.324,8.06417277023245e-19,1,Htra3,0.531,0.454005
3.37055403628793e-22,2.47662348633641,0.855,0.274,1.01116621088638e-18,1,Aspn,0.581,0.496755
3.45315325830631e-22,3.59043648420483,0.921,0.348,1.03594597749189e-18,1,Gpx7,0.573,0.527733
3.59529288152034e-22,2.81235548231621,0.895,0.4,1.0785878644561e-18,1,Dcn,0.495,0.443025
6.26242337590377e-22,4.56284163666941,0.816,0.261,1.87872701277113e-18,1,Ssc5d,0.555,0.45288
8.48940954120719e-22,4.08915504713571,0.829,0.382,2.54682286236216e-18,1,Col6a1,0.447,0.370563
2.3119978819692e-21,5.01780301333052,0.829,0.342,6.9359936459076e-18,1,Bmp1,0.487,0.403723
2.54207437584492e-21,2.73460518094388,0.882,0.391,7.62622312753477e-18,1,Fndc1,0.491,0.433062
2.95346307489187e-21,3.4618998677168,0.816,0.312,8.86038922467561e-18,1,Entpd2,0.504,0.411264
3.6824764637897e-21,3.78749766061351,0.842,0.36,1.10474293913691e-17,1,Ptgfrn,0.482,0.405844
5.99062722136171e-21,3.59067367392745,0.855,0.321,1.79718816640851e-17,1,Plp2,0.534,0.45657
1.43346835928687e-20,3.05351852726339,0.868,0.29,4.30040507786062e-17,1,Abi3bp,0.578,0.501704
5.46758446703984e-20,3.50947786576588,0.855,0.396,1.64027534011195e-16,1,Tmed3,0.459,0.392445
9.45785264195539e-20,3.19786752838615,0.842,0.294,2.83735579258662e-16,1,Loxl2,0.548,0.461416
1.47805282198171e-19,5.05364122794861,0.816,0.204,4.43415846594512e-16,1,Col5a3,0.612,0.499392
1.53488288513792e-19,3.90594513792695,0.842,0.198,4.60464865541375e-16,1,Armh4,0.644,0.542248
2.55971059302215e-19,2.90098699425278,0.829,0.274,7.67913177906645e-16,1,Itih5,0.555,0.460095
5.94717642166845e-19,2.75620851970969,0.816,0.339,1.78415292650053e-15,1,Apod,0.477,0.389232
1.24509892758333e-18,2.47090718214922,0.829,0.425,3.73529678274998e-15,1,Cd34,0.404,0.334916
1.54069704753548e-18,3.35448572294369,0.816,0.353,4.62209114260644e-15,1,Hspg2,0.463,0.377808
1.68239088671516e-18,3.90445516735299,0.75,0.256,5.04717266014549e-15,1,Omd,0.494,0.3705
2.97348713947321e-18,5.28391279086709,0.737,0.315,8.92046141841962e-15,1,Antxr2,0.422,0.311014
5.70759282970186e-18,4.38261555180573,0.763,0.193,1.71227784891056e-14,1,Cthrc1,0.57,0.43491
6.6403371608944e-18,3.32082246708153,0.842,0.373,1.99210114826832e-14,1,Chst12,0.469,0.394898
9.24137434262328e-18,3.46546008459406,0.829,0.326,2.77241230278698e-14,1,Lrrn4cl,0.503,0.416987
1.03638513177286e-17,5.20024240737496,0.671,0.162,3.10915539531859e-14,1,Cadm3,0.509,0.341539
1.57927241732844e-17,4.91711980876045,0.724,0.2,4.73781725198533e-14,1,Ebf2,0.524,0.379376
1.60191876151569e-17,3.19123524139207,0.658,0.133,4.80575628454706e-14,1,Lpl,0.525,0.34545
2.66938825079412e-17,4.34942179879851,0.711,0.29,8.00816475238236e-14,1,Sirpa,0.421,0.299331
2.84505126846425e-17,3.73868560045633,0.776,0.315,8.53515380539276e-14,1,St3gal1,0.461,0.357736
5.99297525315553e-17,4.29333227279346,0.776,0.326,1.79789257594666e-13,1,Slc1a5,0.45,0.3492
6.0347009190034e-17,3.7380325696671,0.842,0.337,1.81041027570102e-13,1,Ptpn13,0.505,0.42521
1.01767404812038e-16,2.99591846444011,0.737,0.337,3.05302214436113e-13,1,Glt8d2,0.4,0.2948
1.44872143657695e-16,5.37429001235886,0.711,0.171,4.34616430973084e-13,1,Abca8b,0.54,0.38394
1.72144292916124e-16,3.40953392012085,0.75,0.344,5.16432878748371e-13,1,Wipf1,0.406,0.3045
2.08724405160833e-16,2.12223953904444,0.842,0.369,6.26173215482499e-13,1,Nbl1,0.473,0.398266
4.48758794040556e-16,4.61918496021805,0.75,0.324,1.34627638212167e-12,1,Thbs3,0.426,0.3195
5.28171494606925e-16,3.58460398259539,0.75,0.272,1.58451448382078e-12,1,Pxdc1,0.478,0.3585
7.16146374945895e-16,4.66182323375722,0.724,0.326,2.14843912483769e-12,1,Gsn,0.398,0.288152
8.25098811113105e-16,3.55726228272229,0.763,0.366,2.47529643333931e-12,1,Fam102b,0.397,0.302911
8.36289813899288e-16,4.10649273941125,0.763,0.238,2.50886944169786e-12,1,Cd109,0.525,0.400575
1.04406539411787e-15,2.66270809928638,0.842,0.413,3.1321961823536e-12,1,Peg3,0.429,0.361218
1.17804010192387e-15,3.72381064068276,0.658,0.189,3.53412030577162e-12,1,Lims2,0.469,0.308602
1.77070604879136e-15,3.19428455055581,0.697,0.265,5.31211814637407e-12,1,Ecrg4,0.432,0.301104
2.13316090531462e-15,3.65146405896007,0.737,0.326,6.39948271594385e-12,1,Gpc4,0.411,0.302907
3.07061560471583e-15,3.19040306078398,0.803,0.351,9.21184681414748e-12,1,Ablim1,0.452,0.362956
3.2371537581381e-15,3.73689485045618,0.737,0.344,9.71146127441429e-12,1,Olfml1,0.393,0.289641
3.71780567359979e-15,3.42232203951823,0.75,0.353,1.11534170207994e-11,1,Flnb,0.397,0.29775
3.84222564324711e-15,3.78549770514964,0.684,0.211,1.15266769297413e-11,1,Podn,0.473,0.323532
4.93155847348351e-15,3.84273893998759,0.763,0.393,1.47946754204505e-11,1,Tgfbr2,0.37,0.28231
7.34767862808187e-15,3.90538452217075,0.75,0.328,2.20430358842456e-11,1,Itga5,0.422,0.3165
8.50599210938596e-15,7.90635205923712,0.618,0.115,2.55179763281579e-11,1,Npr1,0.503,0.310854
8.58973387714326e-15,3.0057520259314,0.789,0.393,2.57692016314298e-11,1,Cercam,0.396,0.312444
9.22597533373987e-15,5.13126740927092,0.671,0.171,2.76779260012196e-11,1,Ntrk2,0.5,0.3355
1.01688713673578e-14,5.27726970892692,0.763,0.263,3.05066141020734e-11,1,Mmp23,0.5,0.3815
1.01688713673578e-14,3.40831450020484,0.737,0.36,3.05066141020734e-11,1,B4galt1,0.377,0.277849
1.84093950948485e-14,4.77941641529665,0.645,0.171,5.52281852845456e-11,1,Abca6,0.474,0.30573
2.65160392630639e-14,3.11849921868889,0.75,0.371,7.95481177891915e-11,1,Cdkn1c,0.379,0.28425
3.36690139511485e-14,5.45728786754678,0.684,0.213,1.01007041853445e-10,1,Nhsl1,0.471,0.322164
4.00928522794045e-14,3.07941369395701,0.763,0.272,1.20278556838213e-10,1,Pdgfd,0.491,0.374633
4.29865213160375e-14,4.15124578907551,0.711,0.315,1.28959563948113e-10,1,Tnxb,0.396,0.281556
6.6015654066493e-14,2.71713589730521,0.776,0.292,1.98046962199479e-10,1,Il4ra,0.484,0.375584
6.85522912021128e-14,2.65048366027778,0.789,0.398,2.05656873606338e-10,1,Grb10,0.391,0.308499
7.86999309040017e-14,4.09141072073146,0.539,0.126,2.36099792712005e-10,1,Eppk1,0.413,0.222607
8.1714777791011e-14,2.61747253598977,0.737,0.458,2.45144333373033e-10,1,Mfap5,0.279,0.205623
1.12370333234101e-13,3.32737737483232,0.724,0.321,3.37110999702302e-10,1,Spock2,0.403,0.291772
1.14489707664751e-13,4.86460800749253,0.724,0.187,3.43469122994252e-10,1,Vcan,0.537,0.388788
1.25690119036192e-13,2.50415337951424,0.776,0.42,3.77070357108576e-10,1,Adamts2,0.356,0.276256
