"X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","signed_log10FDR.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","signed_log10FDR.y"
"Spag9",0.162653133862044,-0.255884237271929,0.726,0.846,0,0.307022257789412,-0.179978666106235,0.712,0.846,0
"Sparc",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Sparcl1",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spast",0.87345741803527,-0.168976172048763,0.195,0.179,0,0.487528927873459,-0.639410284743533,0.14,0.179,0
"Spata1",0.0313142706635678,-1.96252529458134,0.016,0.077,0,0.0247889659150283,-2.31748218985617,0.016,0.077,0
"Spata13",0.526149715782071,-0.699490888747543,0.011,0,0,0.324185909600377,0.360589715256468,0.025,0,0
"Spata17",0.658892422553708,-1.2844533894687,0.005,0,0,1,-2.63941028474353,0,0,0
"Spata18",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spata19",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spata2",0.226227561621731,0.715546610531301,0.037,0,0,0.0801561008376102,1.60851722870005,0.074,0,0
"Spata20",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spata21",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spata22",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spata24",0.263902603798727,0.522901532588905,0.032,0,0,0.199116670152587,0.820021333893765,0.041,0,0
"Spata25",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spata2l",1,-2.2844533894687,0,0,0,0.575282694255921,-1.05444778402238,0.008,0,0
"Spata3",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spata31d1d",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spata32",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spata33",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spata4",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spata45",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spata48",0.658892422553708,-1.2844533894687,0.005,0,0,1,-2.63941028474353,0,0,0
"Spata5",0.307295202269639,-1.02141898363491,0.058,0.103,0,0.884521636440251,-0.31748218985617,0.095,0.103,0
"Spata6",1,-2.2844533894687,0,0,0,0.489937842053108,-0.639410284743532,0.012,0,0
"Spata9",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spatc1",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spatc1l",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spats1",1,-2.2844533894687,0,0,0,0.575282694255921,-1.05444778402238,0.008,0,0
"Spats2",0.433119948488088,0.340037475439094,0.179,0.128,0,0.516296284701238,0.235058833172609,0.169,0.128,0
"Spats2l",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spc24",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spc25",0.434546468981711,0.0374747054186635,0.016,0,0,0.252719623016972,0.820021333893765,0.033,0,0
"Spcs1",0.649454074512707,-0.0828195282990487,0.221,0.179,0,0.909281289828025,-0.346628535515687,0.198,0.179,0
"Spcs2",0.9846977925135,-0.699490888747543,0.026,0.026,0,0.575837273992211,-0.0544477840223765,0.045,0.026,0
"Spcs3",0.525745211074228,-0.869415890189856,0.074,0.103,0,0.578593112339281,-0.902444690577326,0.078,0.103,0
"Spdef",0.526149715782071,-0.699490888747543,0.011,0,0,0.696281760652701,-1.63941028474353,0.004,0,0
"Spdl1",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spdya",0.658892422553708,-1.2844533894687,0.005,0,0,0.696281760652701,-1.63941028474353,0.004,0,0
"Spdye4a",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
