"X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","signed_log10FDR.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","signed_log10FDR.y"
"Abcd4",0.798107726235378,-0.047934477063702,0.02,0.027,0,0.725759113319295,0.509013647487857,0.038,0.027,0
"Abce1",0.0182360603738825,-1.29304697490023,0.157,0.338,0,0.0894615822626538,-0.906023851790986,0.212,0.338,0
"Abcf1",0.843335766615655,0.367103022215142,0.118,0.108,0,0.166318303860476,1.03952836418664,0.192,0.108,0
"Abcf2",0.396847209180346,-0.228506722705523,0.137,0.203,0,0.542139335603586,-0.119017575125185,0.154,0.203,0
"Abcf3",0.408993894726653,-0.841483599596276,0.078,0.122,0,0.678968932026611,-0.0215010692109225,0.154,0.122,0
"Abcg1",0.116660932444743,-0.578449193762482,0.157,0.284,0,0.0415926491746977,-1.19142607065323,0.135,0.284,0
"Abcg2",0.234719747406267,1.53702802365745,0.02,0,0,0.239272455655167,1.50901364748786,0.019,0,0
"Abcg3",0.222248489980274,-1.0479344770637,0.02,0.068,0,0.0577828049070315,-2.0759488532333,0,0.068,0
"Abcg4",0.0893544402082192,2.12199052437861,0.039,0,0,0.0381367954827985,2.50901364748786,0.058,0,0
"Abcg5",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Abcg8",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Abhd10",0.814750091795472,0.537028023657455,0.118,0.108,0,0.158145947667117,-1.0759488532333,0.038,0.108,0
"Abhd11",0.0795548602366532,-1.22850672270552,0.078,0.189,0,0.979691426873408,-0.119017575125185,0.192,0.189,0
"Abhd12",0.24105065844997,-0.588502858426405,0.196,0.284,0,0.204225335577287,-0.375509135092206,0.173,0.284,0
"Abhd13",0.698317959561605,0.537028023657454,0.157,0.135,0,0.496578904690309,-0.490986352512143,0.096,0.135,0
"Abhd14a",0.914661917741884,0.215099928770092,0.059,0.054,0,0.711851638649643,0.187085552600495,0.038,0.054,0
"Abhd14b",0.234719747406267,1.53702802365745,0.02,0,0,0.0925019526938692,2.09397614820901,0.038,0,0
"Abhd15",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Abhd16a",0.364876893242228,-0.462971976342546,0.039,0.081,0,0.792228278492008,0.0939761482090136,0.096,0.081,0
"Abhd17a",0.527755879998674,-0.0706545535637857,0.294,0.351,0,0.612677183701523,-0.16905825762478,0.308,0.351,0
"Abhd17b",0.0440949754817599,-0.899071091149219,0.255,0.419,0,0.775040266904712,0.0298458107892982,0.365,0.419,0
"Abhd17c",0.747431842674294,0.314635602321006,0.098,0.081,0,0.936803180024378,0.0235868203176159,0.077,0.081,0
"Abhd18",0.641788969556161,-0.27032689840015,0.059,0.081,0,0.13908247494685,-1.29834127456975,0.019,0.081,0
"Abhd2",0.664709143828668,0.12199052437861,0.157,0.189,0,0.870193980080519,0.67893864893017,0.192,0.189,0
