_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,CHILD_GO_hits
1,-7.172824362477562,GO:0009987,cellular process,M1,1,GO:0006366 transcription by RNA polymerase II
1,-4.113566241314087,GO:0048518,positive regulation of biological process,M1,1,GO:1902895 positive regulation of miRNA transcription
1,-4.017786503452319,GO:0050896,response to stimulus,M1,1,GO:0071276 cellular response to cadmium ion
1,-3.633124894330567,GO:0048519,negative regulation of biological process,M1,1,GO:0032232 negative regulation of actin filament bundle assembly
1,-3.5028410686693716,GO:0050789,regulation of biological process,M1,1,GO:1902893 regulation of miRNA transcription
1,-3.4785685091542233,GO:0032502,developmental process,M1,1,GO:0001944 vasculature development
1,-3.012877489425742,GO:0040011,locomotion,M1,1,GO:1904754 positive regulation of vascular associated smooth muscle cell migration
1,-2.7871364643159255,GO:0042592,homeostatic process,M1,1,GO:0006882 intracellular zinc ion homeostasis
1,-2.6852894113351478,GO:0048511,rhythmic process,M1,1,GO:0032922 circadian regulation of gene expression
1,-2.664574334453197,GO:0002376,immune system process,M1,1,GO:0045637 regulation of myeloid cell differentiation
1,-2.5443893104863777,GO:0022414,reproductive process,M1,1,GO:0044703 multi-organism reproductive process
1,-2.5167703956104455,GO:0051179,localization,M1,1,GO:0033365 protein localization to organelle
1,-2.49649696902061,GO:0032501,multicellular organismal process,M1,1,GO:0044706 multi-multicellular organism process
