Network,Annotation
hits,GO:2000058|regulation of ubiquitin-dependent protein catabolic process|-7.2;GO:2000060|positive regulation of ubiquitin-dependent protein catabolic process|-7.1;GO:0042542|response to hydrogen peroxide|-6.7
hits_MCODE_ALL,mmu04141|Protein processing in endoplasmic reticulum - Mus musculus (house mouse)|-6.3
hits_SUB1_MCODE_1,mmu04141|Protein processing in endoplasmic reticulum - Mus musculus (house mouse)|-6.3
