"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Fes",0.514261940793148,-0.161823008239318,0.25,0.275,1
"Uqcc1",0.514263639746587,0.00551427063519361,0.438,0.365,1
"Tgfb1i1",0.514320475345759,-0.0468984612635593,0.797,0.809,1
"Trappc1",0.514331817279767,-0.13209219949855,0.422,0.449,1
"Gpx2",0.514447675909251,0.241962131429831,0.062,0.045,1
"Atxn2",0.514475395893395,0.0866343382029069,0.656,0.629,1
"Ndufa12",0.514652718223096,-0.0829649126201795,0.664,0.697,1
"Lrch1",0.514780603941702,-0.128054682641419,0.492,0.517,1
"Yipf4",0.514877097117163,-0.0694457859236918,0.828,0.831,1
"Mastl",0.514908011787129,0.71432473265749,0.055,0.039,1
"Mutyh",0.515197708530201,-0.18343370931756,0.078,0.101,1
"Ccdc3",0.51520537387544,-0.174847672207116,0.625,0.64,1
"Fat4",0.515216372731857,-0.0826083706229615,0.758,0.747,1
"Rai1",0.515372580375221,-0.110772961041255,0.656,0.657,1
"Cdc14b",0.51538683653753,0.150505883250801,0.273,0.236,1
"Vdac3",0.515427480154997,-0.227726280799357,0.508,0.494,1
"Isca2",0.515434225481573,0.151810453056647,0.492,0.449,1
"Zfp286",0.515659865379347,0.349649910658037,0.211,0.185,1
"Cebpb",0.515790153143806,-0.0961491300273944,0.859,0.865,1
"Ppan",0.515976095733172,0.206571556331506,0.266,0.225,1
"Tubb2b",0.516103400051538,-0.354197592339082,0.273,0.287,1
"Ndufc2",0.516139284553622,0.114447137038902,0.75,0.691,1
"Babam1",0.516141264010109,-0.0921009036640592,0.68,0.669,1
"Daglb",0.516182468050356,0.277191002538459,0.297,0.275,1
"Nsmf",0.516236273317844,-0.0678011777163343,0.641,0.669,1
"Sez6l2",0.516347624368988,0.52759840956348,0.086,0.067,1
"Robo1",0.516427636945365,-0.27160150965102,0.352,0.371,1
"Ica1",0.516671385889128,-0.975467061945967,0.031,0.045,1
"Cenpa",0.516749923737218,-0.856209247942525,0.047,0.062,1
"Ubash3b",0.51681133727731,-0.449857252883477,0.133,0.152,1
