_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.1,GO:0050890,cognition,M1,1,0
1,-2,GO:0021955,central nervous system neuron axonogenesis,M1,1,0
1,-2.8,GO:0042063,gliogenesis,M1,1,0
1,-2.3,R-MMU-77289,Mitochondrial Fatty Acid Beta-Oxidation,M1,1,0
1,-2.2,GO:2001244,positive regulation of intrinsic apoptotic signaling pathway,M1,1,0
1,-2.3,GO:0038127,ERBB signaling pathway,M1,1,0
1,-2.5,GO:0040017,positive regulation of locomotion,M1,1,0
1,-3,GO:0001525,angiogenesis,M1,1,0
1,-2.7,GO:0009649,entrainment of circadian clock,M1,1,0
1,-2.1,GO:0050803,regulation of synapse structure or activity,M1,1,0
1,-3.5,GO:0046496,nicotinamide nucleotide metabolic process,M1,1,0
1,-2.4,GO:0002694,regulation of leukocyte activation,M1,1,0
1,-2.4,R-MMU-1266738,Developmental Biology,M1,1,0
1,-2.7,GO:0006753,nucleoside phosphate metabolic process,M1,1,0
1,-3.1,GO:0055092,sterol homeostasis,M1,1,0
1,-2.3,GO:0007272,ensheathment of neurons,M1,1,0
1,-2.1,GO:0051098,regulation of binding,M1,1,0
1,-2.2,GO:0048013,ephrin receptor signaling pathway,M1,1,0
1,-3.4,GO:1905668,positive regulation of protein localization to endosome,M1,1,0
1,-2.2,GO:0048662,negative regulation of smooth muscle cell proliferation,M1,1,0
1,-2.3,GO:0032006,regulation of TOR signaling,M1,1,0
1,-2.3,GO:0008366,axon ensheathment,M1,1,0
1,-3.3,GO:0072524,pyridine-containing compound metabolic process,M1,1,0
1,-2.8,GO:0030335,positive regulation of cell migration,M1,1,0
1,-2.7,GO:0050765,negative regulation of phagocytosis,M1,1,0
1,-3.2,mmu00010,Glycolysis / Gluconeogenesis - Mus musculus (house mouse),M1,1,0
1,-2.8,GO:0016053,organic acid biosynthetic process,M1,1,0
1,-2.1,GO:0071347,cellular response to interleukin-1,M1,1,0
1,-3.8,GO:0060600,dichotomous subdivision of an epithelial terminal unit,M1,1,0
1,-2.4,GO:0006536,glutamate metabolic process,M1,1,0
1,-2,WP265,Delta Notch signaling pathway,M1,1,0
1,-3.1,GO:0006735,NADH regeneration,M1,1,0
1,-2.5,GO:0019674,NAD metabolic process,M1,1,0
1,-2.2,WP5298,Dravet syndrome Scn1a A1783V point mutation model,M1,1,0
1,-2.5,GO:0055086,nucleobase-containing small molecule metabolic process,M1,1,0
1,-2.6,GO:1902895,positive regulation of miRNA transcription,M1,1,0
1,-2.2,GO:0006734,NADH metabolic process,M1,1,0
1,-3.1,GO:0042632,cholesterol homeostasis,M1,1,0
1,-3,GO:0044283,small molecule biosynthetic process,M1,1,0
1,-2.8,GO:0043153,entrainment of circadian clock by photoperiod,M1,1,0
1,-3.5,R-MMU-8978868,Fatty acid metabolism,M1,1,0
1,-2.1,GO:1902893,regulation of miRNA transcription,M1,1,0
1,-2.7,GO:0006007,glucose catabolic process,M1,1,0
1,-3.6,GO:0044282,small molecule catabolic process,M1,1,0
1,-3.4,GO:0035239,tube morphogenesis,M1,1,0
1,-2.5,mmu01212,Fatty acid metabolism - Mus musculus (house mouse),M1,1,0
1,-2.3,GO:0042552,myelination,M1,1,0
1,-2.4,GO:2000630,positive regulation of miRNA metabolic process,M1,1,0
1,-2,GO:0008286,insulin receptor signaling pathway,M1,1,0
