"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Thrap3",9.67085286729667e-05,-0.731751708170226,0.074,0.127,1
"Ndufv3",9.71501013573048e-05,-0.220776812306493,0.571,0.676,1
"Nmt1",0.000102464178182517,-0.508229530783067,0.184,0.255,1
"Gm2a",0.000106405970701218,-0.240185532383749,0.51,0.616,1
"Mapre3",0.000108004908400082,-0.419350301193945,0.15,0.221,1
"Phyh",0.000110466557481468,-0.412906561736612,0.229,0.305,1
"Ids",0.000113480245174149,-0.34854893705487,0.281,0.366,1
"Anks3",0.000113681918167477,-0.859085971256778,0.064,0.115,1
"Slc6a20a",0.000119248374873631,-0.159667593039997,0.759,0.84,1
"Ptgs1",0.00012147972762626,-0.453145489567405,0.16,0.232,1
"Mgrn1",0.000121518971741288,-0.396052868376721,0.243,0.322,1
"Apoe",0.000121849616211987,-0.0258065525804336,0.999,0.999,1
"Commd1",0.000124106346773115,-0.397802280638654,0.2,0.277,1
"Srp14",0.000125627734600502,-0.338236920246377,0.277,0.36,1
"Mzt2",0.000130057403743676,-0.732244537984629,0.041,0.083,1
"Fscn1",0.000132082739594915,-0.43969922998492,0.194,0.267,1
"Ubqln2",0.000132698983551685,-0.45513238335243,0.173,0.244,1
"H13",0.000133410203456175,-0.315376868845432,0.216,0.299,1
"Tjp2",0.000134566185828501,-0.395915863100412,0.19,0.264,1
"Cutc",0.000134871651248298,-1.32260961819691,0.026,0.062,1
"Crlf3",0.000137873050665301,-0.954539790623375,0.038,0.079,1
"Bmp2k",0.000140553983995872,-0.892038149206347,0.051,0.097,1
"Phactr2",0.000141109627489429,-0.33775589112471,0.297,0.381,1
"Pgls",0.000141279665318337,-0.54393233792136,0.13,0.193,1
"Prkcb",0.000142420929476245,-0.696613058732306,0.072,0.123,1
"Acox1",0.000158584255033238,-0.261350748408844,0.405,0.493,1
"Dnm1l",0.000158612992623844,-0.476915451852882,0.153,0.219,1
"Vopp1",0.000160103721366637,-1.25278320303243,0.041,0.081,1
"Aplp1",0.000166420350210623,-0.2264635063471,0.547,0.628,1
"Ddx3x",0.000167604739457426,-0.262772354682395,0.421,0.527,1
"Hars2",0.000175275966968702,-1.06426625326306,0.029,0.065,1
"Cebpb",0.000178422069100514,-0.718422525604598,0.035,0.074,1
"Ppp1r9a",0.000179531560363252,-0.49410190314248,0.126,0.188,1
"Nup153",0.000182226327703121,-0.785583486158093,0.064,0.112,1
"Tjap1",0.000182820011248371,-0.542292415371268,0.168,0.232,1
"Glrx5",0.000183279960415147,-0.421149468175373,0.16,0.229,1
"Lrpprc",0.000185318456616729,-0.889006873454664,0.058,0.104,1
"Mapk8ip1",0.000187962087118627,-0.512316867332573,0.15,0.215,1
"Il18",0.000192236672907251,-0.447076318166011,0.126,0.191,1
"Rnh1",0.000194443995338275,-0.373264512115274,0.217,0.294,1
"Mef2d",0.000199399030685699,-0.555782062089736,0.117,0.177,1
"Tubb4b",0.000201444367903499,-0.267419703982076,0.42,0.516,1
"Ptges2",0.000204627038695689,-0.363480098686119,0.188,0.263,1
"Acadl",0.000205537208305161,-0.264775970399039,0.371,0.455,1
"Gabarapl2",0.000208843996631837,-0.329222959083066,0.321,0.401,1
"Psma1",0.000214906330334522,-0.348572326545043,0.226,0.306,1
"Prrc2a",0.000215428384730967,-0.367703626378435,0.228,0.304,1
"Csrp1",0.000216465348529375,-0.315558311598884,0.305,0.389,1
"Pcna",0.000223902076079034,-0.477517456824062,0.142,0.206,1
"Ndel1",0.000225994706817102,-0.59705260914743,0.097,0.152,1
"Hagh",0.000226577616181554,-0.536511118247623,0.13,0.192,1
"Ctbp2",0.000231452109754016,-0.302945981845016,0.368,0.444,1
"Mroh1",0.000232021352268874,-0.377692130133511,0.193,0.265,1
"Pcp4l1",0.000239793551352802,-2.17002875445606,0.006,0.028,1
"Myo5a",0.000239929657298075,-0.536389949827891,0.132,0.194,1
"Ak1",0.000240009336396475,-0.42610345422271,0.168,0.236,1
"Sptlc1",0.000240109664818354,-0.529358002329761,0.129,0.19,1
"Nos1",0.00024407732830299,-0.666945698975685,0.067,0.115,1
"Add1",0.000244579949819524,-0.334882661281362,0.232,0.309,1
"Fgf1",0.000247756746507825,-0.490611036483644,0.168,0.234,1
"Ube2b",0.000256721509646658,-0.32693627044481,0.223,0.3,1
"Camk2n1",0.000258643867045577,-0.53543088410164,0.148,0.21,1
"Wbp2",0.000260786181801914,-0.263609363257626,0.356,0.45,1
"Slc39a9",0.000270540845586421,-0.39227844725408,0.186,0.256,1
"Trp53inp2",0.000275021030723575,-0.303963040619434,0.313,0.399,1
"Agtpbp1",0.000278158208526493,-0.698440866475723,0.036,0.074,1
"Slc25a33",0.000286446498614867,-0.451536550527931,0.198,0.264,1
"Gpcpd1",0.000292821121496834,-0.333384698025284,0.288,0.368,1
"Spg7",0.000303182205325738,-0.540704291630634,0.118,0.176,1
"Itgb8",0.000307860969400724,0.0287163315869532,0.967,0.976,1
"Syap1",0.000310525586080833,-0.382294968605917,0.155,0.222,1
"Map3k5",0.000318028719892326,-0.480169670687895,0.16,0.222,1
"Gpx8",0.000320290612826237,-0.32402804128268,0.218,0.294,1
"Shb",0.000320514952911868,-2.74146596421555,0.004,0.023,1
"Wars",0.000322057409404484,-0.552312605942171,0.082,0.134,1
"Vps35l",0.000322512428469177,-0.458050697413756,0.087,0.141,1
"Cndp2",0.000326724981364346,-0.42889376394037,0.174,0.242,1
"Derl1",0.000332337426037312,-0.284308476611387,0.293,0.379,1
"Tc2n",0.00033460047074566,-0.298200769679545,0.308,0.387,1
"Rnps1",0.000340178809512501,-0.465213680988926,0.126,0.186,1
"Lmtk2",0.000343280414929645,-0.582986507298109,0.108,0.163,1
"Napa",0.000343870306708627,-0.353825976313396,0.291,0.368,1
"Pih1d1",0.00034592489575104,-0.804105096110638,0.039,0.078,1
"Cish",0.000346464193696897,-0.606451261117219,0.072,0.12,1
"Slc7a4",0.000346539776306194,-0.586638452817812,0.116,0.172,1
"Arl3",0.00034942253094902,-0.346200123178576,0.256,0.33,1
"Celf1",0.000357493344286117,-0.591600454324622,0.079,0.129,1
"Ash2l",0.000359371095716439,-0.616281855672448,0.079,0.128,1
"Gabarapl1",0.00036059885436856,-0.320988542992277,0.26,0.337,1
"Etv5",0.000361089922186753,-0.64797991596234,0.091,0.142,1
"Ncam2",0.000365831815117315,-0.320301317847921,0.216,0.291,1
"Eif3d",0.000368227055536535,-0.450310607914405,0.108,0.166,1
"Lyar",0.00037660020027318,-1.0929512939275,0.032,0.067,1
"Necap2",0.000384287989739517,-0.623590377072406,0.122,0.178,1
"Snrnp35",0.000384548728779956,-1.33434966081784,0.013,0.04,1
"Tspan7",0.000390056525200199,-0.196367301641201,0.62,0.736,1
"Ncl",0.000390077863527946,-0.3737612691486,0.219,0.292,1
"Nt5e",0.000402491914578967,-0.26225479345732,0.292,0.377,1
"Fam117a",0.000405284003728275,-0.816211233633984,0.056,0.099,1
"Ube2j2",0.000407255284472308,-0.832927295178444,0.046,0.087,1
"Lalba",0.000412139474309048,-1.23783082994745,0.03,0.064,1
"Arid5b",0.000412557904959408,-0.802953027890365,0.046,0.086,1
"Syt1",0.000414432427549792,-0.740755334281455,0.061,0.105,1
"Polr3k",0.000423654203032363,-0.522291194740347,0.098,0.151,1
"Casc4",0.000432808609752709,-0.301492972146778,0.247,0.324,1
"Cse1l",0.000442601951623814,-0.547551471088355,0.086,0.137,1
"Nsd3",0.000445471958972569,-0.619606971197344,0.103,0.155,1
"Fer",0.000446247126691809,-0.591674791049595,0.08,0.129,1
"Sv2a",0.000446362519580491,-0.52705195857782,0.132,0.19,1
"Hspa14",0.000449012809891533,-0.857647205676107,0.054,0.095,1
"Efhd2",0.000449477751093729,-0.344617403718546,0.232,0.303,1
"Khsrp",0.000459900684284809,-0.390991579690728,0.172,0.237,1
"Rhou",0.00046001834823728,-1.00609581902211,0.029,0.062,1
"Dhfr",0.000462077927298299,-1.16704808305367,0.018,0.046,1
"Psmd14",0.000466366502511335,-0.398738935476465,0.131,0.193,1
"Trappc4",0.000470004163296648,-0.435785385425139,0.142,0.202,1
"Lpp",0.000475962357796347,-0.691985436857197,0.052,0.094,1
"Herpud1",0.000480265023763052,-0.48560852221467,0.17,0.231,1
"Nog",0.000482779851443803,-0.284687016516605,0.322,0.405,1
