_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.1,GO:0072330,monocarboxylic acid biosynthetic process,M1,1,0
1,-5.3,R-MMU-556833,Metabolism of lipids,M1,1,0
1,-4.1,WP157,Glycolysis and gluconeogenesis,M1,1,0
1,-2.1,mmu04260,Cardiac muscle contraction - Mus musculus (house mouse),M1,1,0
1,-2.3,GO:0042775,mitochondrial ATP synthesis coupled electron transport,M1,1,0
1,-2.1,GO:0043434,response to peptide hormone,M1,1,0
1,-4.4,GO:1903825,organic acid transmembrane transport,M1,1,0
1,-2.4,GO:0009179,purine ribonucleoside diphosphate metabolic process,M1,1,0
1,-2.3,GO:0006081,aldehyde metabolic process,M1,1,0
1,-2.1,R-MMU-2187338,Visual phototransduction,M1,1,0
1,-2.1,GO:0019395,fatty acid oxidation,M1,1,0
1,-7,mmu01200,Carbon metabolism - Mus musculus (house mouse),M1,1,0
1,-2.1,GO:0045667,regulation of osteoblast differentiation,M1,1,0
1,-2.5,GO:0007178,cell surface receptor protein serine/threonine kinase signaling pathway,M1,1,0
1,-2.2,GO:0061061,muscle structure development,M1,1,0
1,-2.3,GO:0042773,ATP synthesis coupled electron transport,M1,1,0
1,-2,GO:0030258,lipid modification,M1,1,0
1,-2.5,GO:0046496,nicotinamide nucleotide metabolic process,M1,1,0
1,-2.8,mmu04151,PI3K-Akt signaling pathway - Mus musculus (house mouse),M1,1,0
1,-3,GO:0035383,thioester metabolic process,M1,1,0
1,-3.8,R-MMU-75876,Synthesis of very long-chain fatty acyl-CoAs,M1,1,0
1,-2.9,GO:0120039,plasma membrane bounded cell projection morphogenesis,M1,1,0
1,-2.8,GO:0072164,mesonephric tubule development,M1,1,0
1,-4.7,GO:0000038,very long-chain fatty acid metabolic process,M1,1,0
1,-3.3,mmu00030,Pentose phosphate pathway - Mus musculus (house mouse),M1,1,0
1,-2.6,GO:0070169,positive regulation of biomineral tissue development,M1,1,0
1,-2.5,GO:0019646,aerobic electron transport chain,M1,1,0
1,-3.4,GO:0051960,regulation of nervous system development,M1,1,0
1,-3.4,GO:0071616,acyl-CoA biosynthetic process,M1,1,0
1,-2.2,mmu01230,Biosynthesis of amino acids - Mus musculus (house mouse),M1,1,0
1,-3.5,GO:0032355,response to estradiol,M1,1,0
1,-2.5,GO:0001895,retina homeostasis,M1,1,0
1,-2.1,mmu04146,Peroxisome - Mus musculus (house mouse),M1,1,0
1,-3,GO:0006637,acyl-CoA metabolic process,M1,1,0
1,-4.5,WP4351,Omega 9 fatty acid synthesis,M1,1,0
1,-2,mmu05012,Parkinson disease - Mus musculus (house mouse),M1,1,0
1,-6.3,mmu01040,Biosynthesis of unsaturated fatty acids - Mus musculus (house mouse),M1,1,0
1,-4.5,WP4491,Elongation of very long chain fatty acids,M1,1,0
1,-2.4,GO:0072522,purine-containing compound biosynthetic process,M1,1,0
1,-2.6,GO:0030198,extracellular matrix organization,M1,1,0
1,-2.1,GO:0015807,L-amino acid transport,M1,1,0
1,-3.3,GO:0055086,nucleobase-containing small molecule metabolic process,M1,1,0
1,-3.4,WP434,TCA cycle,M1,1,0
1,-3.6,GO:0034612,response to tumor necrosis factor,M1,1,0
1,-4.6,R-MMU-2046104,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,M1,1,0
1,-4.6,R-MMU-6798695,Neutrophil degranulation,M1,1,0
1,-3.3,GO:0045333,cellular respiration,M1,1,0
1,-3.4,R-MMU-352230,Amino acid transport across the plasma membrane,M1,1,0
1,-3.4,GO:0006753,nucleoside phosphate metabolic process,M1,1,0
1,-3.1,GO:0050769,positive regulation of neurogenesis,M1,1,0
1,-2.1,GO:0030500,regulation of bone mineralization,M1,1,0
1,-2.6,GO:0032868,response to insulin,M1,1,0
1,-2.3,GO:1901137,carbohydrate derivative biosynthetic process,M1,1,0
1,-2,mmu04141,Protein processing in endoplasmic reticulum - Mus musculus (house mouse),M1,1,0
1,-3.4,GO:0048858,cell projection morphogenesis,M1,1,0
1,-2.6,GO:0015711,organic anion transport,M1,1,0
1,-5.7,GO:0006091,generation of precursor metabolites and energy,M1,1,0
1,-4.2,mmu03320,PPAR signaling pathway - Mus musculus (house mouse),M1,1,0
1,-2.3,GO:0050730,regulation of peptidyl-tyrosine phosphorylation,M1,1,0
1,-4.2,GO:0044283,small molecule biosynthetic process,M1,1,0
1,-3.4,GO:0035384,thioester biosynthetic process,M1,1,0
1,-4.6,R-MMU-2046106,alpha-linolenic acid (ALA) metabolism,M1,1,0
1,-2.2,GO:0009185,ribonucleoside diphosphate metabolic process,M1,1,0
1,-2.1,GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,M1,1,0
1,-2,GO:0048667,cell morphogenesis involved in neuron differentiation,M1,1,0
1,-2.6,R-MMU-109582,Hemostasis,M1,1,0
1,-2.3,GO:0033559,unsaturated fatty acid metabolic process,M1,1,0
1,-3,GO:0014015,positive regulation of gliogenesis,M1,1,0
1,-2.1,GO:0006163,purine nucleotide metabolic process,M1,1,0
1,-2.1,GO:0009062,fatty acid catabolic process,M1,1,0
1,-2.1,GO:0035924,cellular response to vascular endothelial growth factor stimulus,M1,1,0
1,-7.8,mmu01212,Fatty acid metabolism - Mus musculus (house mouse),M1,1,0
1,-2.3,GO:0002688,regulation of leukocyte chemotaxis,M1,1,0
1,-2.5,GO:1901136,carbohydrate derivative catabolic process,M1,1,0
1,-2.5,R-MMU-9033241,Peroxisomal protein import,M1,1,0
1,-5.9,R-MMU-8978868,Fatty acid metabolism,M1,1,0
1,-4,mmu00071,Fatty acid degradation - Mus musculus (house mouse),M1,1,0
1,-2.5,GO:0046031,ADP metabolic process,M1,1,0
1,-2.2,GO:0051851,modulation by host of symbiont process,M1,1,0
