_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-2.7306667138728407,WP4346,M1,1,0,WikiPathways,27,Cholesterol metabolism with Bloch and Kandutsch Russell pathways,,-2.7306667138728407,12.331002331002331,5.608828107278517,21160,52,99,3,3.0303030303030303,1.7228340715604882,20250|66234|76267,Scd2|Msmo1|Fads1,-0.3619708362346107,0,1,0,0,-7.802181583230767,49.324009324009324,
1,-2.5727248384612533,GO:0006633,M1,1,0,GO Biological Processes,19,fatty acid biosynthetic process,19_GO:0009987 cellular process,-2.5727248384612533,6.950808902028415,4.537977400971331,21160,123,99,4,4.040404040404041,1.9789690695126556,20250|54325|76267|106529,Scd2|Elovl1|Fads1|Tecr,-0.288009089752417,0,1,0,0,-7.802181583230767,49.324009324009324,
1,-2.3069212565458845,GO:0033559,M1,1,0,GO Biological Processes,19,unsaturated fatty acid metabolic process,19_GO:0009987 cellular process,-2.3069212565458845,5.855818458558185,4.036548529089849,21160,146,99,4,4.040404040404041,1.9789690695126556,11430|20250|54325|76267,Acox1|Scd2|Elovl1|Fads1,-0.1495239461907028,0,1,0,0,-7.802181583230767,49.324009324009324,
1,-2.103400233794034,GO:0072330,M1,1,0,GO Biological Processes,19,monocarboxylic acid biosynthetic process,19_GO:0009987 cellular process,-2.103400233794034,5.11945805358979,3.664263868237996,21160,167,99,4,4.040404040404041,1.9789690695126556,20250|54325|76267|106529,Scd2|Elovl1|Fads1|Tecr,-0.04184986545937796,0,1,0,0,-7.802181583230767,49.324009324009324,
1,-6.970569848902889,mmu01200,M1,1,0,KEGG Pathway,24,Carbon metabolism - Mus musculus (house mouse),,-6.970569848902889,14.015565490975328,9.884766260115201,21160,122,99,8,8.080808080808081,2.739131597330529,11430|11676|12359|14751|17449|21351|66945|67834,Acox1|Aldoc|Cat|Gpi1|Mdh1|Taldo1|Sdha|Idh3a,-3.02784270353694,0,2,1,1,-6.970569848902889,18.859180035650624,
1,-5.745834769334711,GO:0006091,M1,1,0,GO Biological Processes,19,generation of precursor metabolites and energy,19_GO:0009987 cellular process,-5.745834769334711,6.138671308384102,6.958000871897356,21160,383,99,11,11.11111111111111,3.1585291311942285,11430|11676|12359|12869|14751|17449|21351|22178|66694|66945|67834,Acox1|Aldoc|Cat|Cox8b|Gpi1|Mdh1|Taldo1|Tyrp1|Uqcrfs1|Sdha|Idh3a,-2.347175668319038,0,2,0,0,-6.970569848902889,18.859180035650624,
1,-4.0901112720786355,WP157,M1,1,0,WikiPathways,27,Glycolysis and gluconeogenesis,,-4.0901112720786355,17.447948876520307,7.902801199607846,21160,49,99,4,4.040404040404041,1.9789690695126556,11676|14751|17449|55951,Aldoc|Gpi1|Mdh1|Mpc1,-1.2442941397207432,0,2,0,0,-6.970569848902889,18.859180035650624,
1,-3.697632744235372,GO:0005975,M1,1,0,GO Biological Processes,19,carbohydrate metabolic process,19_GO:0009987 cellular process,-3.697632744235372,4.432341851696691,4.953399160570501,21160,434,99,9,9.090909090909092,2.889280573471492,11676|14667|14751|17155|17254|17449|21351|71665|214505,Aldoc|Gm2a|Gpi1|Man1a|Slc3a2|Mdh1|Taldo1|Fuca1|Gnptg,-0.9309968579251046,0,2,0,0,-6.970569848902889,18.859180035650624,
1,-3.271623367904805,mmu00030,M1,1,0,KEGG Pathway,24,Pentose phosphate pathway - Mus musculus (house mouse),,-3.271623367904805,18.859180035650624,7.145259543308952,21160,34,99,3,3.0303030303030303,1.7228340715604882,11676|14751|21351,Aldoc|Gpi1|Taldo1,-0.7268362312108936,0,2,0,0,-6.970569848902889,18.859180035650624,
1,-2.7306667138728407,GO:0006094,M1,1,0,GO Biological Processes,19,gluconeogenesis,19_GO:0009987 cellular process,-2.7306667138728407,12.331002331002331,5.608828107278517,21160,52,99,3,3.0303030303030303,1.7228340715604882,11676|14751|17449,Aldoc|Gpi1|Mdh1,-0.3619708362346107,0,2,0,0,-6.970569848902889,18.859180035650624,
