"","Control_pct.1","Ivig_pct.1","Eylea_pct.1","Pg101_pct.1","Ivig_avg_log2FC","Ivig_p_val","Ivig_p_val_adj","Eylea_avg_log2FC","Eylea_p_val","Eylea_p_val_adj","Pg101_avg_log2FC","Pg101_p_val","Pg101_p_val_adj"
"A2m",0.005,0.005,0.003,0.005,0.373357820739793,0.924179742410182,1,-0.550628768692033,0.531540751049351,1,-0.122947060160967,0.903666678895898,1
"A3galt2",0.006,0.005,0.007,0.008,-0.474639085815157,0.780300874239125,1,-0.228700673804672,0.925285029304375,1,-0.0234113866100527,0.657837479860462,1
"A4galt",0,0.005,0.004,0.003,2.43225150979336,0.0718492425812877,1,2.09322742108269,0.109514747247387,1,1.39162611266879,0.160640510178427,1
"AA467197",0.015,0.018,0.001,0.015,-0.474639085815157,0.690484162475677,1,-4.13559126941319,0.0027289167969805,1,-0.515264482939727,0.970853425548401,1
"AA792892",0,0,0,0,0.110323414905999,1,1,-0.228700673804671,1,1,-0.60837388733121,1,1
"AA986860",0.002,0,0,0.004,-0.889676585094001,0.336605953706517,1,-1.22870067380467,0.279665705629714,1,0.713554207556153,0.369644027161356,1
"Aaas",0.043,0.033,0.021,0.028,-0.541753281673695,0.359219185348191,1,-1.18563195191279,0.0171189839749161,1,-0.79478701156209,0.103937499009977,1
"Aacs",0.046,0.023,0.029,0.045,-1.19223935511443,0.026768303181864,1,-0.853191538712465,0.0832471835589129,1,-0.263238401282521,0.921087391268813,1
"Aadacl2",0,0,0,0,0.110323414905999,1,1,-0.228700673804671,1,1,-0.60837388733121,1,1
"Aadacl4",0,0,0,0,0.110323414905999,1,1,-0.228700673804671,1,1,-0.60837388733121,1,1
"Aagab",0.212,0.27,0.279,0.243,0.340057811583615,0.0143947299242777,1,0.327349135001246,0.00466042748303056,1,0.208762055518981,0.115072112625543,1
"Aak1",0.066,0.046,0.047,0.056,-0.760393568149035,0.121898614912494,1,-0.871148669186587,0.107026697792052,1,-0.608373887331208,0.368755593752317,1
"Aamdc",0.026,0.018,0.021,0.04,-0.375103412264243,0.35188059764338,1,-0.228700673804671,0.531689144883064,1,0.522870645947044,0.122698715095749,1
"Aamp",0.265,0.281,0.287,0.305,0.00827214343630134,0.625320912052643,1,0.114187039718337,0.390405154113678,1,0.215971751159096,0.0735888400999248,1
"Aanat",0.002,0.002,0,0.001,0.110323414905999,0.9577476879128,1,-1.22870067380467,0.279665705629714,1,-0.60837388733121,0.764475681345931,1
"Aar2",0.009,0.01,0.012,0.011,0.302968492848395,0.892313810918447,1,0.285872499025087,0.637144307692291,1,0.169233691332344,0.714805361586831,1
"Aard",0,0.002,0,0,1.110323414906,0.299557848951828,1,-0.228700673804671,1,1,-0.60837388733121,1,1
"Aars",0.173,0.136,0.127,0.154,-0.503785431474674,0.0555710789678045,1,-0.663103497950446,0.00875831009311698,1,-0.361459146860692,0.234254417764689,1
"Aarsd1",0.044,0.051,0.029,0.034,0.195212312492512,0.570980998258719,1,-0.572655075022032,0.113050211651597,1,-0.404840493246077,0.287172162164889,1
"Aasdh",0.012,0.007,0.009,0.017,-1.26818820834773,0.301768456297289,1,-0.929140391945763,0.564289999715243,1,-0.138888604029988,0.440816997325876,1
"Aasdhppt",0.028,0.04,0.037,0.028,0.40577929843217,0.236138836776696,1,0.356261826916485,0.340381190658061,1,-0.11360919558163,0.953354142487319,1
"Aass",0,0,0,0,0.110323414905999,1,1,-0.228700673804671,1,1,-0.60837388733121,1,1
"Aatf",0.058,0.036,0.046,0.045,-0.828276040429857,0.0694646471087543,1,-0.542809264232734,0.287800272668712,1,-0.459510501416726,0.239427395270223,1
"Aatk",0.006,0.018,0.02,0.019,1.48883503815973,0.0489447022176285,1,1.69729874475155,0.0276684347765385,1,1.59325997383844,0.0281399128639905,1
"AB124611",0.124,0.159,0.11,0.118,0.460509769834875,0.06556252789806,1,-0.151532813282211,0.413300758427441,1,0.0437028092484844,0.76094976864399,1
"Abat",0,0.002,0.005,0.003,1.110323414906,0.299557848951828,1,2.35626182691648,0.0644798278542391,1,1.39162611266879,0.160640510178427,1
"Abca1",0.411,0.538,0.584,0.533,0.477715541949734,2.62614921626131e-06,0.0431896500106335,0.582917420045455,5.11528316816532e-11,8.41259469836469e-07,0.419875589472965,1.37100524117086e-06,0.0225475521962959
"Abca12",0,0,0,0,0.110323414905999,1,1,-0.228700673804671,1,1,-0.60837388733121,1,1
"Abca13",0.002,0,0,0.001,-0.889676585094001,0.336605953706517,1,-1.22870067380467,0.279665705629714,1,-0.60837388733121,0.764475681345931,1
"Abca14",0,0,0.001,0,0.110323414905999,1,1,0.771299326195329,0.356329696291786,1,-0.60837388733121,1,1
"Abca16",0,0,0,0,0.110323414905999,1,1,-0.228700673804671,1,1,-0.60837388733121,1,1
