"","Control_pct.1","Ivig_pct.1","Eylea_pct.1","Pg101_pct.1","Ivig_avg_log2FC","Ivig_p_val","Ivig_p_val_adj","Eylea_avg_log2FC","Eylea_p_val","Eylea_p_val_adj","Pg101_avg_log2FC","Pg101_p_val","Pg101_p_val_adj"
"Abcb10",0.009,0,0.006,0.007,-4.66175851310039,4.20849834264619e-06,0.0692129637431592,-0.634273919973158,0.196719044622159,1,-0.335785932390905,0.369849622660217,1
"Abcb11",0.001,0.001,0.001,0.003,0.508166488341923,0.501586911077157,1,0.213722986581791,0.773670619702495,1,1.77969128502903,0.102028151590116,1
"Abcb1a",0,0,0,0,1.09312898906308,0.399360093624678,1,-1.10820510830557,1,1,-0.920748433112063,1,1
"Abcb1b",0,0,0,0.001,0.508166488341923,0.399360093624678,1,-1.10820510830557,1,1,0.664214067609093,0.304118383374333,1
"Abcb4",0,0.001,0.001,0,2.09312898906308,0.144104143070923,1,1.21372298658179,0.173087848588173,1,0.0792515668879368,0.467621948241451,1
"Abcb6",0.043,0.031,0.031,0.029,-0.509535513391536,0.0373867280802252,1,-0.499972828261567,0.0301538307806762,1,-0.564054920064024,0.00806427468389747,1
"Abcb7",0.034,0.036,0.041,0.039,-0.044374534686856,0.772449757331295,1,-0.0440747708858558,0.293939336828504,1,0.0316335466551978,0.42102779622459,1
"Abcb8",0.027,0.034,0.045,0.037,0.179543740880553,0.230445605839974,1,0.537786825813146,0.0027198989643845,1,0.324364064724469,0.0830512934780111,1
"Abcb9",0.018,0.021,0.019,0.019,0.0661619414628101,0.431915261994567,1,-0.148847092802916,0.812036854073805,1,-0.113393511054458,0.811898830290592,1
"Abcc1",0.28,0.309,0.299,0.292,0.00300222956288465,0.165583429104334,1,-0.0331036530648519,0.413684119071723,1,0.00583049741856834,0.523402907316441,1
"Abcc10",0.02,0.022,0.016,0.021,0.0442193885821327,0.67297197928941,1,-0.364044012735161,0.342573414991126,1,0.024110012695477,0.907042300140399,1
"Abcc12",0,0,0,0,-0.491833511658077,1,1,-0.108205108305571,0.496083774404169,1,-0.920748433112063,1,1
"Abcc2",0,0,0,0,-0.491833511658077,1,1,-1.10820510830557,1,1,-0.920748433112063,1,1
"Abcc3",0,0,0,0.001,-0.491833511658077,1,1,-1.10820510830557,1,1,1.4011796617753,0.304118383374333,1
"Abcc4",0.113,0.128,0.139,0.116,0.141894816058342,0.172477123195803,1,0.233002049076675,0.0140403852639254,1,-0.00740281536624465,0.764349589032962,1
"Abcc5",0.131,0.113,0.112,0.116,-0.218639239604062,0.0827132220510946,1,-0.31917269618522,0.0346438614592566,1,-0.170588912636001,0.111984323570367,1
"Abcc6",0,0,0,0,-0.491833511658077,1,1,-1.10820510830557,1,1,-0.920748433112063,1,1
"Abcc8",0,0,0.001,0.001,-0.491833511658077,1,1,0.891794891694429,0.335551318426755,1,1.66421406760909,0.145992343144555,1
"Abcc9",0,0,0,0,-0.491833511658077,1,1,-1.10820510830557,1,1,-0.920748433112063,1,1
"Abcd1",0.027,0.026,0.027,0.028,-0.044374534686856,0.847227207641973,1,-0.0951489554801244,0.94890658448122,1,-0.117145645915566,0.869618199635205,1
