"","Control_pct.1","Ivig_pct.1","Eylea_pct.1","Pg101_pct.1","Ivig_avg_log2FC","Ivig_p_val","Ivig_p_val_adj","Eylea_avg_log2FC","Eylea_p_val","Eylea_p_val_adj","Pg101_avg_log2FC","Pg101_p_val","Pg101_p_val_adj"
"Abcb1b",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Abcb4",0.04,0.064,0.032,0.028,0.727161112819573,0.208293763776718,1,-0.17627668088343,0.61820997867547,1,-0.366970372675286,0.427931563086207,1
"Abcb6",0.04,0.076,0.083,0.075,0.879164206264622,0.0750091563307551,1,1.09674181352299,0.029417436497292,1,0.932589909183622,0.0587707384510479,1
"Abcb7",0.152,0.116,0.16,0.155,-0.381363343958597,0.225204655985075,1,0.133051377224299,0.756876733899454,1,-0.0060095461522347,0.918697361235609,1
"Abcb8",0.04,0.108,0.07,0.065,1.36459103343486,0.00264033101285073,1,0.762322774452426,0.107364257067989,1,0.633029627324714,0.163253739264827,1
"Abcb9",0.025,0.044,0.048,0.036,0.94955353415602,0.238955333448833,1,0.82372331911657,0.14788987224491,1,0.424443005513297,0.429328635500209,1
"Abcc1",0.094,0.096,0.128,0.121,-0.168141508513734,0.988771112044321,1,0.424115860407332,0.196745411772551,1,0.291276554081102,0.276508580810307,1
"Abcc10",0.09,0.084,0.115,0.103,-0.0346791499856627,0.800605136566321,1,0.332736966604428,0.32575444850336,1,0.276544310400983,0.555640524219631,1
"Abcc12",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Abcc2",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Abcc3",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Abcc4",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Abcc5",0.39,0.375,0.403,0.331,-0.172674725254995,0.503262627775399,1,-0.0673423093302661,0.840521661389968,1,-0.399985429903249,0.0682559407389014,1
"Abcc6",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Abcc8",0.025,0.016,0.003,0.016,-0.857801387901583,0.448861410941126,1,-1.91324227504964,0.021185475084253,1,-0.99702076292498,0.365768754225036,1
"Abcc9",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Abcd1",0.022,0.02,0.054,0.036,-0.0801938092380317,0.889823441297428,1,1.18629339850128,0.0411484387801065,1,0.710197487847174,0.279397044959525,1
"Abcd2",0.097,0.104,0.157,0.09,0.0932890116174696,0.815249324126148,1,0.67172022567152,0.0324966245075014,1,0.00297923707501946,0.780157147928272,1
"Abcd3",0.054,0.092,0.077,0.093,0.594710816795923,0.101703436197632,1,0.330683307836453,0.282986316322884,1,0.517552409904778,0.0701140345572337,1
"Abcd4",0.025,0.048,0.061,0.059,0.842638330239509,0.165723066255523,1,1.14565141400393,0.0366583979335825,1,1.21799212804587,0.0361278963892549,1
"Abce1",0.105,0.076,0.118,0.07,-0.535873293014221,0.239064664407836,1,0.145651414003932,0.608860806790998,1,-0.62446659496765,0.108358942961399,1
"Abcf1",0.126,0.108,0.121,0.15,-0.160364157922015,0.518173065824935,1,-0.0638019516250177,0.854942104597967,1,0.262295354662703,0.381227718151169,1
"Abcf2",0.083,0.108,0.134,0.145,0.356323417451264,0.338189783703506,1,0.794576973457053,0.0444073061974983,1,0.756339269491895,0.0157907150519484,1
"Abcf3",0.094,0.12,0.096,0.109,0.232396421069994,0.358704445354131,1,-0.0860788719118517,0.96086399835039,1,0.11794495119554,0.562051709216485,1
"Abcg1",0.238,0.171,0.208,0.189,-0.539625427875329,0.0521073820767061,1,-0.334538764800163,0.307817778666445,1,-0.520415440294242,0.0858087841662977,1
