"","Control_pct.1","Ivig_pct.1","Eylea_pct.1","Pg101_pct.1","Ivig_avg_log2FC","Ivig_p_val","Ivig_p_val_adj","Eylea_avg_log2FC","Eylea_p_val","Eylea_p_val_adj","Pg101_avg_log2FC","Pg101_p_val","Pg101_p_val_adj"
"Abcb11",0,0.005,0,0,0.896377368925843,0.337260175825304,1,-1.30649805431776,1,1,-1.33110752166176,1,1
"Abcb1a",0,0,0,0,-0.103622631074157,1,1,-1.30649805431776,1,1,-1.33110752166176,1,1
"Abcb1b",0,0.01,0,0,1.89637736892584,0.173057308390354,1,-1.30649805431776,1,1,-1.33110752166176,1,1
"Abcb4",0,0,0.002,0,-0.103622631074157,1,1,-0.306498054317756,0.527083349334328,1,-1.33110752166176,1,1
"Abcb6",0.048,0.069,0.052,0.061,0.311414868204686,0.374078796971914,1,-0.247604365264188,0.855324669084402,1,0.0381262880039612,0.511354718993657,1
"Abcb7",0.09,0.109,0.103,0.076,0.370308557258255,0.525017757062175,1,0.196002286211427,0.610886532434921,1,-0.253105009660485,0.546997058578873,1
"Abcb8",0.053,0.04,0.043,0.055,-0.393129248269142,0.524297580683048,1,-0.24236771689804,0.583065085494366,1,0.0168157817585488,0.923591105562431,1
"Abcb9",0.021,0.04,0.045,0.03,0.25894744831055,0.307590822683026,1,0.409708979681652,0.157910983645569,1,-0.231571848110844,0.56912344076583,1
"Abcc1",0.122,0.124,0.097,0.074,-0.196732035465639,0.979864374149787,1,-0.7215355535966,0.278406607738261,1,-1.08318000821817,0.0383209666256406,1
"Abcc10",0.08,0.04,0.092,0.089,-1.02116047088218,0.0912922061406716,1,0.160627956109542,0.605938782654138,1,0.13601848876554,0.704182701943043,1
"Abcc12",0,0,0,0.002,-0.103622631074157,1,1,-1.30649805431776,1,1,-0.331107521661758,0.530598125263707,1
"Abcc2",0,0,0,0,-0.103622631074157,1,1,-1.30649805431776,1,1,-1.33110752166176,1,1
"Abcc3",0,0,0.002,0,-0.103622631074157,1,1,-0.306498054317756,0.527083349334328,1,-1.33110752166176,1,1
"Abcc4",0.005,0.005,0.002,0.002,-0.103622631074157,0.962328764661774,1,-1.30649805431776,0.50888554753872,1,-1.33110752166176,0.500348103037965,1
"Abcc5",0.426,0.559,0.434,0.408,0.189159118153688,0.0506684066401415,1,-0.110100841514253,0.955553076118264,1,-0.210092120700392,0.505936989506323,1
"Abcc6",0,0,0,0,-0.103622631074157,1,1,-1.30649805431776,1,1,-1.33110752166176,1,1
"Abcc8",0.048,0.045,0.052,0.049,-0.366657036907951,0.859627689708295,1,-0.191020836897821,0.862446821270835,1,-0.00917942677439587,0.964166858986226,1
"Abcc9",0.005,0,0,0,-1.68858513179531,0.302337338328329,1,-2.89146055503891,0.116572494009861,1,-2.91607002238291,0.113461687193033,1
"Abcd1",0.032,0.03,0.054,0.036,-0.296267709016553,0.893609110437117,1,0.448389447845712,0.239848322717161,1,-0.0831800082181724,0.805635074113911,1
"Abcd2",0.09,0.124,0.095,0.078,0.362040941274655,0.299234033888383,1,-0.11385297637536,0.89698991169971,1,-0.331107521661758,0.591914818724916,1
"Abcd3",0.085,0.124,0.095,0.121,0.204499664288175,0.247692627628455,1,-0.0549592873217915,0.740764176148487,1,0.342664246017255,0.209107627770556,1
"Abcd4",0.027,0.054,0.056,0.038,0.789462165009331,0.169148573099294,1,0.693501945682243,0.114057802722138,1,0.385099512337651,0.469982346821508,1
"Abce1",0.128,0.119,0.112,0.066,-0.267121363357036,0.747954880155963,1,-0.231209927013519,0.559527487537476,1,-0.929009078090412,0.00953351211976916,1
"Abcf1",0.133,0.129,0.095,0.125,-0.196732035465639,0.854813383793844,1,-0.7215355535966,0.132376812211548,1,-0.243644680411418,0.738522672992848,1
"Abcf2",0.117,0.114,0.088,0.095,0.169395863332258,0.951451867907516,1,-0.3678985989819,0.263877307500677,1,-0.272213832608189,0.411616660542864,1
"Abcf3",0.138,0.099,0.153,0.118,-0.35737922331994,0.246895879333285,1,-0.0127668512610457,0.689072123704256,1,-0.24090971269018,0.487271968485938,1
"Abcg1",0.112,0.079,0.118,0.091,-0.457259585688858,0.276936892716258,1,0.0279209847528028,0.82348322612119,1,-0.099781975555302,0.448426249352222,1
"Abcg2",0.027,0.015,0.009,0.011,-0.36665703690795,0.420509332324902,1,-1.56953246015155,0.0745584794427825,1,-1.10871510032531,0.129739543208234,1
"Abcg3",0,0,0,0,-0.103622631074157,1,1,-1.30649805431776,1,1,-1.33110752166176,1,1
"Abcg4",0.17,0.277,0.252,0.237,0.593814598905411,0.0134838816441355,1,0.58208066301382,0.0230153335142641,1,0.492862114246743,0.0567144257429572,1
"Abcg5",0,0,0,0,-0.103622631074157,1,1,-1.30649805431776,1,1,-1.33110752166176,1,1
"Abcg8",0,0,0,0,-0.103622631074157,1,1,-1.30649805431776,1,1,-1.33110752166176,1,1
"Abhd10",0.117,0.124,0.118,0.127,0.0539186459123222,0.84468014066025,1,-0.148956777331277,0.996729662294901,1,0.138377761639462,0.711965712968322,1
"Abhd11",0.112,0.069,0.129,0.146,-0.897171753606731,0.133993060618867,1,-0.00693777245884863,0.576190559340445,1,0.253854979059398,0.256218053140112,1
"Abhd12",0.287,0.396,0.342,0.268,0.495415054858722,0.0182027280531875,1,0.1138337446306,0.239750460813701,1,-0.00917942677439543,0.760732036474245,1
"Abhd13",0.117,0.144,0.08,0.089,0.502098429813796,0.409107929749253,1,-0.582132496931183,0.131647497573575,1,-0.300080626041133,0.286101094963893,1
"Abhd14a",0.229,0.248,0.273,0.243,0.019759784431125,0.720095913459996,1,0.189927771801743,0.274306046849085,1,-0.00917942677439521,0.749312470008209,1
"Abhd14b",0.112,0.173,0.133,0.142,0.461974544780068,0.0957194665775852,1,0.239470314787536,0.452087502752425,1,0.451301043265615,0.276976509797743,1
"Abhd15",0,0,0,0.004,-0.103622631074157,1,1,-1.30649805431776,1,1,0.253854979059398,0.373525822849022,1
"Abhd16a",0.17,0.223,0.166,0.184,0.225684994178802,0.236338131450894,1,-0.165635518477907,0.822126529868032,1,0.0417017422277883,0.713018270168479,1
"Abhd17a",0.255,0.277,0.226,0.214,0.167679390743237,0.611115691377937,1,-0.331589035280587,0.32858754786614,1,-0.200403830017164,0.277342445957099,1
