"","Control_pct.1","Ivig_pct.1","Eylea_pct.1","Pg101_pct.1","Ivig_avg_log2FC","Ivig_p_val","Ivig_p_val_adj","Eylea_avg_log2FC","Eylea_p_val","Eylea_p_val_adj","Pg101_avg_log2FC","Pg101_p_val","Pg101_p_val_adj"
"Rap2b",0.015,0.009,0.045,0.021,-0.290515142255901,0.689098692690624,1,1.56293619439116,0.254149457009387,1,0.882816460629661,0.794874684339009,1
"Rap2c",0.069,0.113,0.023,0.021,0.672958981718985,0.240350684350989,1,-0.758991900496205,0.255387750243386,1,-0.854149133536545,0.225495892624303,1
"Rapgef1",0.231,0.151,0.227,0.277,-0.618089800284405,0.119536845639093,1,0.0223678130284544,0.945124943437318,1,0.374669556959336,0.508817765011896,1
"Rapgef2",0.246,0.292,0.182,0.191,0.294447358465255,0.402683552195696,1,-0.47659216979548,0.344723172614893,1,-0.41974630939077,0.403090923037578,1
"Rapgef3",0.038,0.057,0.045,0.043,0.516839779801703,0.513519361108137,1,0.562936194391157,0.842796011731769,1,0.882816460629661,0.886554886980775,1
"Rapgef4",0.108,0.17,0.091,0.021,0.54237487190884,0.176247619516964,1,0.147898695112313,0.780400329386099,1,-1.53222103864918,0.0691494880610135,1
"Rapgef5",0.192,0.425,0.409,0.298,0.902129935686495,0.000354703394626898,1,0.755581272333553,0.00934111148522204,1,0.162924379822396,0.232404483862382,1
"Rapgef6",0.1,0.104,0.091,0.255,-0.208052982063928,0.973727879078426,1,-0.20259855197182,0.832176290653914,1,1.287206715709,0.00994672941870302,1
"Rapgefl1",0,0.009,0,0.021,1.29444735846525,0.271804039396671,1,1.56293619439116,1,1,3.05274146207197,0.0988767717947155,1
"Raph1",0.377,0.462,0.364,0.319,-0.0323629578018532,0.474683904773422,1,-0.187085552600495,0.765698745815446,1,-0.654211563027793,0.258076480204707,1
"Rapsn",0.008,0,0.023,0,-0.705552641534745,0.371071673489611,1,1.56293619439116,0.425451921627468,1,0.467778961350817,0.556205136096665,1
"Rara",0.069,0.132,0.114,0.17,1.05998210482823,0.0996040599532274,1,0.825970600224951,0.353111417862473,1,1.46777896135082,0.0420188262891748,1
"Rarb",0.085,0.104,0.136,0.085,0.294447358465255,0.617248766514604,1,0.977973693670001,0.303112646498335,1,0.204744555517023,0.994513005653243,1
"Rarg",0.177,0.085,0.068,0.149,-0.968587047368538,0.0412880934992585,1,-1.02202630633,0.0830165883608376,1,0.0527414620719733,0.707300259428774,1
"Rarres1",0,0.009,0,0,1.29444735846525,0.271804039396671,1,1.56293619439116,1,1,1.46777896135082,1,1
"Rarres2",0.554,0.679,0.545,0.468,-0.151808871424309,0.119341915528159,1,-0.450360628222301,0.836022701058465,1,-0.978477268538747,0.181336091463579,1
"Rars",0.108,0.104,0.091,0.085,0.194911684914341,0.964163035946966,1,0.241008099503795,0.790430680054911,1,-0.117183539370339,0.664431666094565,1
"Rars2",0.015,0.019,0.091,0.064,0.294447358465256,0.840330005382007,1,2.29990178855736,0.0182552960977618,1,1.88281646062966,0.0878089436979161,1
"Rasa1",0.208,0.142,0.227,0.17,-0.512907563592349,0.190337275090541,1,0.21501289097085,0.788253573359721,1,-0.169650959264475,0.586099300752921,1
"Rasa2",0.031,0.019,0.068,0.043,-0.442518235700951,0.566683915367882,1,1.24100809950379,0.2787537499178,1,0.730813367184611,0.706821064836075,1
"Rasa3",0.354,0.33,0.318,0.17,-0.027480736422107,0.775880463614556,1,0.0890050060587451,0.754088660876157,1,-0.368722306366304,0.0476922478524171,1
"Rasa4",0.008,0.009,0.023,0.021,1.29444735846525,0.884809497725179,1,1.56293619439116,0.425451921627468,1,1.46777896135082,0.456943203797842,1
"Rasal1",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Rasal2",0.169,0.17,0.136,0.191,-0.0840642647884744,0.972981647002407,1,-0.330148601692331,0.577680154363866,1,0.467778961350817,0.661621668257677,1
"Rasal3",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Rasd1",0.269,0.198,0.182,0.149,-0.617015966933087,0.174355667798519,1,-0.933489631728341,0.19072589200958,1,-0.929111191217767,0.108388969821634,1
"Rasd2",0.023,0,0,0.021,-1.70555264153475,0.117409650112539,1,-0.437063805608843,0.314504479540738,1,0.467778961350817,0.948561757452488,1
"Rasef",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Rasgef1a",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Rasgef1b",0.062,0.028,0.023,0.085,-1.70555264153475,0.221350879544165,1,-1.43706380560884,0.312221602343463,1,0.0527414620719733,0.601499363626994,1
"Rasgef1c",0,0,0,0.043,0.294447358465255,1,1,1.56293619439116,1,1,3.05274146207197,0.0187934512241945,1
"Rasgrf1",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Rasgrf2",0,0,0.068,0,0.294447358465255,1,1,3.88486428927852,0.00281944415401477,1,1.46777896135082,1,1
"Rasgrp1",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Rasgrp2",0.654,0.66,0.727,0.34,0.246750616433959,0.25414604596522,1,0.175010540729555,0.294518157453674,1,-1.08241812120966,0.0002069639383523,1
"Rasgrp3",0.269,0.321,0.205,0.106,0.0776359693921072,0.513332850726615,1,-0.541400465423578,0.323311472318773,1,-1.37352329263012,0.0188802461771124,1
"Rasgrp4",0,0,0.023,0,0.294447358465255,1,1,2.56293619439116,0.0880719637411242,1,1.46777896135082,1,1
"Rasip1",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Rasl10a",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Rasl10b",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Rasl11a",0.523,0.377,0.273,0.319,-0.644152096870601,0.050389512061411,1,-1.19509101530288,0.00461763942181472,1,-0.918279470956261,0.0147200295169093,1
"Rasl11b",0.115,0.057,0,0.085,-0.95348015497833,0.114787260076714,1,-2.68499131905243,0.0190169257920897,1,-0.195186051371612,0.575437751384562,1
"Rasl12",0.646,0.717,0.614,0.511,-0.0792311110525308,0.837605265792602,1,-0.16437922974133,0.678633897221429,1,-0.393837554493261,0.101636022172357,1
"Rasl2-9",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Rassf1",0.277,0.217,0.091,0.106,-0.521128070397317,0.227017259512386,1,-1.57456732935878,0.00991728989260818,1,-1.40669015656532,0.0149549141047796,1
"Rassf10",0,0,0,0,0.294447358465255,1,1,1.56293619439116,1,1,1.46777896135082,1,1
"Rassf2",0,0,0,0.021,0.294447358465255,1,1,1.56293619439116,1,1,2.46777896135082,0.0988767717947155,1
"Rassf3",0.285,0.255,0.159,0.17,-0.0534759449550517,0.669152719412654,1,-0.829381228387603,0.0905686256053181,1,-0.754613459985631,0.112816050759997,1
