"","Control_pct.1","Ivig_pct.1","Eylea_pct.1","Pg101_pct.1","Ivig_avg_log2FC","Ivig_p_val","Ivig_p_val_adj","Eylea_avg_log2FC","Eylea_p_val","Eylea_p_val_adj","Pg101_avg_log2FC","Pg101_p_val","Pg101_p_val_adj"
"A2m",0,0,0,0,-0.889342394397673,1,1,-1.22492639062915,1,1,-1.71445907625446,1,1
"A3galt2",0,0,0,0.001,-0.889342394397673,1,1,-0.224926390629152,0.513333859228822,1,0.6074690186329,0.339046806882723,1
"A4galt",0,0,0,0,-0.889342394397673,1,1,-1.22492639062915,1,1,-1.71445907625446,1,1
"AA467197",0,0,0,0,-0.889342394397673,1,1,-1.22492639062915,1,1,-1.71445907625446,1,1
"AA792892",0,0,0,0,-0.889342394397673,1,1,-1.22492639062915,1,1,-1.71445907625446,1,1
"AA986860",0.008,0.005,0.005,0.007,-0.58448781286925,0.153808043354762,1,-0.668533042104766,0.186620577985488,1,-0.310068821175125,0.716208410621599,1
"Aaas",0.007,0.009,0.011,0.008,0.451694523437395,0.567662186819147,1,0.568622731903421,0.248446191449434,1,0.285540923745539,0.759076557119164,1
"Aacs",0.027,0.018,0.024,0.03,-0.116752890500743,0.0697426500451874,1,-0.0956433736841857,0.531130865011424,1,0.401018141165475,0.41911219045001,1
"Aadacl2",0,0,0,0,-0.889342394397673,1,1,-1.22492639062915,1,1,-1.71445907625446,1,1
"Aadacl4",0,0,0,0,-0.889342394397673,1,1,-1.22492639062915,1,1,-1.71445907625446,1,1
"Aagab",0.081,0.066,0.104,0.086,-0.272014368011172,0.0753563070971076,1,0.285107622585439,0.0125981872525748,1,0.0322926423285312,0.579176655591819,1
"Aak1",0.118,0.112,0.115,0.118,-0.101887029777772,0.499008393783658,1,-0.122429316707131,0.650099996644572,1,-0.0905024439174418,0.932175340201795,1
"Aamdc",0.044,0.036,0.042,0.046,-0.117819578195097,0.199070350055157,1,-0.086098685931836,0.780995130806899,1,0.0908125313026535,0.743558089311216,1
"Aamp",0.18,0.185,0.197,0.189,0.0947862129594468,0.635570380940946,1,-0.00433903057402119,0.268775883849301,1,0.00119883030815737,0.539256907362719,1
"Aanat",0,0,0,0,-0.889342394397673,1,1,-1.22492639062915,1,1,-1.71445907625446,1,1
"Aar2",0.019,0.011,0.012,0.013,-0.758097861119419,0.0268615808948437,1,-0.784353799243172,0.0288229260457048,1,-0.731737067686297,0.0743755140032885,1
"Aard",0,0,0.001,0,-0.889342394397673,1,1,0.360036110092004,0.355071207391399,1,-1.71445907625446,1,1
"Aars",0.142,0.139,0.147,0.143,-0.0276454166667586,0.75354695565438,1,-0.107912920225282,0.808015334755339,1,-0.0758877829207067,0.947531222666079,1
"Aarsd1",0.107,0.113,0.125,0.111,0.227538905897948,0.429238043760713,1,0.176349207405207,0.0744136697862139,1,0.0815462952689052,0.601654325370675,1
"Aasdh",0.003,0.002,0.002,0.005,-0.626307988563877,0.5548801257573,1,0.0381080152046422,0.4897896441943,1,1.24901504772042,0.254263192322418,1
"Aasdhppt",0.056,0.053,0.072,0.055,0.012319686409036,0.684402066203393,1,0.156163776726354,0.0469347620153185,1,-0.22584044459451,0.800157175532082,1
"Aass",0,0,0,0,-0.889342394397673,1,1,-1.22492639062915,1,1,-1.71445907625446,1,1
"Aatf",0.012,0.011,0.009,0.012,-0.130350493901466,0.665760682137328,1,-0.499101354068147,0.254277564806709,1,-0.186080103899673,0.833678855459106,1
"Aatk",0,0,0.001,0.001,-0.889342394397673,1,1,1.09700170425821,0.257267442461215,1,1.6074690186329,0.216998387094568,1
"AB124611",0,0,0,0,0.695620106323485,0.462780616131123,1,-1.22492639062915,1,1,-1.71445907625446,1,1
"Abat",0,0,0.001,0.003,-0.889342394397673,1,1,1.09700170425821,0.355071207391399,1,3.09289584580314,0.0463694028984169,1
"Abca1",0.014,0.019,0.016,0.024,0.712108229112054,0.222656239023844,1,0.326483550380977,0.622018802993627,1,0.862188156254691,0.01634333949293,1
"Abca12",0,0,0,0,-0.889342394397673,1,1,-1.22492639062915,1,1,-1.71445907625446,1,1
