Gene,TotalEvidenceCounts,EvidenceHit:hits,EvidenceGO:hits,EvidencePPI:hits
75620,3.0,1,1,1
230872,3.0,1,1,1
54160,3.0,1,1,1
18032,3.0,1,1,1
50784,3.0,1,1,1
21827,3.0,1,1,1
93736,3.0,1,1,1
13666,3.0,1,1,1
50530,3.0,1,1,1
74143,3.0,1,1,1
18708,3.0,1,1,1
22359,3.0,1,1,1
21357,3.0,1,1,1
59308,3.0,1,1,1
76614,3.0,1,1,1
110809,3.0,1,1,1
13627,3.0,1,1,1
109815,3.0,1,1,1
56430,3.0,1,1,1
12576,3.0,1,1,1
14252,3.0,1,1,1
208643,3.0,1,1,1
320632,3.0,1,1,1
240913,3.0,1,1,1
20356,3.0,1,1,1
216850,3.0,1,1,1
11765,3.0,1,1,1
70314,3.0,1,1,1
76273,3.0,1,1,1
20619,3.0,1,1,1
216805,3.0,1,1,1
320717,3.0,1,1,1
66498,3.0,1,1,1
77891,3.0,1,1,1
23938,3.0,1,1,1
269152,3.0,1,1,1
14873,3.0,1,1,1
214063,3.0,1,1,1
234366,3.0,1,1,1
66972,3.0,1,1,1
22142,3.0,1,1,1
26569,3.0,1,1,1
192662,3.0,1,1,1
68099,3.0,1,1,1
54721,3.0,1,1,1
14567,3.0,1,1,1
14261,3.0,1,1,1
69807,3.0,1,1,1
16449,3.0,1,1,1
20194,3.0,1,1,1
414872,3.0,1,1,1
22169,3.0,1,1,1
66821,3.0,1,1,1
74055,3.0,1,1,1
20620,3.0,1,1,1
21828,3.0,1,1,1
17978,3.0,1,1,1
13819,3.0,1,1,1
26419,3.0,1,1,1
74203,3.0,1,1,1
23928,3.0,1,1,1
22612,3.0,1,1,1
77929,3.0,1,1,1
80877,3.0,1,1,1
19153,3.0,1,1,1
76709,3.0,1,1,1
17346,3.0,1,1,1
20740,3.0,1,1,1
66225,3.0,1,1,1
106021,3.0,1,1,1
64652,3.0,1,1,1
218271,3.0,1,1,1
21824,3.0,1,1,1
83814,3.0,1,1,1
231580,3.0,1,1,1
17448,3.0,1,1,1
101497,3.0,1,1,1
14694,3.0,1,1,1
20397,3.0,1,1,1
20021,3.0,1,1,1
260302,3.0,1,1,1
71678,3.0,1,1,1
67605,3.0,1,1,1
20928,3.0,1,1,1
27965,3.0,1,1,1
12161,3.0,1,1,1
76123,3.0,1,1,1
66066,3.0,1,1,1
11670,3.0,1,1,1
57782,2.0,1,0,1
55981,2.0,1,0,1
53901,2.0,1,0,1
16506,2.0,1,0,1
66395,2.0,1,0,1
208884,2.0,1,0,1
21810,2.0,1,0,1
244152,2.0,1,1,0
14299,2.0,1,0,1
236733,2.0,1,0,1
381511,2.0,1,0,1
24083,2.0,1,0,1
381236,2.0,1,0,1
71591,2.0,1,1,0
667742,2.0,1,0,1
15213,2.0,1,1,0
14595,2.0,1,0,1
68877,2.0,1,0,1
106529,2.0,1,0,1
66691,2.0,1,0,1
