_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-2.3,TRR00168,M1,1,0,TRRUST,34,Regulated by: Crebbp,,-2.3,5.7,4,21160,45,330,4,1.2,0.6,12951|14281|17978|20147,Crx|Fos|Ncoa2|Rs1,0,0
1,-2.1,TRR01368,M1,1,0,TRRUST,34,Regulated by: Stat3,,-2.1,4,3.4,21160,81,330,5,1.5,0.67,13653|14281|18708|20848|23959,Egr1|Fos|Pik3r1|Stat3|Nt5e,0,0
