p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,pct.1_pct.2,pct_method_1
1.17243642263881e-47,2.11461428030498,0.268,0.071,3.77876259016487e-43,3,Spidr,0.197,0.052796
1.73818351366028e-47,1.7436336278111,0.367,0.122,5.60216546452707e-43,3,Kremen1,0.245,0.089915
4.14933749177183e-47,0.497489255921302,0.951,0.782,1.33733147359806e-42,3,Glo1,0.169,0.160719
1.73225690720323e-46,0.972796060308626,0.746,0.434,5.583064011916e-42,3,Il6st,0.312,0.232752
7.76973491811832e-45,0.766647321813848,0.835,0.578,2.50418556410954e-40,3,Rnf145,0.257,0.214595
2.6271997668139e-44,0.985677432632266,0.736,0.428,8.46746484844121e-40,3,Rock2,0.308,0.226688
2.69540418477189e-44,0.912036299620645,0.751,0.472,8.68728768751979e-40,3,Map3k1,0.279,0.209529
3.54794793974365e-44,2.02924022542475,0.261,0.072,1.14350362097938e-39,3,Col4a1,0.189,0.049329
2.85831973717084e-43,1.71008373087054,0.36,0.126,9.2123645129016e-39,3,Ache,0.234,0.08424
7.62778654183237e-43,1.01904747279278,0.687,0.373,2.45843560243257e-38,3,Tnip2,0.314,0.215718
3.25652478614589e-41,0.956571531959353,0.701,0.406,1.04957793857482e-36,3,Sec22c,0.295,0.206795
1.24063727713216e-40,1.33993160376033,0.464,0.196,3.99857394419695e-36,3,Bcl6,0.268,0.124352
1.65512667286006e-40,0.847024576834594,0.762,0.476,5.33447326662796e-36,3,Dnttip2,0.286,0.217932
4.86627250239788e-40,1.36325937347506,0.416,0.162,1.56839962752284e-35,3,Btc,0.254,0.105664
6.97827190632736e-39,1.1619356103075,0.553,0.274,2.24909703540931e-34,3,Naa35,0.279,0.154287
2.39164900769525e-38,0.492389003914049,0.92,0.757,7.70828475180181e-34,3,Lgalsl,0.163,0.14996
6.21531606341181e-38,1.46887599376158,0.365,0.137,2.00319636723763e-33,3,Nectin3,0.228,0.08322
9.49758777430492e-38,0.400760849023667,0.929,0.808,3.06107253965848e-33,3,Lsm14a,0.121,0.112409
2.72798801443391e-37,0.785306464801662,0.786,0.514,8.79230537052051e-33,3,Acvr2b,0.272,0.213792
1.41389273594605e-36,0.524644536983443,0.901,0.732,4.55697628795411e-32,3,Sptan1,0.169,0.152269
7.02666148622195e-36,1.6627266392339,0.282,0.093,2.26469299700933e-31,3,Hey2,0.189,0.053298
1.53532268187473e-35,0.981579142645098,0.616,0.331,4.94834500368226e-31,3,Lamtor5,0.285,0.17556
2.49670214623513e-35,0.615906785927616,0.845,0.639,8.04687101731582e-31,3,Mest,0.206,0.17407
1.98349376340547e-34,1.52099210128147,0.32,0.117,6.39280039945582e-30,3,Cdkl5,0.203,0.06496
2.44775243996313e-34,0.570765829997274,0.864,0.688,7.88910611400117e-30,3,Mtcl1,0.176,0.152064
9.27852609088505e-34,0.844417589099116,0.722,0.449,2.99046895909225e-29,3,Htra1,0.273,0.197106
1.18665968530842e-33,1.16933723946787,0.501,0.25,3.82460416574904e-29,3,Clu,0.251,0.125751
1.39021104483789e-33,1.39722308109496,0.372,0.151,4.48065019751252e-29,3,Dcps,0.221,0.082212
9.49770967205386e-33,0.9380131847055,0.624,0.354,3.06111182730296e-28,3,Plcb4,0.27,0.16848
1.65111684225177e-32,0.629320070830743,0.835,0.606,5.32154958257746e-28,3,Lman1,0.229,0.191215
4.29949465820244e-32,1.09875670535478,0.504,0.248,1.38572712833865e-27,3,Tead3,0.256,0.129024
6.4958524555803e-32,1.43951235016219,0.358,0.148,2.09361324643353e-27,3,Nefh,0.21,0.07518
1.31604781045084e-31,1.161917385159,0.471,0.228,4.24162209308305e-27,3,Mlf1,0.243,0.114453
3.32114816357826e-30,1.25576041716125,0.398,0.18,1.07040605312127e-25,3,Etv6,0.218,0.086764
3.65586780425517e-30,0.856106381532757,0.652,0.402,1.17828619331144e-25,3,Ift57,0.25,0.163
5.36901175078893e-30,1.45364297451393,0.318,0.125,1.73043248727927e-25,3,Slc1a1,0.193,0.061374
1.80489345172909e-29,0.753300223043784,0.72,0.472,5.81717159492287e-25,3,Baz2a,0.248,0.17856
2.00106130626508e-29,0.925113443052857,0.591,0.329,6.44942059009235e-25,3,Neurl1a,0.262,0.154842
2.42333509572013e-29,0.68393861983184,0.784,0.525,7.81040901350598e-25,3,Atf7,0.259,0.203056
4.3108254680927e-29,0.721642359302312,0.758,0.515,1.38937904836628e-24,3,Rnf207,0.243,0.184194
4.37297180067093e-29,0.686424143208438,0.762,0.558,1.40940881135624e-24,3,Arhgef2,0.204,0.155448
4.67959008909195e-29,0.560751878168923,0.856,0.661,1.50823188571433e-24,3,Cerkl,0.195,0.16692
6.28256629863101e-29,0.740907001714991,0.727,0.475,2.02487111804878e-24,3,Fbxo9,0.252,0.183204
1.12218816396643e-28,1.34462500853879,0.395,0.184,3.6168124524638e-24,3,Sbno2,0.211,0.083345
3.1817849411132e-28,0.681850491482392,0.772,0.539,1.02548928652078e-23,3,H3f3a,0.233,0.179876
5.28105338307832e-28,0.313663186842994,0.965,0.865,1.70208350536614e-23,3,Pcare,0.1,0.0965
1.09609223604315e-27,0.488764597669905,0.878,0.709,3.53270527676708e-23,3,Tmsb4x,0.169,0.148382
1.31314455920717e-27,0.674001288248849,0.767,0.523,4.2322649143247e-23,3,Polr3k,0.244,0.187148
1.88145006171593e-27,0.345708009476699,0.929,0.821,6.06391354891045e-23,3,Ubap1l,0.108,0.100332
6.82667499490136e-27,1.29385610997417,0.318,0.131,2.20023735085671e-22,3,Cd63,0.187,0.059466
8.08612119138669e-27,0.508758372626074,0.833,0.662,2.60615685998393e-22,3,Dusp8,0.171,0.142443
8.61647198633978e-27,0.982279752225078,0.527,0.289,2.77708892119731e-22,3,DEPRECATED-ENSMUSG00000006205,0.238,0.125426
1.89469059651759e-26,1.37590671893833,0.304,0.124,6.10658779257618e-22,3,Irf9,0.18,0.05472
3.34447551247239e-26,0.536305721608209,0.831,0.637,1.07792445766985e-21,3,Ubxn7,0.194,0.161214
8.68006671534309e-26,1.18834250117002,0.365,0.166,2.79758550235508e-21,3,Stat1,0.199,0.072635
1.05457119683471e-25,0.54385164333387,0.824,0.632,3.39888296739827e-21,3,Oxct1,0.192,0.158208
1.32524796411506e-25,0.893628057333598,0.576,0.353,4.27127418834285e-21,3,Afg3l2,0.223,0.128448
1.66134427020129e-25,1.29443297783073,0.334,0.148,5.35451258285877e-21,3,Flot2,0.186,0.062124
2.29723639795386e-25,0.879012091185064,0.588,0.358,7.40399291060528e-21,3,Rab12,0.23,0.13524
3.60588840934145e-25,1.27256140821681,0.308,0.128,1.16217783433075e-20,3,Loxl4,0.18,0.05544
5.99343368941995e-25,0.286806972510115,0.946,0.86,1.93168367810005e-20,3,Syt1,0.086,0.081356
2.29377559744813e-24,0.450474448911744,0.894,0.712,7.39283875057533e-20,3,Pfkl,0.182,0.162708
3.63477279368044e-24,1.21000064038628,0.36,0.17,1.17148727140321e-19,3,Mpp6,0.19,0.0684
5.22424951315751e-24,0.775100666260028,0.626,0.39,1.68377561809067e-19,3,Tpi1,0.236,0.147736
5.59694612443952e-24,0.805603965331029,0.591,0.35,1.80389573590686e-19,3,Dnajb1,0.241,0.142431
1.06236964556919e-23,1.1688927175228,0.341,0.155,3.42401736766949e-19,3,Mzt2,0.186,0.063426
1.75094771895733e-23,0.758182117592868,0.621,0.376,5.64330449819949e-19,3,Clip4,0.245,0.152145
7.57027046626444e-23,0.306300344207093,0.969,0.853,2.43989817127703e-18,3,Mgarp,0.116,0.112404
1.51018660838492e-22,0.969399326280828,0.412,0.206,4.86733143882461e-18,3,Arpin,0.206,0.084872
1.80519061381623e-22,1.22936792735873,0.285,0.12,5.8181293483297e-18,3,Actl6b,0.165,0.047025
1.95545939287839e-22,0.75075040263189,0.584,0.343,6.30244562324704e-18,3,Gpr162,0.241,0.140744
2.51083699734199e-22,0.371289073896534,0.92,0.777,8.09242764243324e-18,3,Zfp516,0.143,0.13156
3.51170450394223e-22,0.587371220611051,0.762,0.548,1.13182236162058e-17,3,Tmem150c,0.214,0.163068
4.26474879336409e-22,0.655737210942804,0.718,0.47,1.37452853610125e-17,3,Nsun4,0.248,0.178064
8.04239777141131e-22,0.852096439384153,0.515,0.303,2.59206480172586e-17,3,Extl2,0.212,0.10918
1.70147842449161e-21,0.82501629227899,0.541,0.327,5.48386496213645e-17,3,Paip2b,0.214,0.115774
3.72170841248295e-21,0.576858051716809,0.748,0.546,1.19950662134326e-16,3,Cpeb4,0.202,0.151096
6.1943853998743e-21,0.271121942026358,0.965,0.867,1.99645041437949e-16,3,Ctbp2,0.098,0.09457
7.45958115043869e-21,0.99999571140399,0.407,0.214,2.40422300478639e-16,3,Josd1,0.193,0.078551
1.16563517017727e-20,0.833939938549861,0.527,0.315,3.75684215348134e-16,3,Qk,0.212,0.111724
1.29699857193364e-20,0.961728173756494,0.431,0.233,4.18022639734214e-16,3,Ikbip,0.198,0.085338
1.82952402931689e-20,0.862157144466448,0.489,0.287,5.89655594648832e-16,3,Pkig,0.202,0.098778
