_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.1,GO:0043434,response to peptide hormone,M1,1,0
1,-2.8,GO:0032570,response to progesterone,M1,1,0
1,-2.4,GO:0008306,associative learning,M1,1,0
1,-2.5,R-MMU-449147,Signaling by Interleukins,M1,1,0
1,-2.4,R-MMU-5688426,Deubiquitination,M1,1,0
1,-2.1,GO:0065004,protein-DNA complex assembly,M1,1,0
1,-2.1,GO:0002244,hematopoietic progenitor cell differentiation,M1,1,0
1,-2.6,GO:0061061,muscle structure development,M1,1,0
1,-2.5,R-MMU-9648002,RAS processing,M1,1,0
1,-6.1,GO:0030856,regulation of epithelial cell differentiation,M1,1,0
1,-3.3,R-MMU-6791312,TP53 Regulates Transcription of Cell Cycle Genes,M1,1,0
1,-2.7,GO:0120039,plasma membrane bounded cell projection morphogenesis,M1,1,0
1,-2.6,GO:0035855,megakaryocyte development,M1,1,0
1,-4,R-MMU-2454202,Fc epsilon receptor (FCERI) signaling,M1,1,0
1,-2.9,GO:0045601,regulation of endothelial cell differentiation,M1,1,0
1,-2.4,GO:0007519,skeletal muscle tissue development,M1,1,0
1,-2.4,GO:0032330,regulation of chondrocyte differentiation,M1,1,0
1,-2.3,GO:0006402,mRNA catabolic process,M1,1,0
1,-2.2,GO:0060218,hematopoietic stem cell differentiation,M1,1,0
1,-2.1,R-MMU-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,M1,1,0
1,-3.7,GO:0045647,negative regulation of erythrocyte differentiation,M1,1,0
1,-2.6,GO:0050686,negative regulation of mRNA processing,M1,1,0
1,-4.5,GO:0071407,cellular response to organic cyclic compound,M1,1,0
1,-3.2,mmu04657,IL-17 signaling pathway - Mus musculus (house mouse),M1,1,0
1,-2.5,R-MMU-5621481,C-type lectin receptors (CLRs),M1,1,0
1,-3.7,R-MMU-181438,Toll Like Receptor 2 (TLR2) Cascade,M1,1,0
1,-2.3,R-MMU-69656,Cyclin A:Cdk2-associated events at S phase entry,M1,1,0
1,-2.2,GO:0045616,regulation of keratinocyte differentiation,M1,1,0
1,-3.3,mmu05166,Human T-cell leukemia virus 1 infection - Mus musculus (house mouse),M1,1,0
1,-2.1,GO:0006352,DNA-templated transcription initiation,M1,1,0
1,-2,R-MMU-174143,APC/C-mediated degradation of cell cycle proteins,M1,1,0
1,-3.7,R-MMU-168176,Toll Like Receptor 5 (TLR5) Cascade,M1,1,0
1,-2.7,GO:0046660,female sex differentiation,M1,1,0
1,-2.7,GO:0044703,multi-organism reproductive process,M1,1,0
1,-3.3,GO:0045604,regulation of epidermal cell differentiation,M1,1,0
1,-4.2,GO:0009612,response to mechanical stimulus,M1,1,0
1,-2.2,GO:1901699,cellular response to nitrogen compound,M1,1,0
1,-3.5,GO:0141188,nucleic acid catabolic process,M1,1,0
1,-2.6,GO:0007612,learning,M1,1,0
1,-2.7,GO:0016071,mRNA metabolic process,M1,1,0
1,-2.1,R-MMU-5673001,RAF/MAP kinase cascade,M1,1,0
1,-4.3,GO:0070848,response to growth factor,M1,1,0
1,-2.1,R-MMU-68867,Assembly of the pre-replicative complex,M1,1,0
1,-2.4,R-MMU-69017,CDK-mediated phosphorylation and removal of Cdc6,M1,1,0
1,-3.2,GO:0050890,cognition,M1,1,0
1,-2.6,R-MMU-187577,SCF(Skp2)-mediated degradation of p27/p21,M1,1,0
1,-3.6,R-MMU-983168,Antigen processing: Ubiquitination & Proteasome degradation,M1,1,0
1,-2.6,GO:0048024,"regulation of mRNA splicing, via spliceosome",M1,1,0
1,-2.8,R-MMU-9006936,Signaling by TGFB family members,M1,1,0
1,-2.7,mmu04066,HIF-1 signaling pathway - Mus musculus (house mouse),M1,1,0
1,-2.4,GO:1900024,regulation of substrate adhesion-dependent cell spreading,M1,1,0
1,-4.4,mmu04010,MAPK signaling pathway - Mus musculus (house mouse),M1,1,0
1,-2.1,R-MMU-5684996,MAPK1/MAPK3 signaling,M1,1,0
1,-3.7,R-MMU-450282,MAPK targets/ Nuclear events mediated by MAP kinases,M1,1,0
1,-2.2,GO:0032204,regulation of telomere maintenance,M1,1,0
1,-2.6,R-MMU-69563,p53-Dependent G1 DNA Damage Response,M1,1,0
1,-3.3,R-MMU-1168372,Downstream signaling events of B Cell Receptor (BCR),M1,1,0
1,-2.1,GO:0007007,inner mitochondrial membrane organization,M1,1,0
1,-3.7,GO:0007611,learning or memory,M1,1,0
1,-2.4,GO:0002521,leukocyte differentiation,M1,1,0
1,-3,GO:1903311,regulation of mRNA metabolic process,M1,1,0
1,-3.4,WP273,Ovarian infertility,M1,1,0
1,-2.1,GO:0120035,regulation of plasma membrane bounded cell projection organization,M1,1,0
1,-2.1,R-MMU-349425,Autodegradation of the E3 ubiquitin ligase COP1,M1,1,0
1,-3.2,GO:0046545,development of primary female sexual characteristics,M1,1,0
1,-2.3,GO:0051052,regulation of DNA metabolic process,M1,1,0
1,-3,R-MMU-2559582,Senescence-Associated Secretory Phenotype (SASP),M1,1,0
1,-2.8,GO:0048812,neuron projection morphogenesis,M1,1,0
1,-2,R-MMU-453274,Mitotic G2-G2/M phases,M1,1,0
1,-2.5,R-MMU-72187,mRNA 3'-end processing,M1,1,0
1,-2.2,GO:0050657,nucleic acid transport,M1,1,0
