Network,Annotation
hits,GO:0031507|heterochromatin formation|-4.4;R-MMU-9841922|MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis|-4.1;R-MMU-9851695|Epigenetic regulation of adipogenesis genes by MLL3 and MLL4 complexes|-4.1
hits_MCODE_ALL,R-MMU-212436|Generic Transcription Pathway|-3.4
hits_SUB1_MCODE_1,R-MMU-212436|Generic Transcription Pathway|-3.4
