Tmsb10
Hbb-bs
Nefl
Epas1
Gnb5
Mat2a
Dynll2
Actg1
R3hdm4
Cirbp
Hba-a2
Btg2
Slc31a2
Grk1
Pcbp4
Snhg11
Clu
Eef1a2
Fth1
Ric8b
Rsrp1
Ebpl
Plch2
Myrip
Ttyh2
Tnfsf13
Calm1
Crocc
Cited2
Tsc22d1
Itm2c
