_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-4.7,TRR01347,M1,1,0,TRRUST,34,Regulated by: Sp1,,-4.7,4.1,5.6,21160,280,238,13,5.5,1.5,11886|12577|13008|13653|14281|16476|16478|16590|18186|20405|20525|21833|23942,Asah1|Cdkn1c|Csrp2|Egr1|Fos|Jun|Jund|Kit|Nrp1|Sh3gl1|Slc2a1|Thra|Mta2,-1.8,0
1,-3.8,TRR01494,M1,1,0,TRRUST,34,Regulated by: Trp53,,-3.8,4.7,5.1,21160,172,238,9,3.8,1.2,12227|12369|12577|13197|13653|14281|16600|19697|68098,Btg2|Casp7|Cdkn1c|Gadd45a|Egr1|Fos|Klf4|Rela|Rchy1,-1.2,0
1,-3.7,TRR00328,M1,1,0,TRRUST,34,Regulated by: Ets2,,-3.7,14,6.9,21160,26,238,4,1.7,0.83,13653|16476|16590|67603,Egr1|Jun|Kit|Dusp6,-1.2,0
1,-2.7,TRR00293,M1,1,0,TRRUST,34,Regulated by: Egr1,,-2.7,5.6,4.4,21160,79,238,5,2.1,0.93,12577|12703|13197|16476|16478,Cdkn1c|Socs1|Gadd45a|Jun|Jund,-0.33,0
1,-2.3,TRR00536,M1,1,0,TRRUST,34,Regulated by: Hdac1,,-2.3,8.9,4.6,21160,30,238,3,1.3,0.72,12608|16476|19651,Cebpb|Jun|Rbl2,-0.15,0
