gene,wt_signed_log_p,ko_signed_log_p
Tnfrsf21,1.00737302662044,-0.293274579656526
Fstl1,0.948833637628891,3.61778801695502
Vav2,0.899733710063422,-0.0748925716323283
Itgav,0.775723142747818,0.230262979101133
Ptk2,0.768434836876344,-0.122703746468957
Timp1,0.638549653890997,-0.148414301568388
Col5a2,0.479635842577851,-0.0614683670121271
Vegfa,0.360954268516167,0.855710493833524
Msx1,0.210135398202784,-0.323279146955276
Vtn,0.168069627337481,0
Lrpap1,0.154724590525442,0.215560389546568
S100a4,0.027343423369936,0.49404392836643
Fgfr1,0.00223622066700831,0.70516201988649
Apoh,0,0
Cxcl5,0,0
Lum,0,0
Olr1,0,0
Prg2,0,0
Serpina5,0,0
Postn,-0.0385405674840598,0
Vcan,-0.0385405674840598,0.294227845881863
Nrp1,-0.0386367444466574,-0.0185155652583813
Thbd,-0.115015700635811,-0.123977756950138
Jag1,-0.154469226742262,-0.0185530269967439
Pglyrp1,-0.24838630624272,-2.12975872567862
Stc1,-0.266368346775818,0.521328276306105
Pf4,-0.271942421215891,-0.156437603091355
Col3a1,-0.436701139104408,-0.109489019841175
Lpl,-0.450837693554348,0.294227845881863
Spp1,-0.530504997020365,0
Jag2,-0.557996838641672,-0.552604044969467
Pdgfa,-0.579415324060227,-0.353651448050667
Slco2a1,-0.72715478218334,0.94492078621971
Kcnj8,-0.886120405962627,0
App,-1.42688744908354,-1.41271737046414
Ccnd2,-1.88979990893046,-0.555190726158449
