gene,wt_signed_log_p,ko_signed_log_p
Vav2,1.14586718782685,0.578954873679184
Jag1,1.07241800059849,0.112644218648107
Tnfrsf21,0.984747869874443,-0.226238247193915
Itgav,0.87885742749602,-1.03473209113698
Nrp1,0.772107717566174,0.00406903921307975
Postn,0.62442534112729,0.292751195086751
Vegfa,0.591174663053324,1.5829145309926
Pf4,0.518481918457214,0
Lrpap1,0.503872537540668,0.51201982555244
S100a4,0.322662301289338,0.74423169620076
Vcan,0.173723518322921,0.0418389797744312
Lpl,0.168719382757251,0.287673969697622
Fgfr1,0.136537595150416,-1.33281803047472
Stc1,0.0515310148685656,0.811370504657884
Vtn,0.0271580379175442,-0.366826209801998
Jag2,0.0185200578391882,1.34049731643513
Pdgfa,0.0142174630338694,-1.7153054997193
Apoh,0,0
Cxcl5,0,0.575918481071897
Kcnj8,0,0
Msx1,0,0
Olr1,0,0
Pglyrp1,0,0
Prg2,0,0
Serpina5,0,0
Spp1,0,0.575918481071897
Thbd,0,0.575918481071897
Fstl1,-0.168417227381902,-0.383452446304159
Ptk2,-0.249756919789332,0.27552819677265
Col3a1,-0.334050401445446,0.359848398171227
Col5a2,-0.518481918457214,-0.643864662989056
Lum,-0.518481918457214,0
Slco2a1,-0.518481918457214,-0.387753475192759
App,-0.586981373963006,-0.879117156804375
Timp1,-0.693731083222768,0.0774801402300547
Ccnd2,-0.860372594473411,1.36008282474992
