gene,wt_signed_log_p,ko_signed_log_p
Lpl,4.0459468893325,0.67465106341341
Spp1,2.84532428789621,-0.157036087131374
Olr1,0.861735352024803,-0.269772867862688
Lrpap1,0.835392326598164,-0.199044344104295
Vegfa,0.47272496550099,-0.0767755321629563
Jag1,0.436529205152069,-0.137356275507025
Vcan,0.415361012849499,-0.169160191895234
S100a4,0.290781787535395,0.435037324148331
Thbd,0.210548252561366,-0.468631737759405
Tnfrsf21,0.149362496161455,2.55256768776951
Pdgfa,0.087988527313018,0.507310723145726
Vav2,0.0571579386279408,1.42755728382672
Apoh,0,0
Cxcl5,0,0
Kcnj8,0,0
Msx1,0,0
Pglyrp1,0,0
Prg2,0,0
Serpina5,0,0
Slco2a1,0,0
Stc1,0,0
Vtn,-0.114805590743442,-0.0929748260525715
Fstl1,-0.118926529680739,-0.169160191895234
Timp1,-0.130075994868074,-0.435037324148331
Col3a1,-0.143506742773838,-1.197844088456
Jag2,-0.272815263110219,-0.494816719377821
Postn,-0.354901629798685,-0.435037324148331
Ccnd2,-0.469818205237667,-4.60233476469511
Pf4,-0.493323451857404,-2.42535777559554
Itgav,-0.525736504017772,0.547347069336885
Nrp1,-0.550533622054241,-2.18308353356914
Lum,-0.576491088771401,-0.169160191895234
App,-0.705030732059833,-0.69748922777832
Col5a2,-0.953755071703609,-0.269772867862688
Fgfr1,-1.65287213099816,0.510985152624959
Ptk2,-2.31018881866953,-0.0649942859786757
