gene,wt_signed_log_p,ko_signed_log_p
Vegfa,1.35713926542751,0.0464908818740159
Col3a1,0.66497612542256,-0.86944297058861
Fstl1,0.66497612542256,-0.86944297058861
Jag1,0.452829229668881,-0.850351916443357
Vav2,0.343109099859297,-0.75439790726406
Spp1,0.140169423932968,0.428228700163429
Ccnd2,0.115594796298326,-0.441799507321892
Apoh,0,0
Cxcl5,0,0
Kcnj8,0,0
Msx1,0,0
Pf4,0,0
Postn,0,-0.86944297058861
Prg2,0,0
Serpina5,0,0
Slco2a1,0,0
Stc1,0,0
Timp1,0,-0.86944297058861
Vtn,0,-0.0569810362009733
Jag2,-0.00387728135994751,-0.0427349091801943
Lpl,-0.0201662881338375,-0.611943256076846
Lrpap1,-0.0206531728861392,-0.0887351895049482
App,-0.048355031198616,-0.277336519476617
Nrp1,-0.0847579684557281,-1.33346916522903
Ptk2,-0.102560774507521,-0.428228700163429
Thbd,-0.196430270459438,-0.030606438380347
Olr1,-0.197294496891455,0.794274951524863
Fgfr1,-0.212000659659207,-2.04797655564893
Itgav,-0.272805845880879,0.210106949029237
Lum,-0.308135067791026,-0.259638602394189
Vcan,-0.416363439510936,0.57938114717758
Pglyrp1,-0.494432239802129,2.01240231511669
Pdgfa,-0.66497612542256,0
Col5a2,-0.771475345538785,-0.259638602394189
S100a4,-1.60315294834317,-0.675763054209833
Tnfrsf21,-2.00922872252762,-1.38378122129333
