gene,wt_signed_log_p,ko_signed_log_p
Thbd,2.62062802075382,1.50626607613555
Fgfr1,2.5710558701901,0.379809976210212
Jag1,2.04371384707072,0.0765758321992627
Vegfa,1.93100750586556,-0.61011597349503
Ptk2,1.41548692941966,-0.140369258557614
Vcan,1.317309719168,0.379460857276612
Timp1,1.18100150874098,-0.261473378204961
Jag2,1.07702082673457,0.00110252134734977
Pf4,1.01879898092652,0
Prg2,1.01879898092652,0.0509763836397286
Vav2,0.846081971171188,-2.48942690457237
Col5a2,0.756070142908792,-0.885460551684252
Olr1,0.618078187603123,0
Kcnj8,0.567610772598304,-0.130587078466107
Fstl1,0.425714372006721,-0.603409009372581
Lpl,0.40706108333742,0.222097186057179
Stc1,0.302399497329103,0.33877016029249
S100a4,0.243830336657305,1.58785005861807
Col3a1,0.122772501569709,-0.53111772436431
Pglyrp1,0.0187938151555459,-0.565167558742262
Msx1,0.0164780043482266,0.402116836397789
Apoh,0,0
Serpina5,0,0
Tnfrsf21,-0.0229795313764435,-0.273552621688297
Lrpap1,-0.0915102163452156,0.0292290421438464
Slco2a1,-0.202369463965211,-0.593263937050389
Spp1,-0.249021148437436,-0.122947478580875
Cxcl5,-0.310966391536627,0.087541880462846
Postn,-0.360568748896035,0.0389526470845128
Itgav,-0.443494302609974,0.147575878913781
Lum,-0.479822023306635,-2.28955196490616
Pdgfa,-0.486921214125347,1.05433423577789
Vtn,-0.613895194279006,0.636755543219314
Nrp1,-0.854395992634533,-0.192262164463084
App,-0.896654002855102,-0.453388403853513
Ccnd2,-2.5882474746744,0.478666145473085
