_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,CHILD_GO_hits
1,-2.583524161325858,GO:0009987,cellular process,M1,1,GO:0006457 protein folding
1,-2.257824862948087,GO:0032502,developmental process,M1,1,GO:0001525 angiogenesis
