_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.8,mmu05412,Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (house mouse),M1,1,0
1,-2,GO:0007160,cell-matrix adhesion,M1,1,0
1,-2.5,mmu04512,ECM-receptor interaction - Mus musculus (house mouse),M1,1,0
1,-2.2,GO:0001704,formation of primary germ layer,M1,1,0
1,-2.9,R-MMU-216083,Integrin cell surface interactions,M1,1,0
1,-3.5,WP85,Focal adhesion,M1,1,0
1,-2.3,GO:0001525,angiogenesis,M1,1,0
1,-3.1,R-MMU-3000171,Non-integrin membrane-ECM interactions,M1,1,0
1,-2.6,R-MMU-1500931,Cell-Cell communication,M1,1,0
1,-3.1,mmu04820,Cytoskeleton in muscle cells - Mus musculus (house mouse),M1,1,0
1,-2.1,R-MMU-194315,Signaling by Rho GTPases,M1,1,0
1,-2.6,GO:0006457,protein folding,M1,1,0
1,-3.5,mmu05410,Hypertrophic cardiomyopathy - Mus musculus (house mouse),M1,1,0
1,-2.2,R-MMU-76005,Response to elevated platelet cytosolic Ca2+,M1,1,0
1,-3.4,R-MMU-421270,Cell-cell junction organization,M1,1,0
1,-3,mmu05165,Human papillomavirus infection - Mus musculus (house mouse),M1,1,0
1,-2.9,R-MMU-446728,Cell junction organization,M1,1,0
1,-2.8,R-MMU-1474244,Extracellular matrix organization,M1,1,0
1,-2.2,R-MMU-114608,Platelet degranulation,M1,1,0
1,-3.5,mmu05414,Dilated cardiomyopathy - Mus musculus (house mouse),M1,1,0
1,-2.5,WP2841,Focal adhesion PI3K Akt mTOR signaling pathway,M1,1,0
1,-2.1,R-MMU-9012999,RHO GTPase cycle,M1,1,0
1,-2.5,mmu05416,Viral myocarditis - Mus musculus (house mouse),M1,1,0
1,-2,R-MMU-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",M1,1,0
1,-2.4,mmu04510,Focal adhesion - Mus musculus (house mouse),M1,1,0
1,-2.3,R-MMU-109582,Hemostasis,M1,1,0
1,-2.1,R-MMU-9006934,Signaling by Receptor Tyrosine Kinases,M1,1,0
