Serpine3
Pmel
Trpm1
Upk3b
Dct
Chrnb4
Thbs4
Atp1a1
Col18a1
Hmox1
Clstn1
Slc38a8
Fam129a
Dkk3
Txnip
Nid2
Ptgs1
App
Fscn1
Cebpb
Lrp2
P4hb
Spsb1
Plxnb2
Vit
Aplp2
