Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,GO Biological Processes,19,GO:0043535,regulation of blood vessel endothelial cell migration,19_GO:0040011 locomotion,-2.8,6,4.6,21160,101,176,5,2.8,1.3,11816|12822|16002|22339|80837,Apoe|Col18a1|Igf2|Vegfa|Rhoj,-1.5
hits,GO Biological Processes,19,GO:0030199,collagen fibril organization,19_GO:0009987 cellular process,-2.8,8,5,21160,60,176,4,2.3,1.1,12306|12824|50527|94352,Anxa2|Col2a1|Ero1a|Loxl2,-1.5
hits,Reactome Gene Sets,6,R-MMU-373760,L1CAM interactions,,-2.8,8,5,21160,60,176,4,2.3,1.1,17967|22151|73710|104099,Ncam1|Tubb2a|Tubb2b|Itga9,-1.5
hits,GO Biological Processes,19,GO:0048511,rhythmic process,19_GO:0048511 rhythmic process,-2.8,3.3,3.9,21160,323,176,9,5.1,1.7,13170|15902|18030|18595|18606|19242|21685|217082|232345,Dbp|Id2|Nfil3|Pdgfra|Enpp2|Ptn|Tef|Hlf|A2m,-1.5
hits,GO Biological Processes,19,GO:0055086,nucleobase-containing small molecule metabolic process,19_GO:0009987 cellular process,-2.8,2.6,3.7,21160,600,176,13,7.4,2,11674|11676|14751|15937|16828|17436|18648|21991|56421|56524|67763|74205|216739,Aldoa|Aldoc|Gpi1|Ier3|Ldha|Me1|Pgam1|Tpi1|Pfkp|Pals2|Prpsap1|Acsl3|Acsl6,-1.5
hits,GO Biological Processes,19,GO:0006883,intracellular sodium ion homeostasis,19_GO:0042592 homeostatic process,-2.8,13,5.8,21160,28,176,3,1.7,0.98,11928|11932|11933,Atp1a1|Atp1b2|Atp1b3,-1.5
hits,GO Biological Processes,19,GO:0034368,protein-lipid complex remodeling,19_GO:0009987 cellular process,-2.8,13,5.8,21160,28,176,3,1.7,0.98,11816|18784|27226,Apoe|Pla2g5|Pla2g7,-1.5
hits,GO Biological Processes,19,GO:0034369,plasma lipoprotein particle remodeling,19_GO:0032501 multicellular organismal process,-2.8,13,5.8,21160,28,176,3,1.7,0.98,11816|18784|27226,Apoe|Pla2g5|Pla2g7,-1.5
hits,GO Biological Processes,19,GO:0046426,negative regulation of receptor signaling pathway via JAK-STAT,19_GO:0048519 negative regulation of biological process,-2.8,13,5.8,21160,28,176,3,1.7,0.98,12389|19266|101490,Cav1|Ptprd|Inpp5f,-1.5
hits,GO Biological Processes,19,GO:0045939,negative regulation of steroid metabolic process,19_GO:0048519 negative regulation of biological process,-2.8,13,5.8,21160,28,176,3,1.7,0.98,11816|11928|231070,Apoe|Atp1a1|Insig1,-1.5
hits,GO Biological Processes,19,GO:0019216,regulation of lipid metabolic process,19_GO:0050789 regulation of biological process,-2.8,3.1,3.8,21160,390,176,10,5.7,1.7,11816|11928|12389|14756|15902|16002|16367|20788|74205|231070,Apoe|Atp1a1|Cav1|Gpld1|Id2|Igf2|Irs1|Srebf2|Acsl3|Insig1,-1.5
hits,GO Biological Processes,19,GO:0018108,peptidyl-tyrosine phosphorylation,19_GO:0009987 cellular process,-2.8,5.9,4.5,21160,102,176,5,2.8,1.3,12389|16337|18595|22339|216616,Cav1|Insr|Pdgfra|Vegfa|Efemp1,-1.5
