p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,pct.1_pct.2,pct_method_1
2.1440059007171e-264,1.57540717915552,0.975,0.597,6.9101310180112e-260,1,Pmel,0.378,0.36855
1.26127828238302e-190,0.765591493420708,0.971,0.799,4.06509990412048e-186,1,Gpnmb,0.172,0.167012
3.16437300828943e-156,0.320236291532632,0.996,0.96,1.01987742057168e-151,1,App,0.036,0.035856
7.71620959130202e-151,0.641811395582031,0.958,0.811,2.48693435127664e-146,1,Tyrp1,0.147,0.140826
8.62322837321024e-148,1.94239497065935,0.773,0.273,2.77926650468566e-143,1,Trpm1,0.5,0.3865
4.23615614324849e-136,1.46373366126075,0.831,0.408,1.36531312496899e-131,1,Dkk3,0.423,0.351513
2.01691414397884e-112,0.822211995641592,0.925,0.655,6.5005142860438e-108,1,Thbs4,0.27,0.24975
7.69665393837864e-83,0.61736419234167,0.937,0.738,2.48063156433944e-78,1,Wfikkn2,0.199,0.186463
5.09332255515183e-82,2.6165156766371,0.412,0.073,1.64157785952543e-77,1,C2,0.339,0.139668
3.10523904793056e-71,2.97642380306342,0.331,0.047,1.00081854514802e-66,1,Ltbp1,0.284,0.094004
1.29251193295009e-70,1.94357780685931,0.49,0.146,4.16576595989814e-66,1,Npr3,0.344,0.16856
1.78704339216737e-66,2.56834482559018,0.344,0.059,5.75964085295545e-62,1,Upk1b,0.285,0.09804
5.48433693323017e-65,0.631611518986048,0.894,0.692,1.76760179358008e-60,1,Igfbp5,0.202,0.180588
2.351388032888e-60,1.63318738149108,0.518,0.196,7.57852362999803e-56,1,Slc45a2,0.322,0.166796
1.96402259039276e-57,1.46766007936703,0.534,0.209,6.33004480883588e-53,1,Lgi1,0.325,0.17355
3.87053859823783e-56,1.81634252145366,0.455,0.163,1.24747459021205e-51,1,Clcnka,0.292,0.13286
1.16059544696346e-53,1.36361778966969,0.56,0.251,3.74059912556325e-49,1,Lamc1,0.309,0.17304
1.81318259251714e-53,1.13731693110994,0.647,0.343,5.84388749568274e-49,1,Cpz,0.304,0.196688
2.13153168142005e-48,0.523121300952888,0.856,0.702,6.86992660921684e-44,1,Nid2,0.154,0.131824
1.5038621736719e-46,1.1157007146664,0.611,0.316,4.84694778574453e-42,1,Prss23,0.295,0.180245
2.17414127139623e-46,1.00290457483474,0.658,0.383,7.00725731771006e-42,1,Mlana,0.275,0.18095
4.29249451368568e-45,0.251553334842614,0.955,0.9,1.38347098176089e-40,1,Degs1,0.0549999999999999,0.0525249999999999
1.38579094417067e-42,0.482438220364641,0.85,0.702,4.46640421306206e-38,1,Slc24a5,0.148,0.1258
2.74500445035983e-42,1.17458402770648,0.543,0.263,8.84714934350972e-38,1,Slc6a17,0.28,0.15204
7.74324984254397e-42,1.54501574393094,0.423,0.172,2.49564942425192e-37,1,Serpine3,0.251,0.106173
3.67687493815758e-40,1.28874752584236,0.482,0.22,1.18505679256819e-35,1,Upk3b,0.262,0.126284
6.81302628431417e-40,1.61403903341077,0.351,0.114,2.19583837143446e-35,1,Ptgs1,0.237,0.083187
1.52374483073119e-39,1.58229770338323,0.371,0.13,4.91102958944663e-35,1,Fam129a,0.241,0.089411
