,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Car2,0,2.9941191656894,0.886,0.329,0,0.557
Myo6,0,3.73724622557814,0.616,0.059,0,0.557
Sbspon,0,8.80727335640067,0.554,0.002,0,0.552
Cryab,0,2.63180819648823,0.676,0.124,0,0.552
Ndufa4l2,0,6.03020170892126,0.563,0.013,0,0.55
Rtn4,0,3.05718154981971,0.929,0.38,0,0.549
Slc14a1,0,8.21536700034968,0.55,0.003,0,0.547
Ddah1,0,4.30084887373655,0.58,0.033,0,0.547
Spred1,0,3.57804838930813,0.618,0.072,0,0.546
Cacng4,0,6.18006524179286,0.554,0.008,0,0.546
Sntb1,0,3.57306281232531,0.603,0.057,0,0.546
Minar2,0,5.26196644014343,0.562,0.019,0,0.543
Tspan15,0,4.93913111072871,0.565,0.023,0,0.542
Frzb,0,8.12151303731409,0.543,0.003,0,0.54
Itm2b,0,1.78988122206073,0.876,0.336,0,0.54
Scd2,0,3.44075331033844,0.618,0.078,0,0.54
Maged1,0,2.20070171928868,0.802,0.264,0,0.538
Tril,0,5.3295624577537,0.554,0.018,0,0.536
Hes1,0,4.52613066800075,0.573,0.037,0,0.536
Slc2a1,0,1.40728871766979,0.857,0.322,0,0.535
Bsg,0,1.48403657307408,0.84,0.305,0,0.535
Fgfr1,0,3.10599449005231,0.598,0.064,0,0.534
Rcn2,0,2.90924963286095,0.641,0.107,0,0.534
Zfp36l1,0,4.48301198725321,0.583,0.052,0,0.531
Plaat3,0,4.05631974810959,0.57,0.041,0,0.529
Lfng,0,4.7087471933111,0.556,0.028,0,0.528
Tbx2,0,3.56055060565134,0.565,0.038,0,0.527
Dpysl4,0,3.60159625295662,0.587,0.061,0,0.526
Sema5a,0,6.19990948608538,0.531,0.008,0,0.523
Elovl5,0,3.65117356163183,0.575,0.054,0,0.521
Timp2,0,2.36513944522871,0.64,0.12,0,0.52
Slc27a1,0,2.38684305086264,0.691,0.171,0,0.52
Nkd1,0,6.16953560972343,0.524,0.006,0,0.518
Greb1,0,8.85139433819095,0.519,0.001,0,0.518
Slc15a2,0,5.95813525816031,0.528,0.01,0,0.518
Chrdl1,0,8.38345300212821,0.52,0.002,0,0.518
Nfia,0,3.11833995997675,0.573,0.055,0,0.518
Rgs2,0,3.7771358229896,0.56,0.043,0,0.517
Nrbp2,0,4.6000929600829,0.542,0.026,0,0.516
Ildr2,0,4.12051576383383,0.549,0.034,0,0.515
Pygb,0,3.72119757374521,0.573,0.059,0,0.514
Ank3,0,2.32422263718195,0.657,0.144,0,0.513
Phlpp1,0,3.35853259298386,0.58,0.068,0,0.512
Dusp16,0,4.88292123528132,0.536,0.024,0,0.512
Fxyd6,0,5.97284012428024,0.524,0.013,0,0.511
Gcnt4,0,9.7094673486974,0.511,0.001,0,0.51
Atp1a1,0,1.58641404340323,0.841,0.334,0,0.507
Ttyh1,0,2.19986543058123,0.913,0.409,0,0.504
Nrcam,0,4.23316733483045,0.53,0.026,0,0.504
Vcam1,0,5.98720673179599,0.509,0.008,0,0.501
Rcn1,0,3.86679749083068,0.537,0.041,0,0.496
Cdkn1b,0,2.28889736310606,0.698,0.202,0,0.496
Notch1,0,3.4261812866319,0.553,0.06,0,0.493
Cdh11,0,2.88454015711238,0.524,0.031,0,0.493
Wipi1,0,3.40484064256878,0.558,0.066,0,0.492
Sh3pxd2b,0,4.12125168469306,0.526,0.034,0,0.492
Cebpd,0,4.34492985798033,0.565,0.073,0,0.492
Ctsl,0,1.72121559745841,0.698,0.208,0,0.49
Mmp14,0,3.30317908530497,0.532,0.043,0,0.489
Fhl1,0,2.77850175153024,0.581,0.092,0,0.489
Slc39a1,0,2.83542597058008,0.58,0.093,0,0.487
Adamtsl1,0,5.94654419768295,0.495,0.008,0,0.487
Id1,0,4.32622492231206,0.513,0.028,0,0.485
Ctsh,0,2.55866635242989,0.539,0.057,0,0.482
Dag1,0,2.71612575516397,0.586,0.105,0,0.481
Ccnd3,0,2.81859860076735,0.601,0.121,0,0.48
Flna,0,2.48861826603728,0.561,0.083,0,0.478
Tulp3,0,5.52787413356026,0.491,0.013,0,0.478
Irf2bp2,0,2.51489741421206,0.644,0.166,0,0.478
Sox8,0,7.74522535130687,0.481,0.003,0,0.478
Megf10,0,7.75911873912461,0.48,0.003,0,0.477
Nfib,0,3.33011054232171,0.528,0.054,0,0.474
Rrh,0,2.55049707686673,0.563,0.089,0,0.474
Dpysl2,0,2.50768945151114,0.588,0.117,0,0.471
St8sia2,0,8.75542177951517,0.468,0.001,0,0.467
Ccn1,0,6.77958185005765,0.484,0.017,0,0.467
Raver2,0,6.67152545931928,0.47,0.006,0,0.464
Lrrc8c,0,4.85992908530606,0.48,0.017,0,0.463
Tox3,0,7.00387393117074,0.466,0.004,0,0.462
Arf4,0,2.35760024990387,0.61,0.151,0,0.459
Prdx6,0,4.20028178617953,0.491,0.033,0,0.458
Pmepa1,0,3.83530618097434,0.514,0.057,0,0.457
Ncam1,0,1.65926524220086,0.876,0.419,0,0.457
Dennd1a,0,2.60371451098013,0.582,0.125,0,0.457
Efemp1,0,4.46632946303734,0.476,0.019,0,0.457
