,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Irf2bp2,0,2.56486540040615,0.653,0.161,0,0.492
Birc3,0,5.13273043407835,0.506,0.014,0,0.492
Bach1,0,3.7334645369622,0.547,0.057,0,0.49
Ier2,0,2.74102879531065,0.571,0.082,0,0.489
Pim1,0,4.76898838633232,0.511,0.024,0,0.487
Ifnar2,0,4.04801184260802,0.523,0.037,0,0.486
Adam17,0,3.04316467133115,0.573,0.087,0,0.486
Fmnl1,0,5.85244801921048,0.493,0.009,0,0.484
Golm1,0,6.00886906246215,0.495,0.013,0,0.482
Lamp1,0,2.37827200707629,0.661,0.18,0,0.481
Ifi207,0,11.9109652502659,0.479,0,0,0.479
Wdr26,0,2.0489851595834,0.715,0.236,0,0.479
Srgap2,0,4.17424312771626,0.52,0.042,0,0.478
Itga6,0,3.92831558031856,0.515,0.037,0,0.478
Dock10,0,6.01496252618265,0.487,0.009,0,0.478
Ppp1r15a,0,3.43936308127224,0.516,0.04,0,0.476
Klf2,0,3.74423158696509,0.511,0.037,0,0.474
Gna13,0,2.85671839689811,0.586,0.112,0,0.474
Gna12,0,3.2381427098325,0.549,0.078,0,0.471
Lrp1,0,1.04194894008877,0.661,0.19,0,0.471
Map2k3,0,4.12124568346389,0.518,0.047,0,0.471
Tm6sf1,0,6.08669515624261,0.478,0.008,0,0.47
Zyx,0,3.56064738124595,0.514,0.045,0,0.469
Fli1,0,4.46262677920624,0.485,0.016,0,0.469
Tbxas1,0,12.8491661380271,0.467,0,0,0.467
Lmo2,0,5.182821272594,0.476,0.009,0,0.467
Cdkn1a,0,5.79992261900724,0.48,0.013,0,0.467
Ppp1r18,0,4.66954794327293,0.489,0.022,0,0.467
Pde3b,0,5.34350094811705,0.48,0.014,0,0.466
Fth1,0,2.86646121802516,0.949,0.483,0,0.466
Eef1a1,0,2.29446237235704,0.981,0.516,0,0.465
Arpc3,0,3.46005550655539,0.516,0.053,0,0.463
Ccl4,0,9.60882974728086,0.464,0.001,0,0.463
Dock8,0,6.24481662609255,0.468,0.006,0,0.462
Tuba1c,0,3.20465743554776,0.527,0.066,0,0.461
Scamp2,0,3.47842305680687,0.517,0.058,0,0.459
Ctsl,0,2.66008456907961,0.662,0.204,0,0.458
Grb2,0,3.1653443152809,0.527,0.069,0,0.458
Ccl3,0,7.69155597265378,0.459,0.002,0,0.457
Grk2,0,3.2098490396661,0.522,0.065,0,0.457
P2ry13,0,9.32606744777446,0.457,0.001,0,0.456
Tlr7,0,10.9109943477124,0.455,0,0,0.455
