,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Parm1,0,5.43714428041222,0.597,0.018,0,0.579
Myrf,0,8.37556539157212,0.582,0.003,0,0.579
Cltb,0,3.87239149863624,0.644,0.067,0,0.577
Ermn,0,9.04598009260331,0.571,0.002,0,0.569
Vasn,0,4.22751722536136,0.626,0.058,0,0.568
Slco1a4,0,5.93540422312165,0.572,0.005,0,0.567
Ucp2,0,2.41319249976429,0.64,0.077,0,0.563
Tcn2,0,3.50916694009966,0.653,0.092,0,0.561
Loxl1,0,3.60262042080555,0.586,0.027,0,0.559
Rab27a,0,5.01591422174573,0.582,0.025,0,0.557
Gaa,0,3.48548046230948,0.658,0.102,0,0.556
Atp1a1,0,2.47245401419977,0.819,0.264,0,0.555
Hmgcs2,0,6.74431883354307,0.558,0.007,0,0.551
Lamp2,0,2.65549701209055,0.745,0.194,0,0.551
Cd164,0,2.72663930474764,0.768,0.219,0,0.549
Pmel,0,4.51043226772302,0.557,0.008,0,0.549
Igfbp5,0,1.26893068120883,0.588,0.043,0,0.545
S100a1,0,4.66596859643936,0.571,0.026,0,0.545
Ldhb,0,3.32571956469523,0.638,0.099,0,0.539
Slc26a7,0,6.88268255965752,0.538,0.007,0,0.531
Slc48a1,0,3.23757945689454,0.638,0.107,0,0.531
Nid2,0,5.42848431374083,0.543,0.014,0,0.529
Glul,0,1.06408580894856,0.638,0.11,0,0.528
Vit,0,5.29094001086992,0.543,0.019,0,0.524
Ctsb,0,1.70883131467278,0.852,0.329,0,0.523
Oca2,0,5.71610003412871,0.523,0.004,0,0.519
Calm3,0,2.63427290529825,0.715,0.199,0,0.516
Krt8,0,8.9592726827623,0.515,0.002,0,0.513
Slc20a2,0,3.88359331011686,0.57,0.06,0,0.51
Tspan3,0,2.50903710035973,0.878,0.369,0,0.509
Slc9a3r1,0,5.23656738352711,0.535,0.026,0,0.509
Fbn1,0,3.78727920045113,0.531,0.023,0,0.508
Pon3,0,5.77016171429762,0.519,0.014,0,0.505
Vamp8,0,3.64833137141292,0.574,0.07,0,0.504
Rrh,0,4.46807135741317,0.528,0.026,0,0.502
Man1a,0,4.12880581561066,0.541,0.039,0,0.502
Bace2,0,4.8462631880669,0.515,0.013,0,0.502
Taldo1,0,2.69723343209091,0.663,0.162,0,0.501
Aldh2,0,3.41252478444919,0.562,0.062,0,0.5
Lgals3bp,0,3.7615264594166,0.541,0.045,0,0.496
