,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Fbxl5,3.4595750930913e-66,-0.285297749195892,0.276,0.372,5.68961719809795e-62,-0.096
Hnrnph3,5.0468152312417e-111,-0.515872664345928,0.157,0.258,8.2999923293001e-107,-0.101
Amer2,5.77643582622716e-110,-0.522303120707301,0.184,0.286,9.49992635981318e-106,-0.102
Arhgef26,4.10495898926713e-115,-0.522289035725797,0.157,0.259,6.75101555374872e-111,-0.102
Trim2,1.72524579430761e-112,-0.494201027520926,0.162,0.264,2.8373392333183e-108,-0.102
Bsg,4.36986750092416e-176,-1.49292247394543,0.241,0.344,7.18668409201987e-172,-0.103
Pfkp,1.14529214505002e-104,-0.666620903689216,0.239,0.343,1.88354746174926e-100,-0.104
Pum2,1.01725789834197e-96,-0.294330521588168,0.185,0.29,1.67298233961321e-92,-0.105
Hist1h1e,5.96410311387633e-125,-0.6766734673748,0.163,0.268,9.80856398108101e-121,-0.105
Atp6v0a1,2.86446785687209e-87,-0.31801816188838,0.228,0.333,4.71090383741184e-83,-0.105
Nt5e,1.1291975788793e-109,-0.474066005364659,0.191,0.297,1.8570783382249e-105,-0.106
Eml3,1.58980151918939e-109,-0.480613035381756,0.2,0.306,2.61458757845887e-105,-0.106
Paqr4,3.08252360486529e-123,-0.541313130583019,0.158,0.264,5.06951832056146e-119,-0.106
Syncrip,7.45092489873903e-115,-0.438728946572004,0.156,0.262,1.22537910884662e-110,-0.106
Gls,2.08679538892e-103,-0.466304570420503,0.204,0.31,3.43194369661784e-99,-0.106
Tet3,2.18863317403091e-97,-0.399448242896151,0.217,0.323,3.59942611801123e-93,-0.106
Hook1,1.74557587007259e-106,-0.44255888839094,0.206,0.313,2.87077407592137e-102,-0.107
Lmbrd1,7.15403304984644e-134,-0.575793613095516,0.143,0.251,1.17655227537775e-129,-0.108
Hp1bp3,1.4365863054643e-110,-0.375293552187503,0.17,0.278,2.3626098379666e-106,-0.108
Ppm1b,8.34520888134338e-77,-0.273312433234521,0.286,0.394,1.37245305262573e-72,-0.108
Smpd1,1.28339569971224e-135,-0.749956269759169,0.176,0.285,2.11067256774675e-131,-0.109
Hnrnpu,2.40731677820241e-77,-0.269299622507159,0.28,0.391,3.95907317343168e-73,-0.111
Pex5l,1.47294808115049e-112,-0.50260903812405,0.263,0.375,2.4224104142601e-108,-0.112
Pcbp3,6.48575863625655e-90,-0.360437703237353,0.322,0.434,1.06664786531875e-85,-0.112
Clcn3,7.37050959742039e-93,-0.277724744943361,0.239,0.352,1.21215400839176e-88,-0.113
Atp6v1e1,1.03786337523272e-153,-0.821736886623838,0.154,0.267,1.70687010690773e-149,-0.113
Wapl,2.38939320444696e-136,-0.586595326440044,0.155,0.268,3.92959606403347e-132,-0.113
Arih1,1.40974789343318e-122,-0.421147004573828,0.174,0.288,2.31847138554021e-118,-0.114
Ubap1l,6.71292149593354e-122,-0.509791536980845,0.26,0.374,1.10400706922123e-117,-0.114
Bbs5,1.3009215759091e-146,-0.6649083854516,0.157,0.271,2.1394956237401e-142,-0.114
Ide,2.14873948123716e-140,-0.551652281274287,0.144,0.258,3.53381695084264e-136,-0.114
Lrit3,7.58027631108608e-149,-0.720749242323536,0.163,0.278,1.24665224212122e-144,-0.115
Itm2b,3.59198921618714e-143,-0.947605938561499,0.262,0.378,5.90738546494136e-139,-0.116
Tbc1d24,2.71631803502404e-155,-0.688483248270937,0.143,0.259,4.46725664040053e-151,-0.116
Atp13a3,1.15263854888418e-144,-0.55714682682319,0.153,0.269,1.89562935749493e-140,-0.116
Syne2,4.98689264572016e-147,-0.618532026911103,0.155,0.272,8.20144364515137e-143,-0.117
St3gal1,1.6708801594903e-145,-0.599743230253202,0.158,0.275,2.74792951029775e-141,-0.117
Eif4g3,4.27284027279899e-126,-0.415382552873008,0.181,0.299,7.02711311264522e-122,-0.118
Otud7b,1.77191317578643e-134,-0.529976441236878,0.196,0.315,2.91408840889837e-130,-0.119
Ppp2ca,7.37851086675521e-138,-0.46512984963196,0.169,0.289,1.21346989714656e-133,-0.12
Ppp2r5e,5.31899566173933e-152,-0.626560118447113,0.165,0.286,8.7476202652965e-148,-0.121
Dtx3,1.61388011615706e-166,-0.672863928928403,0.138,0.26,2.6541872390319e-162,-0.122
Ogdh,1.13112464422374e-134,-0.432992172073798,0.178,0.3,1.86024758989036e-130,-0.122
Trp53inp2,7.79317091616376e-150,-0.5462317957964,0.165,0.288,1.28166488887229e-145,-0.123
Ank2,5.43714713669838e-105,-0.336656470907158,0.296,0.419,8.94193218101416e-101,-0.123
Dhx9,2.31193475803787e-157,-0.588487225371117,0.152,0.275,3.80220790306908e-153,-0.123
Dmd,2.21785609371845e-159,-0.654149513654195,0.169,0.293,3.64748613172937e-155,-0.124
Unc13b,9.95226745322059e-170,-0.67788528345672,0.156,0.282,1.63674990535666e-165,-0.126
Mab21l1,1.4066462306151e-154,-0.634561403596239,0.227,0.353,2.3133703908696e-150,-0.126
Arhgap10,2.18723834823609e-199,-0.913665810541962,0.124,0.251,3.59713218750908e-195,-0.127
Tob1,2.38367255229648e-145,-0.524773127097179,0.198,0.326,3.92018787950679e-141,-0.128
Cspg5,1.51096525288388e-223,-1.40529827347683,0.159,0.288,2.48493345489282e-219,-0.129
Kdm5b,7.88997873291082e-142,-0.498614946356763,0.227,0.356,1.29758590241451e-137,-0.129
Polg2,2.65380949174028e-200,-0.9100413033438,0.127,0.256,4.36445509011607e-196,-0.129
Dgke,1.13926101614855e-146,-0.534399833004155,0.258,0.387,1.87362866715791e-142,-0.129
Tmsb4x,1.66200074332421e-201,-2.49563518473346,0.189,0.319,2.73332642247099e-197,-0.13
