_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-4,GO:0060828,regulation of canonical Wnt signaling pathway,M1,1,0
1,-3.4,GO:0061621,canonical glycolysis,M1,1,0
1,-6.2,GO:0032787,monocarboxylic acid metabolic process,M1,1,0
1,-2.1,GO:0016485,protein processing,M1,1,0
1,-2.6,R-MMU-77387,Insulin receptor recycling,M1,1,0
1,-2.1,GO:0071786,endoplasmic reticulum tubular network organization,M1,1,0
1,-2.9,GO:0032836,glomerular basement membrane development,M1,1,0
1,-6.3,R-MMU-948021,Transport to the Golgi and subsequent modification,M1,1,0
1,-2.5,GO:0001654,eye development,M1,1,0
1,-2.6,GO:0060670,branching involved in labyrinthine layer morphogenesis,M1,1,0
1,-2.8,GO:0005975,carbohydrate metabolic process,M1,1,0
1,-2.4,GO:0048010,vascular endothelial growth factor receptor signaling pathway,M1,1,0
1,-2.4,GO:0050818,regulation of coagulation,M1,1,0
1,-2,GO:0010595,positive regulation of endothelial cell migration,M1,1,0
1,-4.4,mmu01212,Fatty acid metabolism - Mus musculus (house mouse),M1,1,0
1,-3.1,GO:0006857,oligopeptide transport,M1,1,0
1,-4.5,GO:1904951,positive regulation of establishment of protein localization,M1,1,0
1,-2.2,GO:0097106,postsynaptic density organization,M1,1,0
1,-9.4,GO:0019646,aerobic electron transport chain,M1,1,0
1,-3.1,GO:0110053,regulation of actin filament organization,M1,1,0
1,-2.3,GO:0044849,estrous cycle,M1,1,0
1,-5.1,R-MMU-5628897,TP53 Regulates Metabolic Genes,M1,1,0
1,-2.6,GO:0001764,neuron migration,M1,1,0
1,-2.1,GO:0045787,positive regulation of cell cycle,M1,1,0
1,-3.3,GO:0071356,cellular response to tumor necrosis factor,M1,1,0
1,-3.2,GO:0120039,plasma membrane bounded cell projection morphogenesis,M1,1,0
1,-2.5,GO:0000302,response to reactive oxygen species,M1,1,0
1,-2.4,GO:0034762,regulation of transmembrane transport,M1,1,0
1,-2.6,GO:0010951,negative regulation of endopeptidase activity,M1,1,0
1,-5,GO:0044092,negative regulation of molecular function,M1,1,0
1,-6.8,GO:0006636,unsaturated fatty acid biosynthetic process,M1,1,0
1,-4.5,GO:0006692,prostanoid metabolic process,M1,1,0
1,-2.9,GO:0042246,tissue regeneration,M1,1,0
1,-2.5,GO:0035384,thioester biosynthetic process,M1,1,0
1,-2.3,GO:0045124,regulation of bone resorption,M1,1,0
1,-2,GO:0090263,positive regulation of canonical Wnt signaling pathway,M1,1,0
1,-3.7,GO:0060560,developmental growth involved in morphogenesis,M1,1,0
1,-2.8,GO:0030837,negative regulation of actin filament polymerization,M1,1,0
1,-3.8,GO:0071787,endoplasmic reticulum tubular network formation,M1,1,0
1,-2.4,GO:0071869,response to catecholamine,M1,1,0
1,-2.3,R-MMU-917937,Iron uptake and transport,M1,1,0
1,-5.1,GO:0010257,NADH dehydrogenase complex assembly,M1,1,0
1,-6.7,GO:0051235,maintenance of location,M1,1,0
1,-3.3,GO:0042391,regulation of membrane potential,M1,1,0
1,-2.1,mmu05165,Human papillomavirus infection - Mus musculus (house mouse),M1,1,0
1,-2.7,R-MMU-3371568,Attenuation phase,M1,1,0
1,-2.7,GO:0010959,regulation of metal ion transport,M1,1,0
1,-3.5,GO:0098773,skin epidermis development,M1,1,0
1,-3.1,GO:1990778,protein localization to cell periphery,M1,1,0
1,-5,GO:0006163,purine nucleotide metabolic process,M1,1,0
1,-4.8,GO:0001822,kidney development,M1,1,0
1,-2.4,GO:0001838,embryonic epithelial tube formation,M1,1,0
1,-5.9,R-MMU-216083,Integrin cell surface interactions,M1,1,0
1,-2.1,GO:0060071,"Wnt signaling pathway, planar cell polarity pathway",M1,1,0
1,-2.1,GO:0003007,heart morphogenesis,M1,1,0
1,-8.1,GO:0043603,amide metabolic process,M1,1,0
1,-4.9,GO:1902003,regulation of amyloid-beta formation,M1,1,0
1,-4.3,GO:0048858,cell projection morphogenesis,M1,1,0
1,-3.5,GO:0080135,regulation of cellular response to stress,M1,1,0
1,-2.8,GO:0051302,regulation of cell division,M1,1,0
1,-5.4,GO:0044283,small molecule biosynthetic process,M1,1,0
1,-6,GO:2001234,negative regulation of apoptotic signaling pathway,M1,1,0
1,-5.8,GO:0009152,purine ribonucleotide biosynthetic process,M1,1,0
1,-2.5,GO:0005996,monosaccharide metabolic process,M1,1,0
