"logFC","logCPM","F","PValue","FDR","Nhood","SpatialFDR"
-1.52920848991369,12.8383083022919,62.9696457351905,2.27466760310184e-14,4.41285515001757e-12,57,3.91867004570432e-12
8.28991736364891,11.0980042217037,65.4618699717413,7.68417516533332e-15,2.98145996414933e-12,246,3.91867004570432e-12
8.27675476157745,11.0421423718657,58.7488528384982,1.45129165853982e-13,1.87700387837816e-11,146,1.6922226197459e-11
8.14239370472396,11.0047330812595,57.358714907052,2.68343118943221e-13,2.60292825374925e-11,245,2.43723774517976e-11
5.66574186920901,11.1153873554567,56.520662769858,3.89105042973532e-13,3.01945513347461e-11,170,2.70630323438367e-11
8.4882285055621,11.2609106513161,54.1639047159037,1.11105661968117e-12,7.18483280727157e-11,125,6.56868398716215e-11
8.52100622241644,11.3387283791345,52.5984565566568,2.23840006100292e-12,1.24071317667019e-10,137,1.1740991014206e-10
8.11498010934951,10.9752809665647,52.0853214166507,2.81786634870705e-12,1.36666517912292e-10,87,1.31767015975781e-10
-2.44895209097052,12.3922951425149,50.5000545348574,5.7498053067e-12,2.02811314454509e-10,38,1.86389090204569e-10
4.77862225059857,11.117485943609,50.6729975387373,5.31863851632194e-12,2.02811314454509e-10,194,1.86389090204569e-10
8.56028806598954,11.3262699720676,50.7794349516455,5.06959875276145e-12,2.02811314454509e-10,283,1.86389090204569e-10
6.54287294763057,11.8823222221772,49.1694184633599,1.04866428103341e-11,3.39068117534134e-10,33,3.07803415999852e-10
4.63718452700717,11.048442066892,48.6804267882733,1.30850868252858e-11,3.90539514477761e-10,326,3.49116201354477e-10
4.64553661106469,11.0552038416912,47.7725959266557,1.97514110227049e-11,5.47396248343534e-10,249,4.89768498126848e-10
8.66203415368408,11.4149983204877,46.5688698856486,3.41491094983765e-11,8.83323632358006e-10,86,7.84460662525415e-10
-2.10616106050713,12.4559375087309,45.9583244278763,4.51109827649894e-11,1.02959184193035e-09,62,8.79317833778547e-10
-3.85572079059098,11.3032096330949,46.0394358996408,4.34719021296241e-11,1.02959184193035e-09,209,8.79317833778547e-10
8.70324059407116,11.4438275405892,45.1729365881966,6.45810648787387e-11,1.35466861477559e-09,212,1.17600441222483e-09
4.83342129001739,11.2331281799648,45.1142868173861,6.63368651565368e-11,1.35466861477559e-09,260,1.17600441222483e-09
5.96422044194375,11.3653646801328,42.8204684863709,1.90050527011796e-10,3.68698022402883e-09,133,3.20553620803717e-09
8.0366306399362,10.8845142283265,42.2133333443784,2.51391643398202e-10,4.64475988754774e-09,210,4.06700572200131e-09
5.47631954001166,10.9564977683757,41.94888656614,2.84007083964161e-10,5.00885220809521e-09,169,4.38636584463243e-09
5.41370652750909,10.9400198902575,40.6202737172028,5.24931548937597e-10,8.85536699946903e-09,156,7.87866908432845e-09
-3.74040566058191,11.6005917388287,38.7549400215526,1.24845045409156e-09,2.01832823411469e-08,247,1.76736428897528e-08
-3.54741412447056,11.8289126250977,37.2093425829586,2.56865669554928e-09,3.98655519149248e-08,61,3.4520016034094e-08
3.40331436147831,11.131659851812,36.7836033359658,3.13522350925289e-09,4.67871815996201e-08,217,4.094976992188e-08
5.40446792096232,10.8905310453719,36.2447413993595,4.03636488703901e-09,5.80040583767087e-08,158,5.11364789146146e-08
4.57047085167765,11.5348452243792,35.914850862294,4.71248889524745e-09,6.53016318341433e-08,9,5.83537085135863e-08
-1.97925616695287,12.3885170121571,35.6557715160446,5.32255544764834e-09,7.12121211616398e-08,68,6.32845689117196e-08
-2.59623023695719,12.1541971514032,33.8217784336565,1.26353337502136e-08,1.6341698316943e-07,81,1.4299496982206e-07
3.94661063502845,11.686201088105,33.5041888660127,1.46832957928053e-08,1.7879838874495e-07,255,1.57149651670387e-07
3.94234330110124,10.9593683050583,33.4951468035617,1.47462588655629e-08,1.7879838874495e-07,385,1.57149651670387e-07
5.30834262653686,10.84103977939,33.0536087742815,1.81756696980199e-08,2.13701813419143e-07,144,1.89054423587944e-07
3.57290360409015,10.9724871396393,31.1776891391037,4.43336005535028e-08,5.0592461808115e-07,24,4.46587193732008e-07
-3.01191712563527,11.8926149089783,30.854680122756,5.1718925974748e-08,5.73341236520063e-07,319,5.00617831527131e-07
3.47496118855615,11.7155757815107,30.1237988034427,7.33376788743413e-08,7.90417205645678e-07,233,6.9746431070354e-07
4.32403121746326,10.849653057419,28.8920150112432,1.32372652558572e-07,1.38812403223584e-06,324,1.23394680711035e-06
-2.15639455877635,12.2289336650217,28.572846468888,1.54322181855455e-07,1.53530786051068e-06,51,1.33993778046799e-06
-2.66513194315521,11.2767828065338,28.616491285078,1.51116776673621e-07,1.53530786051068e-06,321,1.33993778046799e-06
2.7673044796918,11.0514078210454,28.2358003759545,1.81497341964672e-07,1.76052421705732e-06,358,1.55109350629905e-06
3.67433593036935,11.4745306527631,28.1684287148906,1.87482475380958e-07,1.77422440116614e-06,115,1.56454732073763e-06
