p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,pct.1_pct.2,pct_method_1
2.12540401576683e-39,2.87252031620956,0.815,0.233,6.85017714281648e-35,1,Nr4a1,0.582,0.47433
7.61085533235922e-36,3.78189439599906,0.713,0.117,2.45297867361938e-31,1,Dusp5,0.596,0.424948
2.5185984147483e-35,3.26521402356619,0.747,0.165,8.11744269073376e-31,1,Maff,0.582,0.434754
6.37356945282698e-35,2.37637060729024,0.809,0.34,2.05420143464614e-30,1,Junb,0.469,0.379421
1.64203903621771e-34,2.10457333900773,0.826,0.359,5.29229181372969e-30,1,Fosb,0.467,0.385742
2.83874800053304e-34,2.53009675756794,0.82,0.354,9.14928480571798e-30,1,Zfp36,0.466,0.38212
1.82775687994917e-30,1.56838402278362,0.854,0.568,5.89086042407617e-26,1,Fos,0.286,0.244244
2.11440883274071e-30,3.41586033597431,0.646,0.107,6.8147396679233e-26,1,Csrnp1,0.539,0.348194
2.87428134991894e-30,1.99452122741344,0.815,0.49,9.26380879078873e-26,1,Srf,0.325,0.264875
8.47117184019444e-30,1.82631445654109,0.826,0.534,2.73025868409467e-25,1,Ier2,0.292,0.241192
2.14002563216199e-29,3.18981128463462,0.652,0.107,6.8973026124581e-25,1,Atf3,0.545,0.35534
2.97548903604773e-29,1.71487145539949,0.843,0.68,9.59000116318184e-25,1,Btg2,0.163,0.137409
3.22697272361122e-29,0.867227613058187,0.938,0.893,1.0400533088199e-24,1,Actg1,0.0449999999999999,0.0422099999999999
9.0041937212374e-29,1.15924163994264,0.904,0.845,2.90205163635482e-24,1,Jun,0.059,0.053336
4.09723607792242e-28,2.79556073388799,0.691,0.16,1.3205391879144e-23,1,Klf4,0.531,0.366921
7.4340898953042e-28,1.52236542936277,0.848,0.689,2.39600717325654e-23,1,Ccn1,0.159,0.134832
2.72517377820871e-27,1.28939092737655,0.848,0.607,8.78323508716667e-23,1,Egr1,0.241,0.204368
3.24056574686244e-27,1.69561558425631,0.854,0.592,1.04443434021377e-22,1,Dusp1,0.262,0.223748
5.47285412767772e-27,3.14398530864972,0.607,0.092,1.76390088535053e-22,1,Egr2,0.515,0.312605
1.15704215889848e-26,2.42226341011351,0.73,0.291,3.72914687812981e-22,1,Cebpb,0.439,0.32047
1.69213879717262e-26,2.35009820997312,0.747,0.296,5.45376334328734e-22,1,Ppp1r15a,0.451,0.336897
2.19016081466015e-26,0.747625852849431,0.938,0.956,7.05888830564965e-22,1,Jund,-0.018,-0.016884
2.24266057717644e-26,3.07145507571268,0.607,0.102,7.22809504023968e-22,1,Egr3,0.505,0.306535
9.46353118584088e-26,3.70249214946792,0.562,0.083,3.05009610119651e-21,1,Sik1,0.479,0.269198
1.65031527621496e-25,1.70958225681278,0.803,0.447,5.31896613524081e-21,1,Coq10b,0.356,0.285868
1.00915235829329e-24,3.76097585311519,0.511,0.049,3.25249805077926e-20,1,Nr4a3,0.462,0.236082
1.71354017434398e-24,2.42772004067723,0.685,0.223,5.52273998191066e-20,1,Mafk,0.462,0.31647
3.35561651486196e-24,1.76886386939542,0.809,0.49,1.08151520274001e-19,1,Ddit3,0.319,0.258071
3.42993831347431e-24,1.79013192568603,0.815,0.544,1.10546911843277e-19,1,Klf6,0.271,0.220865
6.33154378540114e-22,2.73460574088373,0.59,0.146,2.04065656203479e-17,1,Socs3,0.444,0.26196
