Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
PaGenBase,36,PGB:00269,Cell-specific: retinal pigment epithelium,,-16,12,14,21160,386,99,21,21,4.1,11932|13170|14089|14725|14732|19062|20377|20446|21828|22248|29873|66859|74199|209195|212541|216739|231440|233744|245049|278507|329941,Atp1b2|Dbp|Fap|Lrp2|Gpam|Inpp5k|Sfrp1|St6galnac2|Thbs4|Unc119|Cspg5|Slc16a9|Vit|Clic6|Rho|Acsl6|Parm1|Spon1|Myrip|Wfikkn2|Col8a2,-13,hits
TRRUST,34,TRR01347,Regulated by: Sp1,,-2.7,4.6,4.1,21160,280,99,6,6.1,2.4,11803|12162|12978|17254|20539|212541,Aplp1|Bmp7|Csf1r|Slc3a2|Slc7a5|Rho,-0.02,hits
PaGenBase,36,PGB:00015,Tissue-specific: retina,,-2.1,5.1,3.7,21160,167,99,4,4,2,22178|22248|74199|212541,Tyrp1|Unc119|Vit|Rho,0,hits
PaGenBase,36,PGB:00221,Tissue-specific: eye,,-2,3.4,3.2,21160,382,99,6,6.1,2.4,22178|22248|74199|74325|212541|329941,Tyrp1|Unc119|Vit|Cltb|Rho|Col8a2,0,hits
