_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.3,GO:0002526,acute inflammatory response,M1,1,0
1,-2.4,GO:0030595,leukocyte chemotaxis,M1,1,0
1,-2.5,GO:0071825,protein-lipid complex organization,M1,1,0
1,-2,GO:0051051,negative regulation of transport,M1,1,0
1,-3.8,GO:1902003,regulation of amyloid-beta formation,M1,1,0
1,-4,GO:0055075,potassium ion homeostasis,M1,1,0
1,-7.5,GO:0015849,organic acid transport,M1,1,0
1,-3.8,GO:0034764,positive regulation of transmembrane transport,M1,1,0
1,-3.1,GO:0060252,positive regulation of glial cell proliferation,M1,1,0
1,-2.3,WP2841,Focal adhesion PI3K Akt mTOR signaling pathway,M1,1,0
1,-2.2,GO:0046426,negative regulation of receptor signaling pathway via JAK-STAT,M1,1,0
1,-3.9,GO:0071375,cellular response to peptide hormone stimulus,M1,1,0
1,-2.6,GO:0050900,leukocyte migration,M1,1,0
1,-2.6,GO:0150116,regulation of cell-substrate junction organization,M1,1,0
1,-2.1,GO:0003007,heart morphogenesis,M1,1,0
1,-2.4,GO:0033122,negative regulation of purine nucleotide catabolic process,M1,1,0
1,-2.1,GO:0048562,embryonic organ morphogenesis,M1,1,0
1,-2.2,GO:0034368,protein-lipid complex remodeling,M1,1,0
1,-3.1,GO:0090036,regulation of protein kinase C signaling,M1,1,0
1,-7.9,GO:0001568,blood vessel development,M1,1,0
1,-7.5,GO:0035239,tube morphogenesis,M1,1,0
1,-2.4,GO:0006897,endocytosis,M1,1,0
1,-3.2,GO:0071456,cellular response to hypoxia,M1,1,0
1,-2.2,R-MMU-1500931,Cell-Cell communication,M1,1,0
1,-2.3,WP512,ID signaling pathway,M1,1,0
1,-11,GO:0001525,angiogenesis,M1,1,0
1,-2,GO:0060669,embryonic placenta morphogenesis,M1,1,0
1,-4.8,GO:0009185,ribonucleoside diphosphate metabolic process,M1,1,0
1,-3.8,GO:0006006,glucose metabolic process,M1,1,0
1,-5.1,GO:0006096,glycolytic process,M1,1,0
1,-4.5,mmu04514,Cell adhesion molecules - Mus musculus (house mouse),M1,1,0
1,-4.2,GO:0031589,cell-substrate adhesion,M1,1,0
1,-3.7,R-MMU-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),M1,1,0
1,-2.3,GO:0120161,regulation of cold-induced thermogenesis,M1,1,0
1,-5.3,GO:0014015,positive regulation of gliogenesis,M1,1,0
1,-2.5,GO:0001938,positive regulation of endothelial cell proliferation,M1,1,0
1,-4.3,GO:0001558,regulation of cell growth,M1,1,0
1,-2.3,GO:0045981,positive regulation of nucleotide metabolic process,M1,1,0
1,-2.6,GO:1905564,positive regulation of vascular endothelial cell proliferation,M1,1,0
1,-5,mmu04964,Proximal tubule bicarbonate reclamation - Mus musculus (house mouse),M1,1,0
1,-2.6,GO:0071827,plasma lipoprotein particle organization,M1,1,0
1,-2.1,GO:0006826,iron ion transport,M1,1,0
1,-3.4,GO:0140352,export from cell,M1,1,0
1,-3.7,GO:0097435,supramolecular fiber organization,M1,1,0
1,-5.8,R-MMU-9012999,RHO GTPase cycle,M1,1,0
1,-2.5,GO:0034248,regulation of amide metabolic process,M1,1,0
