GroupID,Category,Term,Description,LogP,Log(q-value),Genes,Symbols,InTerm_InList,Cluster
1_Summary,GO Biological Processes,GO:0046548,retinal rod cell development,-4.617808078,-0.375,"18,185,198,887,595,300,000","Nrl,Rp1,Samd7,Nectin1",4/-,Rp
2_Summary,GO Biological Processes,GO:0022618,protein-RNA complex assembly,-3.288146418,0,"1,551,926,908,538,900,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Hsp90aa1,Eif2s3y,Sart3,Luc7l,Celf3,Hnrnpdl,Zfp326,Srrm2,Arglu1,Taf1,Usp22",11/-,Rp
3_Summary,GO Biological Processes,GO:0040029,epigenetic regulation of gene expression,-2.988650324,0,"13,990,150,812,060,200,000,000,000,000,000,000,000,000","Smarcad1,H3f3b,Ncor2,Uty,Samd7,Tet2,H2bc4,Hsp90aa1",8/-,Rp
4_Summary,GO Biological Processes,GO:0006511,ubiquitin-dependent protein catabolic process,-2.967487196,0,"240,175,775,170,382,000,000,000,000,000,000,000,000,000,000,000","Rnf13,Rnf25,Kctd2,Rnf123,Trim9,Rnf20,Usp22,Zranb1,Dtx3",9/-,Rp
5_Summary,GO Biological Processes,GO:0006091,generation of precursor metabolites and energy,-2.594000456,0,"11,957,138,081,527,700,000,000,000,000,000,000","Atp5pf,Eno3,Hk2,Atp5f1d,Tafazzin,Atg12,Ndufaf5",7/-,Rp
1_Summary,Reactome Gene Sets,R-MMU-2142753,Arachidonate metabolism,-4.433387809,-0.666,"14,598,189,791,921,500,000,000,000,000,000,000","Ggt1,Pon1,Ptgds,Gpam,Msmo1,Cers5,Aldoa",7/-,RPE
2_Summary,GO Biological Processes,GO:0030335,positive regulation of cell migration,-4.386213305,-0.666,"1,167,414,366,185,900,000,000,000,000,000,000,000,000","Aldoa,Fzd4,Pdgfa,Vegfa,Rapgef4,Jam3,Tsg101,Dusp6",8/-,RPE
3_Summary,GO Biological Processes,GO:0046903,secretion,-3.417921532,-0.078,"143,661,921,522,088,000,000,000,000,000","Fzd4,Ptgds,Tsg101,Vegfa,Rapgef4,Sptbn1",6/-,RPE
4_Summary,GO Biological Processes,GO:0043405,regulation of MAP kinase activity,-3.172412949,0,"1,436,618,590,220,880,000,000,000","Fzd4,Pdgfa,Tsg101,Sptbn1,Dusp6",5/-,RPE
5_Summary,GO Biological Processes,GO:0040008,regulation of growth,-3.122025812,0,"14,732,220,882,233,900,000,000,000,000,000,000,000,000,000,000,000","Gpam,Tsg101,Vegfa,Ybx3,Dusp6,Ptgds,Aldoa,Fzd4,Ggt1,Jam3",10/-,RPE
1_Member,Reactome Gene Sets,R-MMU-1474244,Extracellular matrix organization,-2.83942169,0,"11465,12837,14268,20650,241226","Actg1,Col8a1,Fn1,Sntb2,Itga8",5/262,SC_F
2_Summary,Reactome Gene Sets,R-MMU-421270,Cell-cell junction organization,-3.351331455,0,"114,655,787,593,737","Actg1,Angptl4,Pard6g",3/-,SC_F
3_Summary,GO Biological Processes,GO:0006457,protein folding,-2.583524161,0,"12,539,190,381,938,600,000","Cdc37,Ppic,Ranbp2,St13",4/-,SC_F
4_Summary,Reactome Gene Sets,R-MMU-109582,Hemostasis,-2.281042298,0,"114,651,230,614,268,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Actg1,Anxa2,Fn1,H3f3a,Selenop,Ak3,Col8a1,Angptl4,Cdc37,Atp6v0b,Ptpn3",11/-,SC_F
5_Summary,Reactome Gene Sets,R-MMU-9012999,RHO GTPase cycle,-2.113543345,0,"1,146,511,736,125,390,000,000,000,000,000","Actg1,Ankfy1,Cdc37,Snap23,Arhgap20,Ranbp2",6/-,SC_F
