_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,CHILD_GO_hits
1,-11.902620824588785,GO:0009987,cellular process,M1,1,GO:0009060 aerobic respiration
1,-5.513872264594797,GO:0032501,multicellular organismal process,M1,1,GO:0007613 memory
1,-5.364525613279927,GO:0032502,developmental process,M1,1,GO:0042063 gliogenesis
1,-5.060595838042616,GO:0050789,regulation of biological process,M1,1,GO:1905906 regulation of amyloid fibril formation
1,-4.583727026620152,GO:0051179,localization,M1,1,GO:0051651 maintenance of location in cell
1,-4.29451507407829,GO:0050896,response to stimulus,M1,1,GO:0009416 response to light stimulus
1,-3.9704848733088816,GO:0002376,immune system process,M1,1,GO:1902106 negative regulation of leukocyte differentiation
1,-3.8929617862808663,GO:0048519,negative regulation of biological process,M1,1,GO:1905907 negative regulation of amyloid fibril formation
1,-3.2690704368584664,GO:0022414,reproductive process,M1,1,GO:0007617 mating behavior
1,-3.242079911438857,GO:0042592,homeostatic process,M1,1,GO:0019725 cellular homeostasis
1,-3.200364704676343,GO:0016032,viral process,M1,1,GO:0019081 viral translation
1,-3.0375613723938653,GO:0065007,biological regulation,M1,1,GO:0051347 positive regulation of transferase activity
1,-2.858664165803318,GO:0048518,positive regulation of biological process,M1,1,GO:1902993 positive regulation of amyloid precursor protein catabolic process
1,-2.44842882492829,GO:0040011,locomotion,M1,1,GO:0014911 positive regulation of smooth muscle cell migration
1,-2.3965774521109138,GO:0098754,detoxification,M1,1,GO:0098754 detoxification
1,-2.1787350483236745,GO:0040007,growth,M1,1,GO:0040008 regulation of growth
