Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0030500,regulation of bone mineralization,19_GO:0032502 developmental process,-2.1,5.2,3.7,21160,90,181,4,2.2,1.1,12162|14184|16998|20516,Bmp7|Fgfr3|Ltbp3|Slc20a2,-0.33,hits
GO Biological Processes,19,GO:0046365,monosaccharide catabolic process,19_GO:0009987 cellular process,-2.1,7.5,4.1,21160,47,181,3,1.7,0.95,12091|18642|18655,Glb1|Pfkm|Pgk1,-0.32,hits
GO Biological Processes,19,GO:0043523,regulation of neuron apoptotic process,19_GO:0050789 regulation of biological process,-2.1,2.8,3.1,21160,330,181,8,4.4,1.5,11816|11820|12759|14184|17242|17748|21672|21937,Apoe|App|Clu|Fgfr3|Mdk|Mt1|Prdx2|Tnfrsf1a,-0.32,hits
GO Biological Processes,19,GO:1903035,negative regulation of response to wounding,19_GO:0048519 negative regulation of biological process,-2.1,5.1,3.7,21160,91,181,4,2.2,1.1,11816|12527|17242|19211,Apoe|Cd9|Mdk|Pten,-0.32,hits
GO Biological Processes,19,GO:0000045,autophagosome assembly,19_GO:0009987 cellular process,-2.1,5.1,3.7,21160,91,181,4,2.2,1.1,13033|56486|66734|386649,Ctsd|Gabarap|Map1lc3a|Nsfl1c,-0.32,hits
Reactome Gene Sets,6,R-MMU-6807878,COPI-mediated anterograde transport,,-2.1,5.1,3.7,21160,91,181,4,2.2,1.1,11842|22143|56334|56395,Arf3|Tuba1b|Tmed2|Tmem115,-0.32,hits
GO Biological Processes,19,GO:1902600,proton transmembrane transport,19_GO:0051179 localization,-2.1,4.1,3.4,21160,143,181,5,2.8,1.2,27425|57423|66043|66092|232975,Atp5mg|Atp5mf|Atp5f1d|Ghitm|Atp1a3,-0.32,hits
GO Biological Processes,19,GO:0010811,positive regulation of cell-substrate adhesion,19_GO:0048518 positive regulation of biological process,-2.1,4.1,3.4,21160,144,181,5,2.8,1.2,12837|17242|22370|58859|192176,Col8a1|Mdk|Vtn|Efemp2|Flna,-0.31,hits
GO Biological Processes,19,GO:0010799,regulation of peptidyl-threonine phosphorylation,19_GO:0050789 regulation of biological process,-2.1,7.3,4.1,21160,48,181,3,1.7,0.95,11820|12654|19062,App|Chi3l1|Inpp5k,-0.31,hits
GO Biological Processes,19,GO:0030901,midbrain development,19_GO:0032502 developmental process,-2.1,7.3,4.1,21160,48,181,3,1.7,0.95,14184|18424|22272,Fgfr3|Otx2|Uqcrq,-0.31,hits
GO Biological Processes,19,GO:0071901,negative regulation of protein serine/threonine kinase activity,19_GO:0048519 negative regulation of biological process,-2.1,5.1,3.6,21160,92,181,4,2.2,1.1,11816|19062|19211|54612,Apoe|Inpp5k|Pten|Sfrp5,-0.31,hits
GO Biological Processes,19,GO:0007423,sensory organ development,19_GO:0032502 developmental process,-2.1,2.1,2.9,21160,710,181,13,7.2,1.9,12162|12628|12837|14118|14184|15312|17187|18424|19156|29817|212541|225845|329941,Bmp7|Cfh|Col8a1|Fbn1|Fgfr3|Hmgn1|Max|Otx2|Psap|Igfbp7|Rho|Plaat3|Col8a2,-0.3,hits
GO Biological Processes,19,GO:0000302,response to reactive oxygen species,19_GO:0050896 response to stimulus,-2.1,3.4,3.3,21160,204,181,6,3.3,1.3,14775|18538|19156|21672|66734|67067,Gpx1|Pcna|Psap|Prdx2|Map1lc3a|Romo1,-0.3,hits
GO Biological Processes,19,GO:0006665,sphingolipid metabolic process,19_GO:0009987 cellular process,-2.1,4,3.4,21160,146,181,5,2.8,1.2,12091|15212|19156|20442|60527,Glb1|Hexb|Psap|St3gal1|Fads3,-0.3,hits
GO Biological Processes,19,GO:0033559,unsaturated fatty acid metabolic process,19_GO:0009987 cellular process,-2.1,4,3.4,21160,146,181,5,2.8,1.2,14775|17319|21937|60527|77219,Gpx1|Mif|Tnfrsf1a|Fads3|Ptgr2,-0.3,hits
GO Biological Processes,19,GO:0034614,cellular response to reactive oxygen species,19_GO:0050896 response to stimulus,-2.1,4,3.4,21160,146,181,5,2.8,1.2,18538|19156|21672|66734|67067,Pcna|Psap|Prdx2|Map1lc3a|Romo1,-0.3,hits
GO Biological Processes,19,GO:1905521,regulation of macrophage migration,19_GO:0040011 locomotion,-2.1,7.2,4,21160,49,181,3,1.7,0.95,12527|17242|17319,Cd9|Mdk|Mif,-0.3,hits
GO Biological Processes,19,GO:0010543,regulation of platelet activation,19_GO:0032501 multicellular organismal process,-2.1,7.2,4,21160,49,181,3,1.7,0.95,11816|12527|192176,Apoe|Cd9|Flna,-0.3,hits
GO Biological Processes,19,GO:0030501,positive regulation of bone mineralization,19_GO:0032502 developmental process,-2.1,7.2,4,21160,49,181,3,1.7,0.95,12162|14184|20516,Bmp7|Fgfr3|Slc20a2,-0.3,hits
GO Biological Processes,19,GO:0045859,regulation of protein kinase activity,19_GO:0050789 regulation of biological process,-2.1,2.4,3,21160,480,181,10,5.5,1.7,11816|11820|12444|12654|14118|16975|17319|19062|19211|54612,Apoe|App|Ccnd2|Chi3l1|Fbn1|Lrp8|Mif|Inpp5k|Pten|Sfrp5,-0.3,hits
KEGG Pathway,24,mmu04610,Complement and coagulation cascades - Mus musculus (house mouse),,-2.1,5,3.6,21160,94,181,4,2.2,1.1,12268|12628|12759|22370,C4b|Cfh|Clu|Vtn,-0.29,hits
GO Biological Processes,19,GO:0045732,positive regulation of protein catabolic process,19_GO:0048518 positive regulation of biological process,-2.1,3.4,3.2,21160,206,181,6,3.3,1.3,11816|11820|12759|20333|56438|56486,Apoe|App|Clu|Sec22b|Rbx1|Gabarap,-0.29,hits
GO Biological Processes,19,GO:0045862,positive regulation of proteolysis,19_GO:0048518 positive regulation of biological process,-2,2.8,3,21160,339,181,8,4.4,1.5,11816|11820|12759|13033|19211|56438|56486|73916,Apoe|App|Clu|Ctsd|Pten|Rbx1|Gabarap|Ift57,-0.29,hits
GO Biological Processes,19,GO:0051099,positive regulation of binding,19_GO:0065007 biological regulation,-2,3.9,3.3,21160,148,181,5,2.8,1.2,11816|14339|18102|22370|68576,Apoe|Aktip|Nme1|Vtn|Lamtor5,-0.29,hits
GO Biological Processes,19,GO:0030278,regulation of ossification,19_GO:0032501 multicellular organismal process,-2,3.9,3.3,21160,148,181,5,2.8,1.2,12162|14184|16998|17242|20516,Bmp7|Fgfr3|Ltbp3|Mdk|Slc20a2,-0.29,hits
GO Biological Processes,19,GO:0170036,import into the mitochondrion,19_GO:0051179 localization,-2,7,4,21160,50,181,3,1.7,0.95,67067|68066|216001,Romo1|Slc25a39|Micu1,-0.29,hits
GO Biological Processes,19,GO:0035640,exploration behavior,19_GO:0032501 multicellular organismal process,-2,7,4,21160,50,181,3,1.7,0.95,11816|14607|28199,Apoe|Gip|Dcaf11,-0.29,hits
Reactome Gene Sets,6,R-MMU-1442490,Collagen degradation,,-2,7,4,21160,50,181,3,1.7,0.95,12837|13033|329941,Col8a1|Ctsd|Col8a2,-0.29,hits
GO Biological Processes,19,GO:0007040,lysosome organization,19_GO:0009987 cellular process,-2,4.9,3.6,21160,95,181,4,2.2,1.1,12751|14339|14387|15212,Tpp1|Aktip|Gaa|Hexb,-0.29,hits
GO Biological Processes,19,GO:0080171,lytic vacuole organization,19_GO:0009987 cellular process,-2,4.9,3.6,21160,95,181,4,2.2,1.1,12751|14339|14387|15212,Tpp1|Aktip|Gaa|Hexb,-0.29,hits
GO Biological Processes,19,GO:0006664,glycolipid metabolic process,19_GO:0009987 cellular process,-2,4.9,3.5,21160,96,181,4,2.2,1.1,12091|15212|19156|20442,Glb1|Hexb|Psap|St3gal1,-0.27,hits
GO Biological Processes,19,GO:0098655,monoatomic cation transmembrane transport,19_GO:0051179 localization,-2,2.2,2.8,21160,642,181,12,6.6,1.8,11932|20516|27425|57423|66043|66092|67067|98396|192176|216001|232975|234839,Atp1b2|Slc20a2|Atp5mg|Atp5mf|Atp5f1d|Ghitm|Romo1|Slc41a1|Flna|Micu1|Atp1a3|Piezo1,-0.27,hits
GO Biological Processes,19,GO:0016032,viral process,19_GO:0016032 viral process,-2,3.9,3.3,21160,150,181,5,2.8,1.2,11816|20516|53356|68184|229663,Apoe|Slc20a2|Eif3g|Denr|Csde1,-0.27,hits
GO Biological Processes,19,GO:0003382,epithelial cell morphogenesis,19_GO:0032502 developmental process,-2,6.9,3.9,21160,51,181,3,1.7,0.95,11500|20733|72333,Adam7|Spint2|Palld,-0.27,hits
GO Biological Processes,19,GO:0042596,fear response,19_GO:0032501 multicellular organismal process,-2,6.9,3.9,21160,51,181,3,1.7,0.95,13167|17242|232975,Dbi|Mdk|Atp1a3,-0.27,hits
Reactome Gene Sets,6,R-MMU-1660662,Glycosphingolipid metabolism,,-2,6.9,3.9,21160,51,181,3,1.7,0.95,12091|15212|19156,Glb1|Hexb|Psap,-0.27,hits
GO Biological Processes,19,GO:1903509,liposaccharide metabolic process,19_GO:0009987 cellular process,-2,4.8,3.5,21160,97,181,4,2.2,1.1,12091|15212|19156|20442,Glb1|Hexb|Psap|St3gal1,-0.27,hits
GO Biological Processes,19,GO:0006672,ceramide metabolic process,19_GO:0009987 cellular process,-2,4.8,3.5,21160,97,181,4,2.2,1.1,12091|15212|19156|20442,Glb1|Hexb|Psap|St3gal1,-0.27,hits
