,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,pct.1_pct.2
900,8.732067677603e-06,1.82341126827668,0.387,0.111,0.0982270293053562,Gtpbp8,0.276
901,4.00485102221416e-05,1.54330334908394,0.419,0.143,0.45050569148887,Fam110a,0.276
902,4.33465277685315e-05,1.52922816387222,0.419,0.143,0.487605090868211,Dnajb14,0.276
903,8.39607351107318e-05,1.41353547411361,0.419,0.143,0.944474309260621,Cox19,0.276
904,0.000165385761572307,1.39554972864025,0.452,0.176,1,Mplkip,0.276
905,0.000417856233446835,1.10328918427388,0.452,0.176,1,Med31,0.276
906,0.000707440497200782,0.769131875855412,0.903,0.627,1,Acly,0.276
907,0.000430774446075423,1.03523444790294,0.71,0.434,1,Klc1,0.276
908,0.000440491316665386,1.20558413364989,0.581,0.305,1,Naa30,0.276
909,0.00209881106723422,0.932241130789925,0.581,0.305,1,Uqcc3,0.276
910,0.00283943713732346,0.96441536277247,0.581,0.305,1,Ice1,0.276
911,0.000111441508111474,1.2724962483832,0.677,0.402,1,Usp34,0.275
912,0.000525365161181257,1.25920732772232,0.548,0.273,1,Taf1,0.275
913,0.000815558481763743,1.11382211304178,0.484,0.209,1,Scaf8,0.275
914,0.00188312700552833,0.978689493754588,0.677,0.402,1,Aup1,0.275
915,0.00325630085465795,0.821939881060009,0.613,0.338,1,Ext1,0.275
916,0.00454905946408006,0.735016152330963,0.613,0.338,1,Rnf146,0.275
917,1.79626302618835e-09,2.74624340775422,0.323,0.049,2.02061627815927e-05,Bcl6,0.274
918,1.07383476635996e-05,1.74202294143602,0.387,0.113,0.120795672867832,Cdan1,0.274
919,2.69629265008558e-05,1.97971449915535,0.452,0.178,0.303305960208127,Galnt4,0.274
920,0.000110937421846179,1.57449797068754,0.452,0.178,1,Nfyc,0.274
921,0.000317877273888047,1.34536397147203,0.516,0.242,1,Dhdds,0.274
922,0.00042561445749451,1.48286749522197,0.516,0.242,1,Cerk,0.274
923,0.00124098551407415,0.958340848362785,0.516,0.242,1,Fam162a,0.274
924,0.00303122396528404,0.861885416091313,0.774,0.5,1,Dusp7,0.274
925,1.08902147296887e-17,4.67383491222617,0.29,0.016,1.22504025494269e-13,Mapre3,0.274
926,0.000903261523697456,1.07338952128502,0.581,0.307,1,Ccnt1,0.274
927,0.00179635505978141,1.14718070998821,0.581,0.307,1,Gtf2a1,0.274
928,0.00328710328354287,0.895244013037743,0.581,0.307,1,Tent2,0.274
929,5.71372649695069e-05,1.60101884694023,0.419,0.146,0.642737093641984,Sec61a2,0.273
930,0.000426832788786,1.31788323504993,0.484,0.211,1,Coq2,0.273
931,0.00101123994584672,1.02590413217542,0.484,0.211,1,Tmem39a,0.273
932,0.00386441434671319,0.815853917098595,0.677,0.404,1,Rabgap1,0.273
933,4.82158741511298e-07,2.36130551534105,0.355,0.082,0.00542380368326059,Chchd5,0.273
934,6.75317932067284e-07,2.209302421896,0.355,0.082,0.00759665141782487,Jmjd4,0.273
935,1.79023055351406e-06,1.74624340775422,0.355,0.082,0.0201383034964797,Pola1,0.273
936,0.00463537396869078,0.973395194085075,0.613,0.34,1,Dhx36,0.273
937,0.00759984275659762,0.591063766300549,0.613,0.34,1,Vmp1,0.273
938,5.08465528884223e-09,2.5763184063119,0.323,0.051,5.71972873441862e-05,Cfap410,0.272
939,0.000307318676147542,1.27180736450195,0.645,0.373,1,Ttc14,0.272
940,0.000550213933801799,1.12203927544021,0.452,0.18,1,Impact,0.272
941,0.000837411220726311,1.05055721958376,0.645,0.373,1,Tmem127,0.272
942,0.000901903448098995,1.13891309400461,0.516,0.244,1,Zrsr2,0.272
943,0.000977739583792225,1.01605634621907,0.516,0.244,1,Pwwp2b,0.272
944,0.00274988823357711,0.86589459959819,0.645,0.373,1,Gnpat,0.272
945,0.000869492678340894,1.19165455607658,0.581,0.309,1,Ahdc1,0.272
946,0.00386834108927788,0.858176686437353,0.581,0.309,1,Pip4p1,0.272
947,0.00811182628719552,0.623271653787357,0.71,0.438,1,Ubxn1,0.272
948,0.000100267164418762,1.34536397147203,0.419,0.148,1,Tmem29,0.271
949,0.000127228935781159,1.39810543354401,0.419,0.148,1,Nfx1,0.271
950,0.000137265108281397,1.60328545391217,0.548,0.277,1,Safb,0.271
951,0.000165803314734922,1.39554972864025,0.419,0.148,1,Kansl1l,0.271
952,0.000354572521130751,1.38587913121075,0.484,0.213,1,Rlf,0.271
953,0.000519265410621944,1.39503913049622,0.484,0.213,1,Zfp236,0.271
954,0.00104900461723299,1.01760679778247,0.484,0.213,1,Armc8,0.271
955,0.00123276113588557,0.958340848362785,0.677,0.406,1,Mmd,0.271
956,0.00558943791194333,0.711201764690652,0.677,0.406,1,Prcc,0.271
957,1.03583649402022e-06,2.1198042710569,0.355,0.084,0.0116521247212334,Aacs,0.271
958,0.00120814843538062,1.02097183663319,0.613,0.342,1,Max,0.271
959,0.00231996952061849,0.881058927276493,0.613,0.342,1,Mia3,0.271
960,1.53393724750012e-05,1.83635032398417,0.387,0.117,0.172552600971289,Pgm1,0.27
961,2.64708863471658e-05,1.65348626683436,0.387,0.117,0.297771000519268,Prkd1,0.27
962,3.95017238372402e-05,1.47945686705932,0.387,0.117,0.444354891445115,Capn10,0.27
963,0.000122250043926847,1.59734318879683,0.452,0.182,1,Nt5c3,0.27
964,0.000784325137222137,1.25503165175112,0.645,0.375,1,Got2,0.27
965,0.000972594297830713,1.13507102771021,0.516,0.246,1,Kat5,0.27
966,0.000989364756844475,1.1122310513521,0.516,0.246,1,Nae1,0.27
967,0.00222015635487928,0.90141378027795,0.516,0.246,1,Mnat1,0.27
968,0.00141503733755192,1.02661012437981,0.581,0.311,1,Trappc11,0.27
969,0.000667000238043468,1.10720423427727,0.677,0.408,1,Trpm7,0.269
970,2.0819967419817e-06,2.02195694765876,0.355,0.086,0.0234203813505522,Map3k12,0.269
971,7.59276330018232e-05,1.59329148491562,0.419,0.15,0.854109943637509,Zfp574,0.269
972,0.000350859722292145,0.88572647412716,0.742,0.473,1,Ep300,0.269
973,0.000496740817631152,1.1731080138882,0.613,0.344,1,Helz,0.269
974,0.000835435728218159,1.12597403829711,0.613,0.344,1,Atg4b,0.269
975,0.0010206285033939,1.05922420537545,0.548,0.279,1,Zcchc8,0.269
976,0.00153220562970612,1.06281011491881,0.613,0.344,1,Arid4b,0.269
977,0.00341807973204589,0.762010723612534,0.548,0.279,1,Irf3,0.269
978,0.00393362550697048,0.782769283779331,0.613,0.344,1,Suds3,0.269
979,0.00434036406443927,0.755584454453101,0.742,0.473,1,Uba2,0.269
980,4.7078318596114e-15,4.92027280752927,0.29,0.021,5.29584005887686e-11,Epb41l2,0.269
981,8.04483819660722e-15,4.36773178450049,0.29,0.021,9.04963848736346e-11,Dennd6b,0.269
982,0.00039544568046255,1.07311103560886,0.71,0.441,1,Xpo1,0.269
983,0.000438772031126012,1.27050997678782,0.581,0.312,1,Aars,0.269
984,0.00178989165460477,1.00766856072635,0.581,0.312,1,Chm,0.269
985,1.94239021733122e-05,1.26306406680977,0.774,0.506,0.218499475547589,Atp6v0c,0.268
986,2.58586710700009e-05,1.68590774452674,0.387,0.119,0.29088419086644,Phka1,0.268
987,3.18232484163042e-05,1.63076619033428,0.387,0.119,0.357979721435006,Atrip,0.268
988,0.00018094981676254,1.44943642561972,0.452,0.184,1,Eif2ak3,0.268
989,0.000300100790084058,1.42689385696863,0.452,0.184,1,Nop2,0.268
990,0.000444375938704353,1.22764201259894,0.452,0.184,1,Aarsd1,0.268
991,0.00306641423522088,0.845270702240416,0.774,0.506,1,Gdi1,0.268
992,2.58624746034437e-06,2.09471329009407,0.355,0.088,0.0290926976814138,Cc2d1b,0.267
993,3.31892466017567e-06,1.92242127410784,0.355,0.088,0.0373345835023161,Acyp1,0.267
994,0.000105815112360431,1.51528897291435,0.419,0.152,1,Unc45a,0.267
995,0.000740811537726197,1.13434036421478,0.484,0.217,1,Chuk,0.267
996,0.000809460170105165,1.23202249839609,0.548,0.281,1,Ctif,0.267
997,0.00204460049872933,0.924788288651759,0.484,0.217,1,Chchd7,0.267
998,0.00265070688272235,0.937279232834956,0.548,0.281,1,Cdk8,0.267
999,0.00432338020432131,0.689387218340472,0.839,0.572,1,Selenot,0.267
1000,0.00138800730130867,1.15598660736355,0.581,0.314,1,Ensa,0.267
1001,0.00245437580232256,1.05558471040571,0.581,0.314,1,Tmx1,0.267
1002,0.0039519517892353,0.898160135546819,0.581,0.314,1,Coro7,0.267
1003,0.0075775005190027,0.69884680023424,0.71,0.443,1,Txn2,0.267
1004,2.12317826413664e-05,1.87587868817081,0.387,0.121,0.238836322932731,Cplane1,0.266
1005,2.99913165827629e-05,1.70876870233555,0.387,0.121,0.337372320239499,Hirip3,0.266
1006,0.000305575458937767,1.4922053598013,0.516,0.25,1,Kif2a,0.266
1007,0.000534272285024088,1.04580368961312,0.645,0.379,1,Ube2e3,0.266
1008,0.000642067536203013,1.37742518070433,0.516,0.25,1,Mafg,0.266
1009,0.00209444611533304,1.0383091530662,0.516,0.25,1,Rnf169,0.266
1010,0.00684356289549334,0.735701030122552,0.774,0.508,1,Srsf3,0.266
1011,4.20928241059776e-06,1.91652067266816,0.355,0.09,0.0473502178368142,Jrkl,0.265
1012,4.37469672468509e-06,1.87587868817081,0.355,0.09,0.0492109634559826,Dcun1d2,0.265
1013,5.90026635862233e-06,1.77278519520671,0.355,0.09,0.0663720962681426,Zfp955b,0.265
1014,6.36287900104492e-06,1.68015421729644,0.355,0.09,0.0715760258827543,Zc3h3,0.265
1015,0.000114863702972372,1.62130586108521,0.419,0.154,1,N4bp2,0.265
1016,0.000189562144194136,1.3519068173388,0.419,0.154,1,Yod1,0.265
1017,0.000266842287876436,1.29091618744966,0.419,0.154,1,Tsc1,0.265
1018,0.000649413030710036,1.26444397608847,0.484,0.219,1,Esco1,0.265
1019,0.00672997215139073,0.527074887292055,0.742,0.477,1,H2afv,0.265
1020,0.00140580798658096,1.06656224977992,0.581,0.316,1,Kmt2a,0.265
1021,3.71713551271446e-05,1.68825168499504,0.387,0.123,0.41814057382525,Mdc1,0.264
1022,5.48680265884341e-05,1.6707642582662,0.387,0.123,0.617210431093296,Grhpr,0.264
1023,0.000527606063447559,1.22704400428327,0.452,0.188,1,Mcu,0.264
1024,0.00103909431780691,1.23844876755552,0.516,0.252,1,Ppp2r5d,0.264
1025,0.00354380495839238,0.816069292935509,0.516,0.252,1,Ttc4,0.264
1026,0.00997571764786482,0.704945866190911,0.774,0.51,1,Far1,0.264
1027,0.00264743969239521,0.941467029798389,0.548,0.285,1,Smarcc1,0.263
1028,0.00451186436269446,0.868925927529046,0.548,0.285,1,Washc1,0.263
1029,0.00540672647307352,0.801677746329395,0.677,0.414,1,Ndufv2,0.263
1030,9.15239592728138e-06,1.70002885277139,0.355,0.092,0.102955301785988,Supv3l1,0.263
1031,9.8435440129225e-06,1.5564188488742,0.355,0.092,0.110730026601365,Xylt1,0.263
1032,0.000139989102641186,1.53335368867634,0.419,0.156,1,Spata2,0.263
1033,0.000175253858172674,1.74463415489256,0.452,0.189,1,Tbcel,0.263
1034,0.000326191075105076,1.50783866842914,0.452,0.189,1,Gtf2ird1,0.263
1035,0.000501473434680557,0.993235638808971,0.806,0.543,1,Stat3,0.263
1036,0.000612645961617212,1.31687541451234,0.484,0.221,1,Arhgap26,0.263
1037,0.000654959260647107,1.2932412403959,0.484,0.221,1,Mga,0.263
1038,0.00107849895682207,1.02343587658467,0.484,0.221,1,Dcun1d3,0.263
1039,0.00169700406008003,0.962387681425487,0.484,0.221,1,Wdr6,0.263
1040,0.00282862433169021,0.811142430943413,0.742,0.479,1,Atp6v1d,0.263
1041,0.00196805148004138,0.973047347177811,0.581,0.318,1,Ube4a,0.263
1042,5.52236643405623e-08,2.92550945589541,0.323,0.061,0.000621211000166986,Hmgn1,0.262
1043,9.93102431182842e-08,2.3828386768907,0.323,0.061,0.00111714092483758,Slc9a5,0.262
1044,5.33605237209366e-05,1.64587308272449,0.387,0.125,0.600252531336816,Stk38l,0.262
1045,0.000538259677059184,1.44676600368025,0.516,0.254,1,Akap11,0.262
1046,0.00162844802197598,1.09363221470374,0.516,0.254,1,Fip1l1,0.262
1047,0.00235210295233757,0.970515562308888,0.516,0.254,1,Aco2,0.262
1048,0.00295433128340634,0.870361683203247,0.516,0.254,1,Psip1,0.262
1049,0.00410807066457582,0.734035460945984,0.774,0.512,1,Polr2a,0.262
1050,0.00467742994955003,0.80479559010933,0.645,0.383,1,Emc4,0.262
1051,2.8986714479875e-06,2.5564188488742,0.355,0.094,0.0326071551184114,Nsf,0.261
1052,1.33978804580355e-05,1.30556296341406,0.806,0.545,0.150712757272441,Lsm14a,0.261
1053,8.49681893887485e-05,1.8187347810672,0.419,0.158,0.955807162434032,Scap,0.261
1054,0.000130860450369341,1.72387559472576,0.419,0.158,1,Abtb1,0.261
1055,0.000138490405253098,1.59954745972356,0.419,0.158,1,Usp37,0.261
1056,0.000710469321298339,1.40837376899783,0.484,0.223,1,Srp54b,0.261
1057,0.000785913960322405,1.17133457169698,0.452,0.191,1,Ncdn,0.261
1058,0.00101796601580425,1.08738279336452,0.484,0.223,1,Sipa1l3,0.261
1059,0.00110773643953198,0.98953546996638,0.452,0.191,1,Pcdhgb2,0.261
1060,0.00141766969768198,0.951085032359986,0.613,0.352,1,Zfp871,0.261
1061,0.00205578388641936,0.95335744084853,0.613,0.352,1,Mycbp2,0.261
1062,0.00269960708229489,0.629156937472624,0.806,0.545,1,Tpp1,0.261
1063,0.00309289110527784,0.875878688170812,0.613,0.352,1,Ncln,0.261
1064,0.00140295406077535,0.834494767405693,0.71,0.449,1,Smarce1,0.261
1065,0.00104716370454404,1.17133457169698,0.516,0.256,1,Smpd1,0.26
1066,0.00105791585186739,1.19336087802698,0.516,0.256,1,Cnot4,0.26
1067,0.00114349127910708,1.28735836803647,0.516,0.256,1,Phax,0.26
1068,0.00168813896196219,0.832809966278926,0.645,0.385,1,Zfp598,0.26
1069,0.00197488425100581,0.98953546996638,0.516,0.256,1,Trap1,0.26
1070,0.00236747187655255,0.976908608402057,0.516,0.256,1,Znrf2,0.26
1071,0.00153701626558839,1.09984352932601,0.677,0.418,1,Pcf11,0.259
1072,2.90787993853679e-07,2.60970457480645,0.323,0.064,0.00327107414286003,Tmem138,0.259
1073,0.00014969940507735,1.62626479809934,0.419,0.16,1,Cox15,0.259
1074,0.000246598437244645,1.40534607630026,0.419,0.16,1,Eps15l1,0.259
1075,0.000340011439290085,1.31788323504993,0.419,0.16,1,Zfp263,0.259
1076,0.00042557140247404,1.25225456708055,0.419,0.16,1,Tango6,0.259
1077,0.000813804053920283,1.33096090634506,0.452,0.193,1,Gart,0.259
1078,0.00244644131547363,1.02026859750599,0.484,0.225,1,Hpf1,0.259
1079,4.46268115524812e-05,1.33044455163629,0.71,0.451,0.502007003153861,Cnot6,0.259
1080,0.00157563177675022,1.1301958769035,0.581,0.322,1,Mfn1,0.259
1081,0.00232111715993226,1.04580368961312,0.581,0.322,1,Ing4,0.259
1082,0.00248272862798926,0.889586107591411,0.71,0.451,1,Khsrp,0.259
1083,0.00814157309259759,0.609363713602057,0.71,0.451,1,Srsf1,0.259
1084,0.000105233883691275,1.46084118889197,0.387,0.129,1,Snapc2,0.258
1085,0.000348337111699894,1.15503275936788,0.645,0.387,1,Dynll2,0.258
1086,0.00374078910771093,0.7170219236847,0.742,0.484,1,Fbxw8,0.258
1087,0.00391122740909265,0.697880386192818,0.742,0.484,1,Atn1,0.258
1088,0.00419675841821533,0.536790042125267,0.613,0.355,1,Pdia5,0.258
1089,0.00520569341327435,0.805489360279414,0.516,0.258,1,Rtf1,0.258
1090,0.000714451570122515,1.10853944496109,0.677,0.42,1,Alg10b,0.257
1091,0.00197061240757601,1.04580368961312,0.548,0.291,1,Togaram1,0.257
1092,0.00499234180254905,0.871974233714896,0.677,0.42,1,Ndufa7,0.257
1093,3.90254416962873e-11,3.7701692469997,0.29,0.033,4.38997193641536e-07,Stk35,0.257
1094,3.53439059956399e-06,2.80479559010933,0.355,0.098,0.0397583598544953,Cdr2,0.257
1095,1.47941727061846e-05,1.80876449231228,0.355,0.098,0.16641964877187,Lysmd4,0.257
1096,1.76809176652713e-05,1.74624340775422,0.355,0.098,0.198892642816637,D11Wsu47e,0.257
1097,0.000433739481384841,1.32698544215718,0.484,0.227,1,Me2,0.257
1098,0.000686690018899501,1.2732141857162,0.452,0.195,1,Prelid3b,0.257
1099,0.000770055285663903,0.814239622378427,0.806,0.549,1,Usf2,0.257
1100,0.00134957682436039,1.18161754495884,0.484,0.227,1,Ckap5,0.257
1101,0.00137773073180575,1.01605634621907,0.452,0.195,1,Snx27,0.257
1102,0.00102005638985179,1.13291435338316,0.581,0.324,1,Vti1a,0.257
1103,0.0055954337089421,0.784843612017189,0.581,0.324,1,Seh1l,0.257
1104,0.00142809004484529,1.14633056556709,0.516,0.26,1,Rnf214,0.256
1105,0.001763223736821,1.0536658073861,0.516,0.26,1,Abcf1,0.256
1106,0.00232590452571928,1.01832295319102,0.516,0.26,1,Rbmx,0.256
1107,0.00282641915230793,1.04580368961312,0.516,0.26,1,Trim26,0.256
1108,0.00354523264839199,0.905322466063295,0.516,0.26,1,Washc4,0.256
1109,0.00653242429775609,0.754572391948679,0.516,0.26,1,Cbx1,0.256
1110,0.000360796576259634,1.35847947126229,0.548,0.293,1,Arih2,0.255
1111,0.0015555749323638,1.03913995933211,0.548,0.293,1,Lsm12,0.255
1112,2.67912563250006e-06,1.07083662027755,0.935,0.68,0.0301374842399931,Purb,0.255
1113,1.47696299427658e-05,2.02026859750599,0.355,0.1,0.166143567226172,Ap4e1,0.255
1114,0.000727262426073142,1.25920732772232,0.452,0.197,1,Slc33a1,0.255
1115,0.000834532329464327,1.31788323504993,0.452,0.197,1,Atxn1,0.255
1116,0.00260362684204506,0.953881200172086,0.484,0.229,1,Taf8,0.255
1117,0.00193179156248773,1.09434754157116,0.581,0.326,1,Bmi1,0.255
1118,0.00589899533143177,0.750842642326032,0.581,0.326,1,Adipor2,0.255
1119,9.32553392233972e-05,1.73914235137907,0.387,0.133,1,Repin1,0.254
1120,0.000138958304095719,1.47505504811167,0.387,0.133,1,Nup85,0.254
1121,0.000255247206472244,0.911679409598659,0.774,0.52,1,Smarcc2,0.254
1122,0.000626857405835402,1.32741020148334,0.613,0.359,1,Eif1b,0.254
1123,0.00267742462407404,1.016852315917,0.613,0.359,1,Rbm6,0.254
1124,0.00583894771337281,0.800327655163636,0.613,0.359,1,Larp4b,0.254
1125,0.00753596399933076,0.791382414084039,0.645,0.391,1,Prkcsh,0.254
1126,1.79453151898459e-06,1.93888848569661,0.323,0.07,0.0201866850570576,Ift74,0.253
1127,2.61642318168999e-05,1.7689634842543,0.355,0.102,0.294321443708307,Yju2,0.253
1128,2.76285224382414e-05,1.69032303501474,0.355,0.102,0.310793248907778,Mfsd12,0.253
1129,0.000470293155731382,1.34536397147203,0.419,0.166,1,Usp30,0.253
1130,0.00129536543675684,1.12203927544021,0.452,0.199,1,Dolk,0.253
1131,0.00564805623131646,0.870361683203247,0.581,0.328,1,Zfp592,0.253
1132,0.000131081580885447,1.58637207097583,0.387,0.135,1,Ttbk2,0.252
1133,0.000175991855303258,1.47594808128218,0.387,0.135,1,Hdhd5,0.252
1134,0.000801607400107395,1.03007076334853,0.742,0.49,1,Ttc7b,0.252
1135,0.000926002209424075,1.31788323504993,0.484,0.232,1,Crbn,0.252
1136,0.00254890316752222,0.922421274107842,0.484,0.232,1,Pcdhga12,0.252
1137,0.00502011662012322,0.849406476809621,0.516,0.264,1,Rab40c,0.252
1138,0.000518665495959448,0.964273804116527,0.677,0.426,1,Nudt3,0.251
1139,0.00751156456934035,0.754249243769281,0.548,0.297,1,Kdm3a,0.251
1140,1.99926872693388e-05,2.04580368961313,0.355,0.104,0.224897739092792,Usp49,0.251
1141,2.38759668165882e-05,1.8652314439713,0.355,0.104,0.2685807507198,Ing2,0.251
1142,2.81714425341786e-05,1.83079079864227,0.355,0.104,0.316900557066975,Cep78,0.251
1143,3.24468570132043e-05,1.66333405279071,0.355,0.104,0.364994694541535,Ltv1,0.251
