Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0019725,cellular homeostasis,19_GO:0042592 homeostatic process,-5.3,2.5,5.3,21160,732,330,29,8.8,1.6,11647|11789|11928|12296|12709|13615|14645|14695|15275|15277|16500|17425|18708|19275|20393|20530|22063|53416|54652|68585|72961|76257|94220|104394|108058|109676|217166|230872|277973,Alpl|Apc|Atp1a1|Cacnb2|Ckb|Edn2|Glul|Gnb3|Hk1|Hk2|Kcnb1|Foxk1|Pik3r1|Ptprn|Sgk1|Slc31a2|Trpc1|Stk39|Cacna1f|Rtn4|Slc17a7|Slc38a3|Cnnm4|E2f4|Camk2d|Ank2|Nr1d1|Crocc|Slc9a5,-2.6,hits
GO Biological Processes,19,GO:0019320,hexose catabolic process,19_GO:0009987 cellular process,-5.3,10,7.7,21160,44,330,7,2.1,0.79,15275|17425|18640|18641|21991|56421|244757,Hk1|Foxk1|Pfkfb2|Pfkl|Tpi1|Pfkp|Glb1l2,-2.6,hits
GO Biological Processes,19,GO:0009181,purine ribonucleoside diphosphate catabolic process,19_GO:0009987 cellular process,-5.3,8.3,7.2,21160,62,330,8,2.4,0.85,15275|15277|17425|18640|18641|21991|23959|56421,Hk1|Hk2|Foxk1|Pfkfb2|Pfkl|Tpi1|Nt5e|Pfkp,-2.6,hits
GO Biological Processes,19,GO:0009137,purine nucleoside diphosphate catabolic process,19_GO:0009987 cellular process,-5.3,8.3,7.2,21160,62,330,8,2.4,0.85,15275|15277|17425|18640|18641|21991|23959|56421,Hk1|Hk2|Foxk1|Pfkfb2|Pfkl|Tpi1|Nt5e|Pfkp,-2.6,hits
GO Biological Processes,19,GO:0009185,ribonucleoside diphosphate metabolic process,19_GO:0009987 cellular process,-5.3,7,6.9,21160,82,330,9,2.7,0.9,15275|15277|17425|18640|18641|21991|23959|56421|56524,Hk1|Hk2|Foxk1|Pfkfb2|Pfkl|Tpi1|Nt5e|Pfkp|Pals2,-2.6,hits
GO Biological Processes,19,GO:0001895,retina homeostasis,19_GO:0042592 homeostatic process,-5.2,8.1,7.1,21160,63,330,8,2.4,0.85,11304|19126|22157|26380|73750|75782|230872|234404,Abca4|Prom1|Tulp1|Esrrb|Whrn|Lca5|Crocc|Nxnl1,-2.6,hits
GO Biological Processes,19,GO:0046031,ADP metabolic process,19_GO:0009987 cellular process,-5.2,8.1,7.1,21160,63,330,8,2.4,0.85,15275|15277|17425|18640|18641|21991|23959|56421,Hk1|Hk2|Foxk1|Pfkfb2|Pfkl|Tpi1|Nt5e|Pfkp,-2.6,hits
GO Biological Processes,19,GO:0006735,NADH regeneration,19_GO:0009987 cellular process,-5.2,18,9,21160,18,330,5,1.5,0.67,15275|17425|18641|21991|56421,Hk1|Foxk1|Pfkl|Tpi1|Pfkp,-2.6,hits
GO Biological Processes,19,GO:0061621,canonical glycolysis,19_GO:0009987 cellular process,-5.2,18,9,21160,18,330,5,1.5,0.67,15275|17425|18641|21991|56421,Hk1|Foxk1|Pfkl|Tpi1|Pfkp,-2.6,hits
GO Biological Processes,19,GO:0061718,glucose catabolic process to pyruvate,19_GO:0009987 cellular process,-5.2,18,9,21160,18,330,5,1.5,0.67,15275|17425|18641|21991|56421,Hk1|Foxk1|Pfkl|Tpi1|Pfkp,-2.6,hits
GO Biological Processes,19,GO:0045494,photoreceptor cell maintenance,19_GO:0042592 homeostatic process,-5.2,9.8,7.5,21160,46,330,7,2.1,0.79,11304|19126|22157|26380|75782|230872|234404,Abca4|Prom1|Tulp1|Esrrb|Lca5|Crocc|Nxnl1,-2.6,hits
GO Biological Processes,19,GO:2000650,negative regulation of sodium ion transmembrane transporter activity,19_GO:0051179 localization,-5.2,28,10,21160,9,330,4,1.2,0.6,11603|53416|83814|108058,Agrn|Stk39|Nedd4l|Camk2d,-2.6,hits
GO Biological Processes,19,GO:0009191,ribonucleoside diphosphate catabolic process,19_GO:0009987 cellular process,-5.1,7.8,6.9,21160,66,330,8,2.4,0.85,15275|15277|17425|18640|18641|21991|23959|56421,Hk1|Hk2|Foxk1|Pfkfb2|Pfkl|Tpi1|Nt5e|Pfkp,-2.5,hits
GO Biological Processes,19,GO:0009132,nucleoside diphosphate metabolic process,19_GO:0009987 cellular process,-5.1,6.6,6.6,21160,87,330,9,2.7,0.9,15275|15277|17425|18640|18641|21991|23959|56421|56524,Hk1|Hk2|Foxk1|Pfkfb2|Pfkl|Tpi1|Nt5e|Pfkp|Pals2,-2.5,hits
GO Biological Processes,19,GO:0033365,protein localization to organelle,19_GO:0051179 localization,-5,2.4,5.1,21160,799,330,30,9.1,1.6,11426|11622|12759|14725|15275|15277|16647|18708|19386|19881|20848|21856|21929|22157|52440|56297|58869|68585|70572|71648|76123|77938|100732|103573|107305|109676|225004|230872|237542|238799,Macf1|Ahr|Clu|Lrp2|Hk1|Hk2|Kpna2|Pik3r1|Ranbp2|Rom1|Stat3|Timm44|Tnfaip3|Tulp1|Tax1bp1|Arl6|Pex5l|Rtn4|Ipo5|Optn|Gpsm2|Fam53b|Mapre3|Xpo1|Vps37c|Ank2|Pcare|Crocc|Osbpl8|Tnpo1,-2.5,hits
GO Biological Processes,19,GO:0060219,camera-type eye photoreceptor cell differentiation,19_GO:0032502 developmental process,-5,9.2,7.2,21160,49,330,7,2.1,0.79,14685|15165|18185|19126|19881|20848|225998,Gnat1|Hcn1|Nrl|Prom1|Rom1|Stat3|Rorb,-2.5,hits
GO Biological Processes,19,GO:0009134,nucleoside diphosphate catabolic process,19_GO:0009987 cellular process,-5,7.5,6.8,21160,68,330,8,2.4,0.85,15275|15277|17425|18640|18641|21991|23959|56421,Hk1|Hk2|Foxk1|Pfkfb2|Pfkl|Tpi1|Nt5e|Pfkp,-2.4,hits
KEGG Pathway,24,mmu04725,Cholinergic synapse - Mus musculus (house mouse),,-5,5.7,6.3,21160,113,330,10,3,0.94,14281|14688|14693|14695|14699|18708|18798|54652|108058|211480,Fos|Gnb1|Gnb2|Gnb3|Gngt1|Pik3r1|Plcb4|Cacna1f|Camk2d|Kcnj14,-2.4,hits
