_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-3.2,TRR01347,M1,1,0,TRRUST,34,Regulated by: Sp1,,-3.2,2.6,4,21160,280,431,15,3.5,0.88,11803|11816|11820|12857|17289|17295|17319|18008|19224|20525|21859|22041|22070|22339|96979,Aplp1|Apoe|App|Cox4i1|Mertk|Met|Mif|Nes|Ptgs1|Slc2a1|Timp3|Trf|Tpt1|Vegfa|Ptges2,-0.68,0
1,-3,TRR00997,M1,1,0,TRRUST,34,Regulated by: Nrf1,,-3,8.5,5.2,21160,23,431,4,0.93,0.46,11931|12857|16423|17748,Atp1b1|Cox4i1|Cd47|Mt1,-0.61,0
1,-2.9,TRR00951,M1,1,0,TRRUST,34,Regulated by: Nfkb1,,-2.9,2.8,3.8,21160,210,431,12,2.8,0.79,11816|14319|14630|15205|19125|19211|19224|20525|20682|21859|22339|30948,Apoe|Fth1|Gclm|Hes1|Prodh|Pten|Ptgs1|Slc2a1|Sox9|Timp3|Vegfa|Bin1,-0.61,0
1,-2.6,TRR00179,M1,1,0,TRRUST,34,Regulated by: Ctnnb1,,-2.6,4.3,4,21160,68,431,6,1.4,0.56,14609|14645|17295|18424|20525|22339,Gja1|Glul|Met|Otx2|Slc2a1|Vegfa,-0.48,0
1,-2.6,TRR00817,M1,1,0,TRRUST,34,Regulated by: Mitf,,-2.6,6.8,4.5,21160,29,431,4,0.93,0.46,13190|17295|17364|20431,Dct|Met|Trpm1|Pmel,-0.48,0
1,-2.5,TRR01494,M1,1,0,TRRUST,34,Regulated by: Trp53,,-2.5,2.9,3.5,21160,172,431,10,2.3,0.73,15902|17295|17748|18538|19164|19211|19215|22070|29813|319520,Id2|Met|Mt1|Pcna|Psen1|Pten|Ptgds|Tpt1|Zfp385a|Dusp4,-0.48,0
1,-2.5,TRR00238,M1,1,0,TRRUST,34,Regulated by: E2f1,,-2.5,4.9,4,21160,50,431,5,1.2,0.52,17289|18538|22070|22339|30948,Mertk|Pcna|Tpt1|Vegfa|Bin1,-0.45,0
1,-2.3,TRR00323,M1,1,0,TRRUST,34,Regulated by: Esr2,,-2.3,8.2,4.4,21160,18,431,3,0.7,0.4,19215|19224|22339,Ptgds|Ptgs1|Vegfa,-0.29,0
1,-2.1,TRR01314,M1,1,0,TRRUST,34,Regulated by: Smad2,,-2.1,7.4,4.1,21160,20,431,3,0.7,0.4,15205|23876|56208,Hes1|Fbln5|Becn1,-0.2,0
1,-2,TRR00553,M1,1,0,TRRUST,34,Regulated by: Hif1a,,-2,6.7,3.9,21160,22,431,3,0.7,0.4,17242|17748|22339,Mdk|Mt1|Vegfa,-0.16,0
1,-2,TRR01076,M1,1,0,TRRUST,34,Regulated by: Pax3,,-2,6.7,3.9,21160,22,431,3,0.7,0.4,13190|15205|17295,Dct|Hes1|Met,-0.16,0
