_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-25,PGB:00269,M1,1,0,PaGenBase,36,Cell-specific: retinal pigment epithelium,,-25,6.4,15,21160,386,431,50,12,1.5,11932|12759|12828|12829|12837|14183|14607|14725|14734|18424|18431|19062|19215|19682|19771|19879|20132|20347|20377|20745|21859|22041|27276|28250|29813|29873|50766|54612|55987|57764|57811|58909|60613|66042|74199|74413|79235|81907|83603|98711|99887|208634|209195|226255|235611|245049|277468|329872|329941|100040591,Atp1b2|Clu|Col4a3|Col4a4|Col8a1|Fgfr2|Gip|Lrp2|Gpc3|Otx2|Oca2|Inpp5k|Ptgds|Rdh5|Rlbp1|Slc22a8|Rrh|Sema3b|Sfrp1|Spock1|Timp3|Trf|Plekhb1|Slco1a4|Zfp385a|Cspg5|Crim1|Sfrp5|Cpxm2|Ntn4|Rgr|Fam13a|Kcnq4|Sostdc1|Vit|Tc2n|Lrat|Tmem108|Elovl4|Rdh10|Tlcd4|Tspan10|Clic6|Atrnl1|Plxnb1|Myrip|Slc39a12|Frem1|Col8a2|Kcnj13,-22,0
1,-3.5,PGB:00221,M1,1,0,PaGenBase,36,Tissue-specific: eye,,-3.5,2.4,4.1,21160,382,431,19,4.4,0.99,13039|13190|14368|17364|18424|19682|19739|19771|20132|20431|20745|57811|74199|83603|98396|109910|208634|329941|100040591,Ctsl|Dct|Fzd6|Trpm1|Otx2|Rdh5|Rgs9|Rlbp1|Rrh|Pmel|Spock1|Rgr|Vit|Elovl4|Slc41a1|Zfp91|Tspan10|Col8a2|Kcnj13,-0.79,0
