Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,GO Biological Processes,19,GO:1903828,negative regulation of protein localization,19_GO:0051179 localization,-2.9,5,4.4,21160,255,99,6,6.1,2.4,15357|18641|66753|218461|226418|226849,Hmgcr|Pfkl|Erlec1|Pde8b|Yod1|Ppp2r5a,-1.2
hits,GO Biological Processes,19,GO:0046883,regulation of hormone secretion,19_GO:0051179 localization,-2.9,4.3,4.2,21160,350,99,7,7.1,2.6,12894|13447|15357|18640|18641|71764|218461,Cpt1a|Doc2b|Hmgcr|Pfkfb2|Pfkl|C2cd2l|Pde8b,-1.2
hits,GO Biological Processes,19,GO:2000060,positive regulation of ubiquitin-dependent protein catabolic process,19_GO:0048518 positive regulation of biological process,-2.9,8.5,5.2,21160,101,99,4,4,2,12759|26420|64383|211770,Clu|Mapk9|Sirt2|Trib1,-1.2
hits,Reactome Gene Sets,6,R-MMU-383280,Nuclear Receptor transcription pathway,,-2.9,14,6,21160,46,99,3,3,1.7,15370|19013|225998,Nr4a1|Ppara|Rorb,-1.2
hits,GO Biological Processes,19,GO:0009746,response to hexose,19_GO:0050896 response to stimulus,-2.9,6.2,4.7,21160,173,99,5,5.1,2.2,18640|18641|19013|21872|22249,Pfkfb2|Pfkl|Ppara|Tjp1|Unc13b,-1.1
hits,KEGG Pathway,24,mmu04141,Protein processing in endoplasmic reticulum - Mus musculus (house mouse),,-2.9,6.1,4.7,21160,175,99,5,5.1,2.2,13002|26400|26420|66753|226418,Dnajc5|Map2k7|Mapk9|Erlec1|Yod1,-1.1
hits,GO Biological Processes,19,GO:0045834,positive regulation of lipid metabolic process,19_GO:0048518 positive regulation of biological process,-2.9,6.1,4.7,21160,175,99,5,5.1,2.2,12894|19013|19017|26420|64383,Cpt1a|Ppara|Ppargc1a|Mapk9|Sirt2,-1.1
hits,GO Biological Processes,19,GO:0001654,eye development,19_GO:0032502 developmental process,-2.8,3.7,4,21160,460,99,8,8.1,2.7,12951|14688|15312|17187|18587|210992|225998|231051,Crx|Gnb1|Hmgn1|Max|Pde6b|Lpcat1|Rorb|Kmt2c,-1.1
hits,GO Biological Processes,19,GO:0007623,circadian rhythm,19_GO:0048511 rhythmic process,-2.8,6,4.6,21160,177,99,5,5.1,2.2,17978|19013|19017|53610|268903,Ncoa2|Ppara|Ppargc1a|Nono|Nrip1,-1.1
hits,KEGG Pathway,24,mmu00565,Ether lipid metabolism - Mus musculus (house mouse),,-2.8,13,5.9,21160,48,99,3,3,1.7,27226|50784|210992,Pla2g7|Plpp2|Lpcat1,-1.1
hits,GO Biological Processes,19,GO:0150063,visual system development,19_GO:0032502 developmental process,-2.8,3.7,4,21160,463,99,8,8.1,2.7,12951|14688|15312|17187|18587|210992|225998|231051,Crx|Gnb1|Hmgn1|Max|Pde6b|Lpcat1|Rorb|Kmt2c,-1.1
hits,GO Biological Processes,19,GO:0006753,nucleoside phosphate metabolic process,19_GO:0009987 cellular process,-2.8,3.3,3.9,21160,575,99,9,9.1,2.9,11639|11674|14751|15357|18640|18641|21991|68646|218461,Ak4|Aldoa|Gpi1|Hmgcr|Pfkfb2|Pfkl|Tpi1|Nadk2|Pde8b,-1.1
hits,GO Biological Processes,19,GO:0030522,intracellular receptor signaling pathway,19_GO:0050896 response to stimulus,-2.8,6,4.6,21160,178,99,5,5.1,2.2,15370|17978|19013|64383|225998,Nr4a1|Ncoa2|Ppara|Sirt2|Rorb,-1.1
hits,GO Biological Processes,19,GO:0061462,protein localization to lysosome,19_GO:0051179 localization,-2.8,13,5.8,21160,49,99,3,3,1.7,12759|68576|68585,Clu|Lamtor5|Rtn4,-1.1
hits,GO Biological Processes,19,GO:0034284,response to monosaccharide,19_GO:0050896 response to stimulus,-2.8,5.9,4.5,21160,181,99,5,5.1,2.2,18640|18641|19013|21872|22249,Pfkfb2|Pfkl|Ppara|Tjp1|Unc13b,-1.1
hits,GO Biological Processes,19,GO:0048880,sensory system development,19_GO:0032502 developmental process,-2.8,3.6,4,21160,470,99,8,8.1,2.7,12951|14688|15312|17187|18587|210992|225998|231051,Crx|Gnb1|Hmgn1|Max|Pde6b|Lpcat1|Rorb|Kmt2c,-1.1
hits,Reactome Gene Sets,6,R-MMU-3858494,Beta-catenin independent WNT signaling,,-2.7,7.7,4.9,21160,111,99,4,4,2,14688|14697|18099|18587,Gnb1|Gnb5|Nlk|Pde6b,-1
hits,Reactome Gene Sets,6,R-MMU-2262752,Cellular responses to stress,,-2.7,3.6,3.9,21160,480,99,8,8.1,2.7,17978|19013|22143|26400|26420|58233|68576|108058,Ncoa2|Ppara|Tuba1b|Map2k7|Mapk9|Dnaja4|Lamtor5|Camk2d,-1
hits,GO Biological Processes,19,GO:0046928,regulation of neurotransmitter secretion,19_GO:0051179 localization,-2.7,7.6,4.8,21160,112,99,4,4,2,22249|78808|116838|235415,Unc13b|Stxbp5|Rims2|Cplx3,-1
hits,GO Biological Processes,19,GO:1901800,positive regulation of proteasomal protein catabolic process,19_GO:0048518 positive regulation of biological process,-2.7,7.6,4.8,21160,112,99,4,4,2,12759|26420|64383|211770,Clu|Mapk9|Sirt2|Trib1,-1
hits,GO Biological Processes,19,GO:1903170,negative regulation of calcium ion transmembrane transport,19_GO:0051179 localization,-2.7,12,5.5,21160,53,99,3,3,1.7,14697|19057|110213,Gnb5|Ppp3cc|Tmbim6,-1
hits,GO Biological Processes,19,GO:0055086,nucleobase-containing small molecule metabolic process,19_GO:0009987 cellular process,-2.7,3.2,3.8,21160,600,99,9,9.1,2.9,11639|11674|14751|15357|18640|18641|21991|68646|218461,Ak4|Aldoa|Gpi1|Hmgcr|Pfkfb2|Pfkl|Tpi1|Nadk2|Pde8b,-0.99
hits,Reactome Gene Sets,6,R-MMU-114608,Platelet degranulation,,-2.7,7.4,4.7,21160,115,99,4,4,2,11674|12759|27999|67072,Aldoa|Clu|Fam3c|Cdc37l1,-0.98
hits,KEGG Pathway,24,mmu00600,Sphingolipid metabolism - Mus musculus (house mouse),,-2.7,12,5.4,21160,55,99,3,3,1.7,50784|67260|70750,Plpp2|Cers4|Kdsr,-0.96
hits,KEGG Pathway,24,mmu04066,HIF-1 signaling pathway - Mus musculus (house mouse),,-2.7,7.3,4.7,21160,117,99,4,4,2,11674|18641|108058|228026,Aldoa|Pfkl|Camk2d|Pdk1,-0.95
hits,Reactome Gene Sets,6,R-MMU-112315,Transmission across Chemical Synapses,,-2.6,5.5,4.3,21160,196,99,5,5.1,2.2,13002|14688|14697|22249|108058,Dnajc5|Gnb1|Gnb5|Unc13b|Camk2d,-0.94
hits,Reactome Gene Sets,6,R-MMU-76005,Response to elevated platelet cytosolic Ca2+,,-2.6,7.2,4.6,21160,119,99,4,4,2,11674|12759|27999|67072,Aldoa|Clu|Fam3c|Cdc37l1,-0.93
hits,GO Biological Processes,19,GO:0046889,positive regulation of lipid biosynthetic process,19_GO:0048518 positive regulation of biological process,-2.6,7.1,4.6,21160,120,99,4,4,2,19013|19017|26420|64383,Ppara|Ppargc1a|Mapk9|Sirt2,-0.92
hits,GO Biological Processes,19,GO:0045807,positive regulation of endocytosis,19_GO:0051179 localization,-2.6,5.4,4.2,21160,199,99,5,5.1,2.2,12759|19057|20616|108797|227541,Clu|Ppp3cc|Snap91|Mex3b|Camk1d,-0.92
hits,GO Biological Processes,19,GO:0035966,response to topologically incorrect protein,19_GO:0050896 response to stimulus,-2.6,7.1,4.6,21160,121,99,4,4,2,12759|66753|110213|226418,Clu|Erlec1|Tmbim6|Yod1,-0.91
hits,GO Biological Processes,19,GO:0048660,regulation of smooth muscle cell proliferation,19_GO:0050789 regulation of biological process,-2.6,5.3,4.2,21160,201,99,5,5.1,2.2,14375|15357|19017|108058|211770,Xrcc6|Hmgcr|Ppargc1a|Camk2d|Trib1,-0.9
hits,KEGG Pathway,24,mmu01200,Carbon metabolism - Mus musculus (house mouse),,-2.6,7,4.6,21160,122,99,4,4,2,11674|14751|18641|21991,Aldoa|Gpi1|Pfkl|Tpi1,-0.9
hits,KEGG Pathway,24,mmu04660,T cell receptor signaling pathway - Mus musculus (house mouse),,-2.6,7,4.6,21160,122,99,4,4,2,19057|26400|26420|226849,Ppp3cc|Map2k7|Mapk9|Ppp2r5a,-0.9
hits,GO Biological Processes,19,GO:0016051,carbohydrate biosynthetic process,19_GO:0009987 cellular process,-2.6,7,4.5,21160,123,99,4,4,2,14751|19013|19017|21991,Gpi1|Ppara|Ppargc1a|Tpi1,-0.89
hits,GO Biological Processes,19,GO:0062013,positive regulation of small molecule metabolic process,19_GO:0048518 positive regulation of biological process,-2.6,5.2,4.2,21160,204,99,5,5.1,2.2,12894|19013|19017|26420|64383,Cpt1a|Ppara|Ppargc1a|Mapk9|Sirt2,-0.88
hits,GO Biological Processes,19,GO:1903532,positive regulation of secretion by cell,19_GO:0051179 localization,-2.6,3.7,3.8,21160,400,99,7,7.1,2.6,13447|18640|22249|26420|68585|71764|78808,Doc2b|Pfkfb2|Unc13b|Mapk9|Rtn4|C2cd2l|Stxbp5,-0.88
hits,KEGG Pathway,24,mmu04010,MAPK signaling pathway - Mus musculus (house mouse),,-2.5,4.3,3.9,21160,299,99,6,6.1,2.4,15370|17187|18099|19057|26400|26420,Nr4a1|Max|Nlk|Ppp3cc|Map2k7|Mapk9,-0.87
hits,GO Biological Processes,19,GO:0045732,positive regulation of protein catabolic process,19_GO:0048518 positive regulation of biological process,-2.5,5.2,4.1,21160,206,99,5,5.1,2.2,12759|26420|64383|210992|211770,Clu|Mapk9|Sirt2|Lpcat1|Trib1,-0.87
hits,GO Biological Processes,19,GO:0009743,response to carbohydrate,19_GO:0050896 response to stimulus,-2.5,5.2,4.1,21160,206,99,5,5.1,2.2,18640|18641|19013|21872|22249,Pfkfb2|Pfkl|Ppara|Tjp1|Unc13b,-0.87
hits,GO Biological Processes,19,GO:0062012,regulation of small molecule metabolic process,19_GO:0050789 regulation of biological process,-2.5,3.7,3.7,21160,406,99,7,7.1,2.6,12894|17978|19013|19017|26420|64383|228026,Cpt1a|Ncoa2|Ppara|Ppargc1a|Mapk9|Sirt2|Pdk1,-0.85
hits,KEGG Pathway,24,mmu04926,Relaxin signaling pathway - Mus musculus (house mouse),,-2.5,6.6,4.4,21160,130,99,4,4,2,14688|14697|26400|26420,Gnb1|Gnb5|Map2k7|Mapk9,-0.81
hits,KEGG Pathway,24,mmu05016,Huntington disease - Mus musculus (house mouse),,-2.5,4.2,3.8,21160,308,99,6,6.1,2.4,19017|22143|22154|26400|26420|73916,Ppargc1a|Tuba1b|Tubb5|Map2k7|Mapk9|Ift57,-0.81
hits,GO Biological Processes,19,GO:0000165,MAPK cascade,19_GO:0050896 response to stimulus,-2.5,5,4,21160,213,99,5,5.1,2.2,18099|26400|26420|27999|211770,Nlk|Map2k7|Mapk9|Fam3c|Trib1,-0.81
hits,GO Biological Processes,19,GO:0044092,negative regulation of molecular function,19_GO:0065007 biological regulation,-2.5,2.8,3.4,21160,773,99,10,10,3,14697|15357|15370|19013|68576|108058|110213|170822|211770|226849,Gnb5|Hmgcr|Nr4a1|Ppara|Lamtor5|Camk2d|Tmbim6|Usp33|Trib1|Ppp2r5a,-0.81
hits,Reactome Gene Sets,6,R-MMU-195721,Signaling by WNT,,-2.5,5,4,21160,214,99,5,5.1,2.2,14688|14697|18099|18587|226849,Gnb1|Gnb5|Nlk|Pde6b|Ppp2r5a,-0.8
hits,GO Biological Processes,19,GO:2000300,regulation of synaptic vesicle exocytosis,19_GO:0051179 localization,-2.5,10,5,21160,64,99,3,3,1.7,22249|78808|116838,Unc13b|Stxbp5|Rims2,-0.8
hits,GO Biological Processes,19,GO:0032434,regulation of proteasomal ubiquitin-dependent protein catabolic process,19_GO:0050789 regulation of biological process,-2.5,6.5,4.3,21160,132,99,4,4,2,12759|26420|64383|211770,Clu|Mapk9|Sirt2|Trib1,-0.8
hits,GO Biological Processes,19,GO:0034763,negative regulation of transmembrane transport,19_GO:0051179 localization,-2.5,6.5,4.3,21160,132,99,4,4,2,14697|19057|108058|110213,Gnb5|Ppp3cc|Camk2d|Tmbim6,-0.8
hits,GO Biological Processes,19,GO:1903052,positive regulation of proteolysis involved in protein catabolic process,19_GO:0048518 positive regulation of biological process,-2.5,6.5,4.3,21160,132,99,4,4,2,12759|26420|64383|211770,Clu|Mapk9|Sirt2|Trib1,-0.8
