Network,Annotation
hits,R-MMU-3371497|HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand|-10.4;R-MMU-8953897|Cellular responses to stimuli|-9.1;R-MMU-3371568|Attenuation phase|-7.6
hits_MCODE_ALL,R-MMU-3371497|HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand|-13.2;R-MMU-3371568|Attenuation phase|-12.4;R-MMU-3371571|HSF1-dependent transactivation|-11.4
hits_SUB1_MCODE_1,R-MMU-3371497|HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand|-13.2;R-MMU-3371568|Attenuation phase|-12.4;R-MMU-3371571|HSF1-dependent transactivation|-11.4
