Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,KEGG Pathway,24,mmu05167,Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse),,-3.6,8.8,5.9,21160,223,54,5,9.3,3.9,12315|14173|14695|16451|18709,Calm3|Fgf2|Gnb3|Jak1|Pik3r2,-1.3
hits,Reactome Gene Sets,6,R-MMU-195258,RHO GTPase Effectors,,-3.5,8.4,5.7,21160,234,54,5,9.3,3.9,12315|18221|20807|76884|227613,Calm3|Nudc|Srf|Cyfip2|Tubb4b,-1.2
hits,KEGG Pathway,24,mmu04151,PI3K-Akt signaling pathway - Mus musculus (house mouse),,-3.5,6.4,5.3,21160,367,54,6,11,4.3,11911|14173|14695|15516|16451|18709,Atf4|Fgf2|Gnb3|Hsp90ab1|Jak1|Pik3r2,-1.2
hits,GO Biological Processes,19,GO:0034605,cellular response to heat,19_GO:0050896 response to stimulus,-3.4,22,7.7,21160,54,54,3,5.6,3.1,15511|15516|81489,Hspa1b|Hsp90ab1|Dnajb1,-1.2
hits,GO Biological Processes,19,GO:0032434,regulation of proteasomal ubiquitin-dependent protein catabolic process,19_GO:0050789 regulation of biological process,-3.4,12,6.3,21160,132,54,4,7.4,3.6,15511|15516|70369|193740,Hspa1b|Hsp90ab1|Bag5|Hspa1a,-1.2
hits,GO Biological Processes,19,GO:0006351,DNA-templated transcription,19_GO:0009987 cellular process,-3.4,5.1,4.8,21160,542,54,7,13,4.6,11911|14173|17349|18148|20022|20807|21427,Atf4|Fgf2|Mlf1|Npm1|Polr2j|Srf|Vps72,-1.1
hits,KEGG Pathway,24,mmu05200,Pathways in cancer - Mus musculus (house mouse),,-3.3,5,4.8,21160,548,54,7,13,4.6,12315|14173|14695|15516|16451|18709|50868,Calm3|Fgf2|Gnb3|Hsp90ab1|Jak1|Pik3r2|Keap1,-1.1
hits,KEGG Pathway,24,mmu05163,Human cytomegalovirus infection - Mus musculus (house mouse),,-3.3,7.7,5.4,21160,254,54,5,9.3,3.9,11911|12315|14695|16451|18709,Atf4|Calm3|Gnb3|Jak1|Pik3r2,-1.1
hits,KEGG Pathway,24,mmu04213,Longevity regulating pathway - multiple species - Mus musculus (house mouse),,-3.3,19,7.2,21160,61,54,3,5.6,3.1,15511|18709|193740,Hspa1b|Pik3r2|Hspa1a,-1.1
hits,Reactome Gene Sets,6,R-MMU-72203,Processing of Capped Intron-Containing Pre-mRNA,,-3.3,7.6,5.4,21160,259,54,5,9.3,3.9,20638|22608|66070|66585|76938,Snrpb|Ybx1|Cwc15|Snrnp40|Rbm17,-1.1
hits,KEGG Pathway,24,mmu05162,Measles - Mus musculus (house mouse),,-3.3,11,6,21160,145,54,4,7.4,3.6,15511|16451|18709|193740,Hspa1b|Jak1|Pik3r2|Hspa1a,-1.1
hits,KEGG Pathway,24,mmu05418,Fluid shear stress and atherosclerosis - Mus musculus (house mouse),,-3.3,11,5.9,21160,148,54,4,7.4,3.6,12315|15516|18709|50868,Calm3|Hsp90ab1|Pik3r2|Keap1,-1
hits,Reactome Gene Sets,6,R-MMU-8953854,Metabolism of RNA,,-3.2,4.8,4.7,21160,568,54,7,13,4.6,15511|20638|22608|66070|66585|76938|193740,Hspa1b|Snrpb|Ybx1|Cwc15|Snrnp40|Rbm17|Hspa1a,-1
hits,GO Biological Processes,19,GO:1902903,regulation of supramolecular fiber organization,19_GO:0050789 regulation of biological process,-3.2,5.8,4.9,21160,408,54,6,11,4.3,14976|15511|18637|18709|76884|193740,Pfdn6|Hspa1b|Pfdn2|Pik3r2|Cyfip2|Hspa1a,-1
hits,GO Biological Processes,19,GO:0032535,regulation of cellular component size,19_GO:0065007 biological regulation,-3.2,5.7,4.9,21160,409,54,6,11,4.3,14695|15516|18148|18709|20807|76884,Gnb3|Hsp90ab1|Npm1|Pik3r2|Srf|Cyfip2,-1
hits,Reactome Gene Sets,6,R-MMU-8939211,ESR-mediated signaling,,-3.2,10,5.8,21160,153,54,4,7.4,3.6,12315|14695|15516|18709,Calm3|Gnb3|Hsp90ab1|Pik3r2,-1
