Gene,TotalEvidenceCounts,EvidenceHit:hits,EvidenceGO:hits,EvidencePPI:hits
15519,3.0,1,1,1
68024,3.0,1,1,1
15081,3.0,1,1,1
20602,3.0,1,1,1
19888,2.0,1,1,0
22110,2.0,1,0,1
22290,2.0,1,0,1
69159,2.0,1,0,1
270627,2.0,1,0,1
54208,2.0,1,0,1
109331,2.0,1,0,1
216825,2.0,1,0,1
22370,2.0,1,0,1
66043,2.0,1,0,1
18185,2.0,1,1,0
78656,2.0,1,0,1
75953,2.0,1,1,0
30948,2.0,1,0,1
70382,2.0,1,0,1
207615,2.0,1,0,1
26908,2.0,1,0,1
234023,2.0,1,0,1
50926,2.0,1,0,1
75956,2.0,1,0,1
114230,2.0,1,0,1
11957,2.0,1,0,1
17876,2.0,1,0,1
13990,2.0,1,0,1
16784,1.0,1,0,0
20650,1.0,1,0,0
56018,1.0,1,0,0
77864,1.0,1,0,0
227723,1.0,1,0,0
239038,1.0,1,0,0
66978,1.0,1,0,0
67526,1.0,1,0,0
53890,1.0,1,0,0
214133,1.0,1,0,0
56551,1.0,1,0,0
58235,1.0,1,0,0
16601,1.0,1,0,0
52132,1.0,1,0,0
360216,1.0,1,0,0
53619,1.0,1,0,0
54725,1.0,1,0,0
15277,1.0,1,0,0
20908,1.0,1,0,0
71722,1.0,1,0,0
69487,1.0,1,0,0
94090,1.0,1,0,0
108902,1.0,1,0,0
75871,1.0,1,0,0
17527,1.0,1,0,0
19346,1.0,1,0,0
18739,1.0,1,0,0
227622,1.0,1,0,0
66826,1.0,1,0,0
80904,1.0,1,0,0
320506,1.0,1,0,0
93722,1.0,1,0,0
68187,1.0,1,0,0
52357,1.0,1,0,0
84585,1.0,1,0,0
78266,1.0,1,0,0
13808,1.0,1,0,0
68977,1.0,1,0,0
54367,1.0,1,0,0
243923,1.0,1,0,0
67180,1.0,1,0,0
27215,1.0,1,0,0
621976,1.0,1,0,0
19155,1.0,1,0,0
70561,1.0,1,0,0
16565,1.0,1,0,0
319370,1.0,1,0,0
67154,1.0,1,0,0
24017,1.0,1,0,0
57751,1.0,1,0,0
15460,1.0,1,0,0
78784,1.0,1,0,0
242584,1.0,1,0,0
321022,1.0,1,0,0
