Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,GO Biological Processes,19,GO:0005975,carbohydrate metabolic process,19_GO:0009987 cellular process,-2.7,5.5,4.4,21160,434,44,5,11,4.8,11676|14751|17254|17449|21351,Aldoc|Gpi1|Slc3a2|Mdh1|Taldo1,-0.43
hits,GO Biological Processes,19,GO:0035966,response to topologically incorrect protein,19_GO:0050896 response to stimulus,-2.7,12,5.5,21160,121,44,3,6.8,3.8,21828|27362|100037258,Thbs4|Dnajb9|Dnajc3,-0.43
hits,GO Biological Processes,19,GO:0006119,oxidative phosphorylation,19_GO:0009987 cellular process,-2.7,12,5.5,21160,122,44,3,6.8,3.8,12869|66694|66945,Cox8b|Uqcrfs1|Sdha,-0.42
hits,GO Biological Processes,19,GO:0016051,carbohydrate biosynthetic process,19_GO:0009987 cellular process,-2.7,12,5.4,21160,123,44,3,6.8,3.8,11676|14751|17449,Aldoc|Gpi1|Mdh1,-0.41
hits,KEGG Pathway,24,mmu05012,Parkinson disease - Mus musculus (house mouse),,-2.6,7,4.6,21160,274,44,4,9.1,4.3,12869|22190|66694|66945,Cox8b|Ubc|Uqcrfs1|Sdha,-0.35
hits,Reactome Gene Sets,6,R-MMU-8856828,Clathrin-mediated endocytosis,,-2.6,11,5.2,21160,131,44,3,6.8,3.8,14725|22190|74325,Lrp2|Ubc|Cltb,-0.35
hits,GO Biological Processes,19,GO:0001676,long-chain fatty acid metabolic process,19_GO:0009987 cellular process,-2.6,11,5.2,21160,131,44,3,6.8,3.8,11363|76267|216739,Acadl|Fads1|Acsl6,-0.35
hits,GO Biological Processes,19,GO:1905039,carboxylic acid transmembrane transport,19_GO:0051179 localization,-2.6,11,5.2,21160,132,44,3,6.8,3.8,14725|17254|20539,Lrp2|Slc3a2|Slc7a5,-0.34
hits,KEGG Pathway,24,mmu04068,FoxO signaling pathway - Mus musculus (house mouse),,-2.6,11,5.2,21160,133,44,3,6.8,3.8,12359|20393|93739,Cat|Sgk1|Gabarapl2,-0.34
hits,GO Biological Processes,19,GO:0044283,small molecule biosynthetic process,19_GO:0009987 cellular process,-2.6,5.2,4.1,21160,466,44,5,11,4.8,11676|14751|17449|76267|106529,Aldoc|Gpi1|Mdh1|Fads1|Tecr,-0.34
hits,GO Biological Processes,19,GO:1903825,organic acid transmembrane transport,19_GO:0051179 localization,-2.5,11,5.1,21160,136,44,3,6.8,3.8,14725|17254|20539,Lrp2|Slc3a2|Slc7a5,-0.32
hits,GO Biological Processes,19,GO:0050767,regulation of neurogenesis,19_GO:0032502 developmental process,-2.5,5.1,4.1,21160,473,44,5,11,4.8,12978|14725|20393|20539|66354,Csf1r|Lrp2|Sgk1|Slc7a5|Snw1,-0.32
hits,KEGG Pathway,24,mmu05022,Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse),,-2.5,5,4,21160,481,44,5,11,4.8,12359|12869|22190|66694|66945,Cat|Cox8b|Ubc|Uqcrfs1|Sdha,-0.29
hits,KEGG Pathway,24,mmu00190,Oxidative phosphorylation - Mus musculus (house mouse),,-2.5,10,5,21160,141,44,3,6.8,3.8,12869|66694|66945,Cox8b|Uqcrfs1|Sdha,-0.29
hits,GO Biological Processes,19,GO:0002688,regulation of leukocyte chemotaxis,19_GO:0040011 locomotion,-2.5,10,5,21160,143,44,3,6.8,3.8,12978|21828|22340,Csf1r|Thbs4|Vegfb,-0.28
hits,GO Biological Processes,19,GO:0014013,regulation of gliogenesis,19_GO:0032502 developmental process,-2.5,10,5,21160,144,44,3,6.8,3.8,12978|14725|20539,Csf1r|Lrp2|Slc7a5,-0.27
hits,GO Biological Processes,19,GO:0046942,carboxylic acid transport,19_GO:0051179 localization,-2.5,6.4,4.3,21160,300,44,4,9.1,4.3,14725|17254|20539|216739,Lrp2|Slc3a2|Slc7a5|Acsl6,-0.26
hits,GO Biological Processes,19,GO:0006006,glucose metabolic process,19_GO:0009987 cellular process,-2.5,9.9,4.9,21160,146,44,3,6.8,3.8,11676|14751|17449,Aldoc|Gpi1|Mdh1,-0.26
hits,GO Biological Processes,19,GO:0015849,organic acid transport,19_GO:0051179 localization,-2.5,6.4,4.3,21160,302,44,4,9.1,4.3,14725|17254|20539|216739,Lrp2|Slc3a2|Slc7a5|Acsl6,-0.26
hits,GO Biological Processes,19,GO:0006897,endocytosis,19_GO:0051179 localization,-2.4,4.8,3.9,21160,500,44,5,11,4.8,11803|12725|14725|54409|74325,Aplp1|Clcn3|Lrp2|Ramp2|Cltb,-0.24
hits,KEGG Pathway,24,mmu05016,Huntington disease - Mus musculus (house mouse),,-2.4,6.2,4.2,21160,308,44,4,9.1,4.3,12869|66694|66945|74325,Cox8b|Uqcrfs1|Sdha|Cltb,-0.24
hits,Reactome Gene Sets,6,R-MMU-6798695,Neutrophil degranulation,,-2.4,4.8,3.9,21160,506,44,5,11,4.8,11676|12359|13629|14751|100037258,Aldoc|Cat|Eef2|Gpi1|Dnajc3,-0.23
hits,GO Biological Processes,19,GO:0006066,alcohol metabolic process,19_GO:0009987 cellular process,-2.4,6,4.1,21160,318,44,4,9.1,4.3,11669|12359|14725|67834,Aldh2|Cat|Lrp2|Idh3a,-0.19
hits,KEGG Pathway,24,mmu04150,mTOR signaling pathway - Mus musculus (house mouse),,-2.4,9.1,4.7,21160,158,44,3,6.8,3.8,17254|20393|20539,Slc3a2|Sgk1|Slc7a5,-0.19
hits,GO Biological Processes,19,GO:0098739,import across plasma membrane,19_GO:0051179 localization,-2.3,9,4.6,21160,160,44,3,6.8,3.8,14725|17254|20539,Lrp2|Slc3a2|Slc7a5,-0.18
hits,KEGG Pathway,24,mmu04932,Non-alcoholic fatty liver disease - Mus musculus (house mouse),,-2.3,8.9,4.6,21160,162,44,3,6.8,3.8,12869|66694|66945,Cox8b|Uqcrfs1|Sdha,-0.17
