Cluster,Score,Type,Gene,Symbol,Network
2,5.461538461538462,Clustered,19211,Pten,hits_SUB1
2,5.461538461538462,Clustered,26443,Psma6,hits_SUB1
2,5.461538461538462,Clustered,18263,Odc1,hits_SUB1
2,5.461538461538462,Clustered,57296,Psmd8,hits_SUB1
2,5.461538461538462,Clustered,19181,Psmc2,hits_SUB1
2,5.461538461538462,Clustered,112405,Egln1,hits_SUB1
2,5.461538461538462,Clustered,22190,Ubc,hits_SUB1
2,5.461538461538462,Clustered,19167,Psma3,hits_SUB1
2,5.461538461538462,Clustered,67089,Psmc6,hits_SUB1
2,5.461538461538462,Seed,18245,Oaz1,hits_SUB1
2,5.461538461538462,Clustered,26440,Psma1,hits_SUB1
2,5.461538461538462,Clustered,26441,Psma4,hits_SUB1
2,5.461538461538462,Clustered,17463,Psmd7,hits_SUB1
3,2.5,Clustered,67003,Uqcrc2,hits_SUB1
3,2.5,Clustered,12867,Cox7c,hits_SUB1
3,2.5,Clustered,66152,Uqcr10,hits_SUB1
3,2.5,Clustered,22378,Wbp2,hits_SUB1
3,2.5,Clustered,12861,Cox6a1,hits_SUB1
3,2.5,Seed,12858,Cox5a,hits_SUB1
1,1.7857142857142858,Clustered,13629,Eef2,hits_SUB1
1,1.7857142857142858,Clustered,20779,Src,hits_SUB1
1,1.7857142857142858,Clustered,18747,Prkaca,hits_SUB1
1,1.7857142857142858,Seed,26396,Map2k2,hits_SUB1
1,1.7857142857142858,Clustered,19303,Pxn,hits_SUB1
1,1.7857142857142858,Clustered,66070,Cwc15,hits_SUB1
1,1.7857142857142858,Clustered,14679,Gnai3,hits_SUB1
1,1.7857142857142858,Clustered,68275,Rpa1,hits_SUB1
1,1.7857142857142858,Clustered,15078,H3f3a,hits_SUB1
1,1.7857142857142858,Clustered,66055,Sf3b6,hits_SUB1
1,1.7857142857142858,Clustered,54401,Ywhab,hits_SUB1
1,1.7857142857142858,Clustered,22210,Ube2b,hits_SUB1
1,1.7857142857142858,Clustered,319322,Sf3b2,hits_SUB1
1,1.7857142857142858,Clustered,13194,Ddb1,hits_SUB1
4,1.0,Seed,75608,Chmp4b,hits_SUB1
4,1.0,Clustered,93739,Gabarapl2,hits_SUB1
4,1.0,Clustered,57436,Gabarapl1,hits_SUB1
