GroupID,Category,Term,Description,LogP,Log(q-value),Genes,Symbols,InTerm_InList,Cluster
1_Summary,Reactome Gene Sets,R-MMU-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,-7.814590906,-3.572,"15511,15516,20867,69654,81489,193740,227613,12759,243912,70369,11911,12315,16668,18709,14695,50868,54170,66144,20449,80751,18148,53376,70925,76500,260302,67128,22608,22272,54198","Hspa1b,Hsp90ab1,Stip1,Dctn2,Dnajb1,Hspa1a,Tubb4b,Clu,Hspb6,Bag5,Atf4,Calm3,Krt18,Pik3r2,Gnb3,Keap1,Rragc,Atp6v1f,St8sia1,Rnf34,Npm1,Usp2,Cdkn2aip,Ip6k2,Gga3,Ube2g1,Ybx1,Uqcrq,Snx3",29/-,Rp
2_Summary,GO Biological Processes,GO:0006457,protein folding,-5.941276033,-2.175,"12759,14976,15511,15516,18221,18637,81489,193740,243912,76884,18148,23969,53328,54198,70369,74143,216049,18709,211556","Clu,Pfdn6,Hspa1b,Hsp90ab1,Nudc,Pfdn2,Dnajb1,Hspa1a,Hspb6,Cyfip2,Npm1,Pacsin1,Pgrmc1,Snx3,Bag5,Opa1,Zfp365,Pik3r2,Ap1ar",19/-,Rp
1_Summary,Reactome Gene Sets,R-MMU-71291,Metabolism of amino acids and derivatives,-12.84531864,-9.044,"12035,14718,17463,18242,18245,18263,19125,19167,19181,20539,26440,26441,26443,56551,56752,57296,67089,110391,19211,22190,56424,12858,12861,12867,14950,69590,20779,18747,68441,14369,74126,14679,66152,67003,227613,112405,232910,240168,18099,54401,12017,54409,68275,17968,67819,18472,26396,22210,75608,17237,13194,28199,15078,68728,17975,19205,66070,218693,319322,27360,98396,19043","Bcat1,Got1,Psmd7,Oat,Oaz1,Odc1,Prodh,Psma3,Psmc2,Slc7a5,Psma1,Psma4,Psma6,Txn2,Aldh9a1,Psmd8,Psmc6,Qdpr,Pten,Ubc,Stub1,Cox5a,Cox6a1,Cox7c,H13,Gpx8,Src,Prkaca,Rraga,Fzd7,Syvn1,Gnai3,Uqcr10,Uqcrc2,Tubb4b,Egln1,Ap2s1,Rasgrp3,Nlk,Ywhab,Bag1,Ramp2,Rpa1,Ncam2,Derl1,Pafah1b1,Map2k2,Ube2b,Chmp4b,Mgrn1,Ddb1,Dcaf11,H3f3a,Trp53inp2,Ncl,Ptbp1,Cwc15,Paip1,Sf3b2,Add3,Slc41a1,Ppm1b",62/-,RPE
2_Summary,GO Biological Processes,GO:0044282,small molecule catabolic process,-6.257716085,-4.055,"11363,11430,12035,14718,15931,16922,18242,18655,19125,19211,19703,20280,109801,110391,18263,56752","Acadl,Acox1,Bcat1,Got1,Ids,Phyh,Oat,Pgk1,Prodh,Pten,Renbp,Scp2,Glo1,Qdpr,Odc1,Aldh9a1",16/-,RPE
1_Summary,GO Biological Processes,GO:0071363,cellular response to growth factor stimulus,-3.43069312,0,"11977,13660,16337,17755,20662,22413,23991,56392,56484,64602,74747,93759,225028","Atp7a,Ehd1,Insr,Map1b,Sos1,Wnt2,Cib1,Shoc2,Foxo3,Ireb2,Ddit4,Sirt1,Map4k3",13/-,SC_F
2_Summary,GO Biological Processes,GO:1903426,regulation of reactive oxygen species biosynthetic process,-3.390622851,0,"56484,67103,68197,93759,16337,16418","Foxo3,Ptgr1,Ndufc2,Sirt1,Insr,Eif6",6/-,SC_F
1_Summary,GO Biological Processes,GO:0006366,transcription by RNA polymerase II,-7.172824363,-2.929,"11911,12608,13653,14281,14282,16476,16477,16600,18708,22433,30941,50794,53417,56200,68991,80859,12611,70556,16889,22695,107817,665155","Atf4,Cebpb,Egr1,Fos,Fosb,Jun,Junb,Klf4,Pik3r1,Xbp1,Usp21,Klf13,Hif3a,Ddx21,Ssu72,Nfkbiz,Cebpg,Slc25a33,Lipa,Zfp36,Jmjd6,Srp54b",22/-,Muller
2_Summary,KEGG Pathway,mmu04668,TNF signaling pathway,-5.489017718,-1.722,"11911,12608,14281,16476,16477,18035,18708,22329,13018,13653,16600,19173,224105,17748,17750,12330,18186,22695,26377,12830,14282,13655,15936,22433,56320,67603,80859,19283,19252,16008,16889,16891,109270,277854,407790,13850,16646,50794,23942,15214,22355,23805,16010,68031,100604","Atf4,Cebpb,Fos,Jun,Junb,Nfkbia,Pik3r1,Vcam1,Ctcf,Egr1,Klf4,Psmb5,Pak2,Mt1,Mt2,Canx,Nrp1,Zfp36,Dapp1,Col4a5,Fosb,Egr3,Ier2,Xbp1,Dbn1,Dusp6,Nfkbiz,Ptprz1,Dusp1,Igfbp2,Lipa,Lipg,Prr5,Depdc5,Ndufa4l2,Ephx2,Kpna1,Klf13,Mta2,Hey2,Vipr2,Apc2,Igfbp4,Rnf146,Lrrc8c",45/-,Muller
