p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,pct.1_pct.2,pct_method_1
0,6.48627353598652,0.716,0.02,0,c1,Flvcr2,0.696,0.498336
0,3.50234153290791,0.762,0.116,0,c1,Sulf1,0.646,0.492252
0,2.48715904897946,0.86,0.293,0,c1,Cd63,0.567,0.48762
0,4.05043127338669,0.753,0.114,0,c1,Fads3,0.639,0.481167
0,4.96121727568799,0.708,0.03,0,c1,Kcnj13,0.678,0.480024
0,2.6748623519261,0.77,0.149,0,c1,Igfbp5,0.621,0.47817
0,4.96257403721617,0.715,0.053,0,c1,Sema3b,0.662,0.47333
0,5.4277370586966,0.709,0.043,0,c1,Sfrp1,0.666,0.472194
0,3.93225715693734,0.741,0.113,0,c1,Pmel,0.628,0.465348
0,5.77706251238593,0.69,0.017,0,c1,Slco1a4,0.673,0.46437
0,2.59920003096591,0.84,0.29,0,c1,Sgk1,0.55,0.462
0,3.97903631140839,0.72,0.102,0,c1,Nt5dc2,0.618,0.44496
0,7.33585627332535,0.67,0.01,0,c1,Tmem72,0.66,0.4422
0,5.07257717962354,0.687,0.046,0,c1,Slc26a7,0.641,0.440367
0,2.35135751322528,0.992,0.551,0,c1,Psap,0.441,0.437472
0,3.83351362094626,0.702,0.08,0,c1,Fbn1,0.622,0.436644
0,4.62941771246504,0.688,0.06,0,c1,Parm1,0.628,0.432064
0,4.74001296735082,0.69,0.066,0,c1,Tbc1d1,0.624,0.43056
0,2.79401777856333,0.78,0.23,0,c1,Krt18,0.55,0.429
0,5.11226448120717,0.661,0.022,0,c1,Oca2,0.639,0.422379
0,3.47862053139582,0.691,0.081,0,c1,Loxl1,0.61,0.42151
0,7.12203983953207,0.655,0.012,0,c1,Ermn,0.643,0.421165
0,7.67542543867727,0.649,0.009,0,c1,Pon1,0.64,0.41536
0,2.95141633026094,0.707,0.121,0,c1,Ucp2,0.586,0.414302
0,4.00676570138204,0.686,0.085,0,c1,Man1a,0.601,0.412286
0,3.91019579327937,0.675,0.069,0,c1,Rrh,0.606,0.40905
0,2.4690088475036,0.751,0.213,0,c1,Pcolce,0.538,0.404038
0,2.98189838599892,0.722,0.167,0,c1,Basp1,0.555,0.40071
0,6.87450288201405,0.64,0.015,0,c1,Col4a3,0.625,0.4
0,5.45108125061755,0.651,0.037,0,c1,Pon3,0.614,0.399714
0,3.82984366185593,0.681,0.095,0,c1,Smpdl3a,0.586,0.399066
0,4.66945997159121,0.661,0.058,0,c1,Col4a4,0.603,0.398583
0,2.5051698630857,0.807,0.315,0,c1,Mfap3l,0.492,0.397044
0,4.32722905930674,0.668,0.075,0,c1,Osmr,0.593,0.396124
0,2.3670316760891,0.752,0.23,0,c1,Cnn3,0.522,0.392544
0,4.00841940798036,0.681,0.106,0,c1,Ezr,0.575,0.391575
0,3.16654634486344,0.744,0.219,0,c1,Slc4a2,0.525,0.3906
0,2.46730528586419,0.796,0.311,0,c1,Slc6a9,0.485,0.38606
0,4.64358507154478,0.642,0.046,0,c1,Hmgcs2,0.596,0.382632
0,2.46053548998491,0.821,0.355,0,c1,Prxl2a,0.466,0.382586
0,4.28506610253089,0.652,0.066,0,c1,Vit,0.586,0.382072
0,3.1209580289793,0.674,0.112,0,c1,Ctsc,0.562,0.378788
0,2.07426217659851,0.889,0.466,0,c1,Cspg5,0.423,0.376047
0,3.42653817015468,0.673,0.115,0,c1,Gsta4,0.558,0.375534
0,5.69553723776429,0.628,0.031,0,c1,Tshr,0.597,0.374916
0,2.32136040369311,0.812,0.353,0,c1,Npc2,0.459,0.372708
0,2.80754905563967,0.691,0.156,0,c1,Cryab,0.535,0.369685
0,2.31646168561946,0.829,0.388,0,c1,Plxnb2,0.441,0.365589
0,6.55944442490429,0.612,0.016,0,c1,Slc7a10,0.596,0.364752
0,2.76429701551443,0.737,0.25,0,c1,Vasn,0.487,0.358919
0,2.27052005875523,0.833,0.404,0,c1,Rnf13,0.429,0.357357
