"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dct",0.0179536953272179,-0.0870032510224421,1,1,1
"Cbx5",0.0180441170733723,1.31543427009449,0.692,0.419,1
"Osbpl6",0.0182064813891292,-1.48808668383877,0.231,0.581,1
"Srek1",0.0182483407476683,1.30216503141219,0.692,0.355,1
"Kmt2c",0.0186244998211257,1.32526203478673,0.615,0.323,1
"Tmem259",0.0187314302796842,1.02325006643784,0.692,0.484,1
"Ice1",0.0189505303391163,1.37954609923388,0.615,0.29,1
"Ccndbp1",0.0190639747911209,1.91096358857046,0.538,0.258,1
"Tor1aip1",0.0194224147150221,1.16239342755227,0.769,0.452,1
"Ift43",0.0195930358053628,1.82566892804817,0.538,0.226,1
"Homer3",0.0198944405835941,1.83614589070986,0.538,0.194,1
"Pigm",0.0204943974430735,1.46696674510848,0.615,0.29,1
"Snx27",0.0204943974430735,1.18872024909169,0.615,0.29,1
"Man2b2",0.0208714646704607,-1.24108917151116,0.308,0.645,1
"Sars",0.0211382258979081,1.64947460627081,0.615,0.355,1
"Ptbp2",0.0220047416677811,1.58558028074992,0.615,0.387,1
"Entr1",0.0220047416677811,1.30261091456603,0.615,0.387,1
"Akap7",0.0224075645978889,1.63446348265992,0.538,0.258,1
"Gnptg",0.02247625792606,1.27966338666738,0.692,0.419,1
"Glod4",0.0226805044942236,2.16570571787225,0.462,0.194,1
"Lrrc59",0.0230979926163003,-1.97745490615441,0.077,0.419,1
"Ankrd50",0.0230979926163003,-2.02589361636335,0.077,0.419,1
"Mapre2",0.0232796841487734,-1.29919839043108,0.077,0.484,1
"Fads1",0.0232796841487734,-1.46032699514028,0.077,0.484,1
"Cog1",0.0234283319620038,1.52398234901489,0.462,0.161,1
"Heg1",0.0236006612075233,2.67480675236479,0.308,0.065,1
"Ddo",0.0236006612075233,2.50398670135823,0.308,0.065,1
"Ccdc66",0.0236006612075233,2.42839748576888,0.308,0.065,1
"Crim1",0.0236860157293297,-1.26540917946777,0.154,0.581,1
"Morc3",0.0237936249739446,-1.46447530592235,0,0.323,1
"Tbl1x",0.0237936249739446,-1.51292861170282,0,0.323,1
"Cs",0.0237936249739446,-1.57144027925808,0,0.323,1
"Denr",0.0237936249739446,-1.59747788080462,0,0.323,1
"Gtdc1",0.0237936249739446,-1.69026839124153,0,0.323,1
"Casp6",0.0237936249739446,-1.74340382899247,0,0.323,1
"Sh3kbp1",0.0237936249739446,-1.74690641993552,0,0.323,1
"Nus1",0.0237936249739446,-1.89863716722888,0,0.323,1
