"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cyp39a1",0.045407442279042,-1.24341352988101,0.004,0.01,1
"Nuf2",0.0454135503107051,1.42487523319336,0.017,0.009,1
"Utp14a",0.0454686562930872,-0.275338088059704,0.125,0.15,1
"Fhl4",0.0454744048049533,0.559696039804966,0.023,0.013,1
"Peg10",0.0454933099670063,-1.10611284422071,0.004,0.01,1
"Lsamp",0.0456080130525528,-1.03013991864733,0.004,0.01,1
"Esrra",0.0456484409466642,-0.124082528288693,0.153,0.184,1
"Pkmyt1",0.0457116884380963,0.685672809004727,0.05,0.035,1
"Fam92b",0.0457229597330709,-1.01061266517297,0.004,0.01,1
"Col1a2",0.0457571852820485,-0.473836645008641,0.038,0.052,1
"Irak1",0.0457901161375251,-0.25521903921793,0.027,0.04,1
"Iba57",0.0458600536652323,-0.450360198942754,0.038,0.052,1
"Usp32",0.0460834703811748,-0.105623157609949,0.554,0.591,1
"Selenoo",0.0460965016036338,-0.190879757421409,0.158,0.186,1
"Xrn1",0.0461114741903667,-0.149045653222604,0.337,0.374,1
"Nrm",0.0461895771132977,0.145048799923763,0.391,0.362,1
"Tmem192",0.0462544992936894,-0.220974820338175,0.181,0.209,1
"Cbarp",0.0462958416330466,-0.490638495172397,0.034,0.048,1
"Mapk10",0.0463013606353443,-0.65232347379012,0.004,0.01,1
"Slc9a7",0.0464021231438124,-0.163465901269362,0.319,0.352,1
"Jak1",0.0465570065639708,-0.174528103005506,0.294,0.326,1
"Pcdh1",0.0465636439579693,-0.65237938721378,0.004,0.01,1
"Strip2",0.0466521962969738,-0.650751594929709,0.011,0.02,1
"Chd2",0.0466595618897208,0.111843484285456,0.523,0.49,1
"Letm1",0.0467598148409408,-0.165854723203511,0.318,0.348,1
"Tubgcp6",0.0468045885636995,0.219326935353438,0.267,0.239,1
"Nckap1",0.0468097718987854,0.165094945740264,0.373,0.341,1
"Pabpc1",0.0468752663173603,-0.155591363402144,0.285,0.317,1
"Ddx3x",0.0469498705325931,-0.0859740785484445,0.599,0.619,1
"Pax6",0.0469815466849831,-0.392659870771879,0.028,0.041,1
"Uvrag",0.0470776024072504,-0.140678448963179,0.362,0.395,1
"Ddx51",0.0471422924919867,0.367160340019493,0.118,0.097,1
"Ptov1",0.0472330418274682,0.0983917241725363,0.64,0.614,1
"Smc6",0.0473108455760754,0.220228684587488,0.29,0.263,1
"Nol9",0.0473357356633835,0.234996571909198,0.19,0.163,1
"Actn1",0.0473609273555155,-0.198972083438412,0.258,0.292,1
"Acot13",0.0474112545187544,-0.22906125876805,0.118,0.142,1
"Hs3st3b1",0.0474408300184046,0.0730280991853974,0.724,0.713,1
"Ndufa13",0.0476593814068353,-0.106861599646775,0.421,0.461,1
"Ppm1e",0.0477395250298583,-0.150442133616789,0.221,0.255,1
"Utp18",0.0477492143464572,-0.227943112934561,0.184,0.211,1
"Bbof1",0.0477861243240087,-0.236103432400359,0.153,0.178,1
"Acot11",0.047949232053059,-0.989884135493875,0.006,0.013,1
"Kcnab1",0.0480014668773448,-0.808830066475943,0.006,0.013,1
"Rfesd",0.0480322059726578,-0.194089985069974,0.133,0.16,1
"Otud7b",0.048103086114458,0.0432220431234255,0.732,0.742,1
"Cct5",0.048130632971835,-0.14282449744442,0.21,0.243,1
"Dbt",0.0482110754813729,0.389233555847816,0.105,0.084,1
"Mfsd12",0.0482202396035512,-0.199251193052259,0.247,0.278,1
"Mapk8ip1",0.0482542906984579,0.336147862467007,0.145,0.122,1
"Hist1h1d",0.0482896138385874,-0.874979293575119,0.006,0.013,1
"Slc25a2",0.0482922653236504,-0.628235088009524,0.013,0.021,1
"Snx21",0.0483024295692351,0.259116732140376,0.249,0.223,1
"Trappc10",0.0484098456678319,-0.168679338225101,0.3,0.331,1
"Syt4",0.0484473963889464,-0.839326649468418,0.006,0.013,1
"Sfswap",0.0486417070183859,-0.110508616748752,0.516,0.544,1
"Zdhhc9",0.0488219786367121,-0.281350327200577,0.084,0.105,1
"Ifitm3",0.0489220081302729,2.14102108937037,0.007,0.002,1
"Eps15",0.0489552471228554,0.302480171587511,0.165,0.141,1
"Igfbp5",0.0490082504411143,-0.381286849363735,0.034,0.048,1
"Bambi",0.0491602653619854,0.528564493758845,0.019,0.01,1
"Tmem68",0.0492270316161574,-0.143827097374351,0.204,0.237,1
"Serinc1",0.0492856438368783,0.108502483652551,0.556,0.527,1
"Cry1",0.0492950417512222,-0.14297867912819,0.379,0.412,1
"Grk6",0.0493518112076813,-0.203751597673156,0.214,0.243,1
"Mfap1b",0.0493667147002418,-0.313086387360233,0.106,0.129,1
"Hdac1",0.0494337556913527,0.131656561427543,0.422,0.389,1
"Slc18b1",0.0494522239566962,-0.241351067538878,0.148,0.174,1
"Cdk14",0.0495480851106371,-1.0259148836019,0.009,0.017,1
"Mier1",0.0496488496080542,0.102912269054844,0.546,0.524,1
"Cyc1",0.0497031686205071,0.124087912588384,0.544,0.513,1
"Ppp1r1a",0.049713182963236,-0.38060518334954,0.013,0.021,1
"Cdk5rap2",0.0497244067735243,-0.20200976826143,0.17,0.199,1
"Tmem62",0.0499134668241845,0.278928027716717,0.156,0.131,1
"Anks6",0.0499243000440831,0.608459105786076,0.032,0.021,1
"Macrod1",0.0499361931109158,-0.622124706000345,0.03,0.043,1
"Nek2",0.0501682101242054,-0.655774558852782,0.022,0.033,1
"Trmt2b",0.0502039671299695,0.402276915827173,0.142,0.12,1
"Traf3ip3",0.0503115098258197,-0.211874002256359,0.128,0.154,1
"Akt3",0.0503518491710317,0.0935258115851997,0.579,0.56,1
"Actr3b",0.0504367267073186,-0.284044165279629,0.105,0.128,1
"Znrf1",0.0504677137953482,-0.128335606580943,0.401,0.44,1
"Zdhhc11",0.0505615356379729,-1.70313281782618,0,0.002,1
"Mettl21c",0.0505615356379729,-1.73340384612378,0,0.002,1
"Glra4",0.0505615356379729,-1.78135352039281,0,0.002,1
"Rtp4",0.0505615356379729,-1.87134028669876,0,0.002,1
"Tff2",0.0505615356379729,-1.90793759391402,0,0.002,1
"Heatr4",0.0505615356379729,-1.94388488438879,0,0.002,1
"Nrg1",0.0505615356379729,-1.94999653844183,0,0.002,1
"Hes3",0.0505615356379729,-1.95049402998893,0,0.002,1
"Il12rb1",0.0505615356379729,-1.96168712049569,0,0.002,1
"Kcnt1",0.0505615356379729,-1.97673570189124,0,0.002,1
"Ankrd55",0.0505615356379729,-1.99014588694318,0,0.002,1
"Trp73",0.0505615356379729,-2.02567648349726,0,0.002,1
"Ttll2",0.0505615356379729,-2.05066281714213,0,0.002,1
"Crlf1",0.0505615356379729,-2.05441447959144,0,0.002,1
"Nos1",0.0505615356379729,-2.05891358652507,0,0.002,1
"Kcnd2",0.0505615356379729,-2.06972064786545,0,0.002,1
"Ggt1",0.0505615356379729,-2.06981131277782,0,0.002,1
"Aldh1a2",0.0505615356379729,-2.07105337869254,0,0.002,1
"Fras1",0.0505615356379729,-2.07609005550324,0,0.002,1
"C1rl",0.0505615356379729,-2.13753268748464,0,0.002,1
"Dppa5a",0.0505615356379729,-2.14128304515121,0,0.002,1
"Ttn",0.0505615356379729,-2.14720124077869,0,0.002,1
"Il22ra1",0.0505615356379729,-2.15526345344707,0,0.002,1
"Pate13",0.0505615356379729,-2.19479268029405,0,0.002,1
"Aspdh",0.0505615356379729,-2.22741532334419,0,0.002,1
"Ppp1r3b",0.0505615356379729,-2.2287450710465,0,0.002,1
"Csta1",0.0505615356379729,-2.23824639646979,0,0.002,1
"Unc93a2",0.0505615356379729,-2.24430822461758,0,0.002,1
"Npas2",0.0505615356379729,-2.24490656401193,0,0.002,1
"St8sia6",0.0505615356379729,-2.25118682888356,0,0.002,1
"Erbb4",0.0505615356379729,-2.25236639958128,0,0.002,1
"Lypd2",0.0505615356379729,-2.28039219088849,0,0.002,1
"Aox1",0.0505615356379729,-2.2990042412165,0,0.002,1
"Upk1b",0.0505615356379729,-2.31967568122626,0,0.002,1
"Gpr3",0.0505615356379729,-2.32928808110992,0,0.002,1
"Eya1",0.0505615356379729,-2.33476400219751,0,0.002,1
"Sypl2",0.0505615356379729,-2.34326358609045,0,0.002,1
"Epb42",0.0505615356379729,-2.34595856201396,0,0.002,1
"Gbp2",0.0505615356379729,-2.37937726363107,0,0.002,1
"Hsf4",0.0505615356379729,-2.38374556042707,0,0.002,1
"Gpr88",0.0505615356379729,-2.38689276089029,0,0.002,1
"Ipcef1",0.0505615356379729,-2.38936640211723,0,0.002,1
"Podn",0.0505615356379729,-2.39860492853795,0,0.002,1
"Krt4",0.0505615356379729,-2.40098258448127,0,0.002,1
"Nhlrc4",0.0505615356379729,-2.41752977291825,0,0.002,1
"Lmod2",0.0505615356379729,-2.42346353193093,0,0.002,1
"H2-Q7",0.0505615356379729,-2.44026015767749,0,0.002,1
"Smim18",0.0505615356379729,-2.46776903022089,0,0.002,1
"Odaph",0.0505615356379729,-2.47898121248752,0,0.002,1
"Gfra3",0.0505615356379729,-2.48101716153925,0,0.002,1
"Inhba",0.0505615356379729,-2.4846464700915,0,0.002,1
"Il1rapl2",0.0505615356379729,-2.49106340652419,0,0.002,1
"Pthlh",0.0505615356379729,-2.50265932173421,0,0.002,1
"Angptl1",0.0505615356379729,-2.50274388327609,0,0.002,1
"Cabp7",0.0505615356379729,-2.51603320673636,0,0.002,1
"Spocd1",0.0505615356379729,-2.52313202717794,0,0.002,1
"Spats1",0.0505615356379729,-2.52776170109946,0,0.002,1
"Cchcr1",0.0505615356379729,-2.52806555853999,0,0.002,1
"Slc45a1",0.0505615356379729,-2.53000447389301,0,0.002,1
"Abca13",0.0505615356379729,-2.53034293354291,0,0.002,1
"Car4",0.0505615356379729,-2.53156986087639,0,0.002,1
"Slc25a21",0.0505615356379729,-2.55767481079879,0,0.002,1
"Gpr176",0.0505615356379729,-2.58854078993703,0,0.002,1
"Fgl2",0.0505615356379729,-2.60429077552154,0,0.002,1
"Kcnq3",0.0505615356379729,-2.62711608547038,0,0.002,1
"Tmem71",0.0505615356379729,-2.6424352046987,0,0.002,1
"Lamc2",0.0505615356379729,-2.69114211909301,0,0.002,1
"Sult5a1",0.0505615356379729,-2.69791070825276,0,0.002,1
"Gabrb1",0.0505615356379729,-2.70649121011055,0,0.002,1
"Gabra5",0.0505615356379729,-2.73058586572567,0,0.002,1
"Gda",0.0505615356379729,-2.74927789894032,0,0.002,1
"Mafa",0.0505615356379729,-2.75863845570866,0,0.002,1
